subject_id,edit_dist,len_diff,len_var,avg_len,num_patterns,start_time_var,end_time_var,fp_home,fp_lsb,fp_hopkins,fp_sudikoff,fp_53_commons,fp_baker-berry,fp_sport-venues,extra,agrbl,consc,neuro,open,assertive,activity,altruism,compliance,order,discipline,anxiety,depression,aesthetics,ideas
1,0.797570258,-0.287768531,-0.428895377,0.995299621,0.586718822,-0.48226356,0.188477262,0.529825817,0.497946603,1.162381204,-1.012121655,-0.08300055,-0.620699107,-0.841159918,3.125,3.777777778,4.444444444,2.75,3.9,2.8,4,4,3.666666667,4,4.4,2,4.5,3.333333333,4.4
2,-0.764986595,-2.218325765,-1.538303232,-0.08421766,0.586718822,-1.099997867,-0.017717483,0.529825817,0.497946603,1.162381204,1.156710463,0.120728073,-0.102383358,1.266075753,2.125,3,4.222222222,3.5,3.2,2,2.5,3.25,2,4.5,3.8,3.75,2.5,3.333333333,3.2
3,-2.002557883,-1.428282343,-1.196804974,-1.898725432,-3.733665229,-0.785035078,-1.6193078,0.529825817,-1.539107683,-1.482362547,0.289177616,-1.509100912,-1.139014857,-0.841159918,2.125,3.222222222,3.888888889,3.375,2.7,2.2,2,3.5,3,4,3.8,3.5,3.5,2.333333333,2.8
4,1.979335944,1.161634438,1.712391,2.189659167,0.586718822,-1.376758974,-1.271734154,0.529825817,0.497946603,1.162381204,-0.36147202,0.528185319,1.625335807,2.670899533,2.375,3.111111111,2.666666667,4.125,2.9,1.8,4,3.5,2.666666667,2,2.8,4.5,3,3.666666667,2.6
5,1.076598267,0.543856123,0.403006687,0.857488905,0.586718822,-0.943369715,0.465317279,0.529825817,0.497946603,0.809748704,0.072294404,0.731913942,-0.275155274,1.266075753,3.125,3.777777778,4.444444444,2.75,3.3,2.6,4,3.75,4,5,4.2,2.75,2.5,3,3.6
7,0.761460751,1.191335318,1.159225353,0.099529962,0.226686818,-0.587763816,-0.376535973,-0.975994926,0.497946603,0.633432454,-1.012121655,0.120728073,-1.139014857,1.031938456,3.125,4.222222222,3.777777778,,2.3,3.4,2.5,4.5,4,4,3.4,2,,1.666666667,2.8
8,0.551369073,-0.418452405,-0.453507864,0.581867471,0.586718822,-0.461907048,-0.474763853,0.529825817,-0.724285968,0.986064954,2.024243309,-0.694186419,0.588704308,0.095389269,2.625,3.777777778,4.222222222,3.25,3.3,2.2,3,3.75,3.333333333,3,4.4,3.25,3.5,1.666666667,4
9,-0.07890596,-0.388751525,-0.516885018,0.145466868,0.586718822,-0.586380404,-0.326494792,0.529825817,0.90535746,0.104483704,-1.012121655,1.139371188,0.761476224,-0.138748028,2.375,4.555555556,2.666666667,2.125,3.3,1.8,3.5,4.5,5,2,2.6,2.5,1.5,2.666666667,3.6
10,-0.459697126,-0.840204909,-0.873766081,0.742646641,0.586718822,-1.447921152,-0.346813575,0.529825817,2.127590032,-0.071832546,0.506060827,0.324456696,2.316423473,0.797801159,2,1.333333333,4.777777778,3.375,3.6,1.8,3,1.5,1.333333333,4.5,4.8,3.25,4,3,3.8
14,1.486933575,-0.192725714,-0.163080516,1.6384163,0.586718822,0.345387129,-0.652402249,0.529825817,0.90535746,0.457116204,1.373593674,-0.694186419,1.97087964,-0.841159918,3.25,3.666666667,,,3.3,2.6,4,3.75,3.333333333,2.5,,,2,3,3.4
15,-0.154407657,1.304198664,1.180761279,-0.934050414,0.226686818,2.093274283,-0.976079106,-1.728905298,0.90535746,-1.482362547,-1.012121655,0.120728073,-0.275155274,-0.138748028,3.25,3.555555556,3.111111111,2.75,3,3.2,3,3.5,4.333333333,2,3.2,2.75,2.5,2.666666667,3
16,-0.728877088,-0.875845965,-0.871304832,-0.130154566,0.226686818,-0.594845701,-0.50457602,0.529825817,0.497946603,-0.953413797,0.939827251,1.139371188,-1.139014857,0.329526566,1.75,3.333333333,3.555555556,4.25,3.8,1,3,2.75,3.666666667,3,3.6,4.25,4,3.666666667,3.6
17,-0.499089315,-0.115503424,-0.253531406,-0.267965283,-0.133345187,-0.910322324,0.007851326,0.529825817,0.90535746,-0.248148796,2.024243309,-1.101643665,-0.102383358,-0.841159918,2.625,3.888888889,3.333333333,3.125,4.5,2.4,3,4.5,2.666666667,1.5,3.8,2.75,4,5,4
18,-0.269301543,0.573557004,0.423311989,-0.497649811,-0.133345187,0.629543901,-0.719052938,0.529825817,-0.724285968,-0.953413797,1.590476886,-0.286729173,-0.275155274,-0.138748028,2.625,2.222222222,3.222222222,3.75,2.5,2.6,2.5,2,2,3,3.4,3.25,4.5,1.666666667,2.8
19,-0.11829815,-0.65605945,-0.763625201,-0.015312302,0.586718822,-0.48823943,0.112362632,-0.975994926,0.90535746,0.633432454,-1.012121655,0.120728073,-0.275155274,-0.607022621,1.75,3.111111111,3.444444444,3.625,3.2,1.2,3,2.75,3.333333333,2.5,3.6,3.75,3.5,3,3.2
20,-1.152343125,-0.157084657,-0.281220454,-1.531230187,-1.933505208,0.864549812,2.530679633,-0.223084555,-1.131696826,-1.306046297,-1.229004866,-0.694186419,0.070388559,-0.372885324,3.875,4.333333333,3.333333333,2.375,3.6,3.8,3.5,4.5,4.333333333,3.5,3.2,2.5,2,3.333333333,3.2
22,0.12133767,-0.881786141,-0.901455129,0.719678188,0.586718822,0.187333942,2.289436001,0.529825817,-2.353929397,-1.129730047,-0.795238443,2.158014304,-0.275155274,1.031938456,3.625,3.444444444,4.555555556,2.875,3.8,3,5,3.5,3.666666667,3.5,4.8,2.75,2.5,2,4.6
23,-1.762922064,-1.570846569,-1.246029948,-1.439356376,-1.933505208,0.666119614,-0.975954562,0.529825817,-0.724285968,-1.482362547,-0.144588808,-0.490457796,-0.96624294,-0.607022621,,3.666666667,3,3.75,3.6,,3.5,4.25,3,2.5,2.8,3.5,4,3.666666667,3.4
24,-0.216778623,0.454753482,0.28794331,-0.267965283,0.226686818,0.158056647,0.523395879,0.529825817,0.497946603,-0.777097547,0.506060827,0.528185319,-0.96624294,-0.607022621,3.5,2.666666667,2.333333333,3.125,3.5,3.4,3.5,2.75,2.333333333,2,2,3.5,2.5,2.666666667,3.8
27,-0.817509514,-0.204606066,-0.359980413,-0.750302792,-0.853409195,1.474393163,0.177653814,0.529825817,0.090535746,-0.248148796,-1.229004866,-1.305372289,1.279791974,-0.841159918,2.5,3.888888889,2.666666667,3.125,3.3,2.2,3,3.5,4.333333333,2,3,3.25,3,3.666666667,3.2
30,1.614958191,2.415011596,2.953475661,1.06420498,0.586718822,-1.12177903,-1.233629256,0.529825817,0.497946603,1.338697454,0.072294404,0.324456696,0.761476224,-0.607022621,4.5,4.111111111,4.444444444,2,3.6,4.4,4.5,4,4.333333333,4,4.6,2.25,1.5,3.333333333,3.8
32,1.73313476,1.322019193,1.284749037,1.615447847,0.586718822,-0.033286673,1.933089934,0.529825817,0.497946603,-0.600781297,0.072294404,1.954285681,-0.620699107,-0.372885324,4.25,4.222222222,4.333333333,1.75,3.7,3.8,5,4.25,4,4.5,4,2,1.5,2.666666667,4.2
33,-0.840488291,-0.133323953,-0.355057916,-0.842176603,-0.133345187,1.210655771,0.667657265,0.529825817,-1.131696826,1.162381204,-1.229004866,-1.509100912,-0.793471024,-0.841159918,2.875,3.333333333,1.888888889,3.625,4.6,2.6,3,3.5,3.333333333,1.5,1.6,3.5,4,4.666666667,4.4
35,-0.833922926,-0.424392582,-0.573493739,-1.186703395,-0.133345187,-0.57427568,0.82255761,-0.223084555,-1.94651854,-1.306046297,-0.36147202,-0.08300055,-1.139014857,-0.841159918,2.625,3.888888889,3.555555556,2.625,3.4,2.4,3.5,3.75,4,4,3.4,2.5,2,2.666666667,3.6
43,0.252644969,0.781463167,0.678666542,-0.336870641,0.226686818,1.049508247,-0.013673477,-3.234726042,-0.316875111,0.809748704,-0.36147202,1.546828434,-1.139014857,-0.841159918,2.375,4.111111111,4.222222222,2.5,3.3,1.8,4,3.75,4.666666667,3,4.8,2.25,2.5,2.333333333,3.8
