subject_id,avg_edit_dist,num_patterns,start_time_var,extra,agrbl,consc,neuro,open
01,0.772595205971,0.427178828858,-0.440216909464,3.125,3.777777778,4.444444444,2.75,3.9
02,-0.875847325305,0.427178828858,-1.10419014356,2.125,3,4.222222222,3.5,3.2
03,-1.9606679617,-4.18635252281,-0.76565161774,2.125,3.222222222,3.888888889,3.375,2.7
04,1.80287178802,0.427178828858,-1.39508037901,2.375,3.111111111,2.666666667,4.125,2.9
05,1.00289232431,0.427178828858,-0.935837989803,3.125,3.777777778,4.444444444,2.75,3.3
07,0.748353404041,0.427178828858,-0.553614118438,3.125,4.222222222,3.777777778,,2.3
08,0.58472124101,0.427178828858,0.276327994212,2.625,3.777777778,4.222222222,3.25,3.3
09,-0.0879887625627,0.427178828858,-0.552127154515,2.375,4.555555556,2.666666667,2.125,3.3
10,-0.894028676753,0.427178828858,-1.4781563382,2,1.333333333,4.777777778,3.375,3.6
14,1.65742097644,0.427178828858,0.670839740135,3.25,3.666666667,,,3.3
15,0.105945652882,0.427178828858,2.328106252,3.25,3.555555556,3.111111111,2.75,3
16,-0.645550206965,0.427178828858,-0.561226099998,1.75,3.333333333,3.555555556,4.25,3.8
17,-0.639489756482,-0.1495125901,-0.900316921532,2.625,3.888888889,3.333333333,3.125,4.5
18,-0.19707687125,0.427178828858,0.754812063572,2.625,2.222222222,3.222222222,3.75,2.5
19,-0.300104529455,0.427178828858,-0.446640088668,1.75,3.111111111,3.444444444,3.625,3.2
20,-0.918270478684,-1.30289542802,1.00740874328,3.875,4.333333333,3.333333333,2.375,3.6
22,0.0514015985379,0.427178828858,0.279501605869,3.625,3.444444444,4.555555556,2.875,3.8
23,-1.73643129384,-1.87958684698,0.794125558878,,3.666666667,3,3.75,3.6
24,0.03322024709,-0.1495125901,0.248032834192,3.5,2.666666667,2.333333333,3.125,3.5
27,-1.07584219123,-0.726204009059,1.66290036344,2.5,3.888888889,2.666666667,3.125,3.3
30,1.34833800182,0.427178828858,-1.12760167991,4.5,4.111111111,4.444444444,2,3.6
32,1.92408079767,0.427178828858,0.175579565965,4.25,4.222222222,4.333333333,1.75,3.7
33,-0.839484622409,0.427178828858,1.37942158194,2.875,3.333333333,1.888888889,3.625,4.6
35,-0.687973360344,-0.1495125901,-0.539116362389,2.625,3.888888889,3.555555556,2.625,3.4
43,0.136247905295,0.427178828858,1.22271949975,2.375,4.111111111,4.222222222,2.5,3.3
