subject_id,avg_edit_dist,num_patterns,start_time_var,extra,agrbl,consc,neuro,open
01,0.772595205971,0.427178828858,-0.632688177717,3.125,3.777777778,4.444444444,2.75,3.9
02,-0.875847325305,0.427178828858,-1.01281907341,2.125,3,4.222222222,3.5,3.2
03,-1.9606679617,-4.18635252281,-0.814992163238,2.125,3.222222222,3.888888889,3.375,2.7
04,1.80287178802,0.427178828858,-1.39514972107,2.375,3.111111111,2.666666667,4.125,2.9
05,1.00289232431,0.427178828858,-0.824281331881,3.125,3.777777778,4.444444444,2.75,3.3
07,0.748353404041,0.427178828858,-0.760847965849,3.125,4.222222222,3.777777778,,2.3
08,0.58472124101,0.427178828858,0.442168937995,2.625,3.777777778,4.222222222,3.25,3.3
09,-0.0879887625627,0.427178828858,-0.319025895568,2.375,4.555555556,2.666666667,2.125,3.3
10,-0.894028676753,0.427178828858,-1.49787177208,2,1.333333333,4.777777778,3.375,3.6
14,1.65742097644,0.427178828858,1.14170046357,3.25,3.666666667,,,3.3
15,0.105945652882,0.427178828858,2.52905123258,3.25,3.555555556,3.111111111,2.75,3
16,-0.645550206965,0.427178828858,-0.532043711481,1.75,3.333333333,3.555555556,4.25,3.8
17,-0.639489756482,-0.1495125901,-0.747384029584,2.625,3.888888889,3.333333333,3.125,4.5
18,-0.19707687125,0.427178828858,1.2642689185,2.625,2.222222222,3.222222222,3.75,2.5
19,-0.300104529455,0.427178828858,-0.207217252952,1.75,3.111111111,3.444444444,3.625,3.2
20,-0.918270478684,-1.30289542802,0.96657651261,3.875,4.333333333,3.333333333,2.375,3.6
22,0.0514015985379,0.427178828858,0.810211260802,3.625,3.444444444,4.555555556,2.875,3.8
23,-1.73643129384,-1.87958684698,1.13188119124,,3.666666667,3,3.75,3.6
24,0.03322024709,-0.1495125901,0.268149800555,3.5,2.666666667,2.333333333,3.125,3.5
27,-1.07584219123,-0.726204009059,0.213319744916,2.5,3.888888889,2.666666667,3.125,3.3
30,1.34833800182,0.427178828858,-1.1680103993,4.5,4.111111111,4.444444444,2,3.6
32,1.92408079767,0.427178828858,0.647060260477,4.25,4.222222222,4.333333333,1.75,3.7
33,-0.839484622409,0.427178828858,-0.529322564445,2.875,3.333333333,1.888888889,3.625,4.6
35,-0.687973360344,-0.1495125901,-0.32345361971,2.625,3.888888889,3.555555556,2.625,3.4
43,0.136247905295,0.427178828858,1.35071935504,2.375,4.111111111,4.222222222,2.5,3.3
