uid,extra,agrbl,consc,neuro,openn
u00,3.500,3.556,2.889,3.000,4.600
u01,3.000,3.778,4.222,2.875,3.700
u02,1.875,3.000,3.889,3.250,3.000
u03,2.375,2.889,3.889,3.000,2.700
u04,2.750,3.000,2.667,4.625,3.100
u05,3.000,3.778,4.222,2.375,3.400
u07,3.250,4.111,3.111,2.875,2.700
u09,2.625,4.778,3.111,2.000,3.600
u10,2.250,1.333,5.000,3.125,4.000
u14,3.250,3.889,3.667,2.250,3.400
u15,3.500,3.444,3.111,2.500,2.900
u16,1.875,3.333,3.222,4.000,3.800
u17,3.125,3.778,3.222,4.250,4.500
u18,2.875,2.000,3.125,3.875,2.900
u19,2.125,3.667,3.778,4.000,3.700
u20,3.250,4.333,3.333,2.500,3.200
u23,3.125,3.556,3.556,4.429,4.111
u24,3.500,3.111,2.889,3.125,4.200
u27,2.125,3.667,2.778,3.250,3.300
u30,4.375,4.111,4.556,2.000,3.600
u31,3.125,3.000,3.222,3.375,3.444
u32,4.125,4.222,4.556,1.500,3.800
u33,3.375,3.889,2.333,3.750,4.500
u34,3.250,4.222,3.111,3.000,3.200
u35,3.250,3.667,3.250,2.375,3.600
u36,3.625,4.333,4.111,2.250,3.600
u42,3.750,4.333,2.778,2.125,3.700
u43,2.250,4.222,4.111,2.250,3.200
u44,2.750,3.333,3.444,3.250,3.300
u45,3.500,3.667,3.667,2.500,3.500
u47,3.625,3.333,3.667,1.875,4.000
u49,3.125,4.333,3.667,2.125,4.500
u51,3.000,3.778,3.667,2.250,3.700
u52,2.000,2.889,2.667,4.750,3.100
u53,2.250,3.778,3.000,4.375,4.400
u54,3.000,3.333,3.111,2.750,3.100
u56,1.500,4.000,3.333,2.375,4.000
u58,2.625,4.222,4.375,3.750,3.700
u59,3.875,4.111,2.889,3.000,3.200
