uid,extra,agrbl,consc,neuro,openn
u00,3.750,2.889,3.000,3.125,4.500
u01,3.125,3.778,4.444,2.750,3.900
u02,2.125,3.000,4.222,3.500,3.200
u03,2.125,3.222,3.889,3.375,2.700
u04,2.375,3.111,2.667,4.125,2.900
u05,3.125,3.778,4.444,2.750,3.300
u07,3.125,4.222,3.778,2.143,2.300
u08,2.625,3.778,4.222,3.250,3.300
u09,2.375,4.556,2.667,2.125,3.300
u10,2.000,1.333,4.778,3.375,3.600
u12,2.875,3.556,3.667,2.875,3.400
u13,3.375,3.556,2.444,3.375,4.300
u14,3.250,3.667,3.375,2.429,3.300
u15,3.250,3.556,3.111,2.750,3.000
u16,1.750,3.333,3.556,4.250,3.800
u17,2.625,3.889,3.333,3.125,4.500
u18,2.625,2.222,3.222,3.750,2.500
u19,1.750,3.111,3.444,3.625,3.200
u20,3.875,4.333,3.333,2.375,3.600
u22,3.625,3.444,4.556,2.875,3.800
u23,3.000,3.667,3.000,3.750,3.600
u24,3.500,2.667,2.333,3.125,3.500
u27,2.500,3.889,2.667,3.125,3.300
u30,4.500,4.111,4.444,2.000,3.600
u31,4.250,3.889,2.889,3.125,3.700
u32,4.250,4.222,4.333,1.750,3.700
u33,2.875,3.333,1.889,3.625,4.600
u34,3.250,4.333,3.111,2.875,3.300
u35,2.625,3.889,3.556,2.625,3.400
u36,3.500,4.111,3.778,1.750,3.500
u39,3.375,3.333,3.111,3.000,3.500
u42,3.125,4.222,2.444,2.500,3.900
u43,2.375,4.111,4.222,2.500,3.300
u44,3.375,3.667,3.778,2.250,3.600
u45,3.750,3.667,3.444,3.125,3.700
u46,3.125,3.111,3.556,3.500,4.200
u47,4.375,3.222,3.444,2.000,3.800
u49,2.875,4.222,3.667,2.500,4.300
u50,3.875,3.333,3.556,2.500,3.500
u51,3.375,3.778,3.778,2.750,4.000
u52,1.625,3.333,2.222,4.125,3.500
u53,2.250,4.000,2.889,4.500,4.400
u54,3.000,3.333,3.111,2.750,3.100
u56,1.625,4.111,3.333,2.000,4.100
u57,2.125,4.000,3.222,2.125,2.700
u58,2.125,4.333,3.556,3.875,3.600
u59,4.000,4.111,2.556,2.875,3.500
