uid,extra,agrbl,consc,neuro,openn
u01,3.125,0.798,4.444,2.750,3.900
u02,2.125,1.099,4.222,3.500,3.200
u03,2.125,1.022,3.889,3.375,2.700
u04,2.375,1.061,2.667,4.125,2.900
u05,3.125,0.798,4.444,2.750,3.300
u07,3.125,0.575,3.778,2.143,2.300
u08,2.625,0.798,4.222,3.250,3.300
u09,2.375,0.367,2.667,2.125,3.300
u10,2.000,1.541,4.778,3.375,3.600
u14,3.250,0.847,3.375,2.429,3.300
u15,3.250,0.894,3.111,2.750,3.000
u16,1.750,0.981,3.556,4.250,3.800
u17,2.625,0.747,3.333,3.125,4.500
u18,2.625,1.329,3.222,3.750,2.500
u19,1.750,1.061,3.444,3.625,3.200
u20,3.875,0.511,3.333,2.375,3.600
u22,3.625,0.938,4.556,2.875,3.800
u23,3.000,0.847,3.000,3.750,3.600
u24,3.500,1.204,2.333,3.125,3.500
u27,2.500,0.747,2.667,3.125,3.300
u30,4.500,0.636,4.444,2.000,3.600
u32,4.250,0.575,4.333,1.750,3.700
u33,2.875,0.981,1.889,3.625,4.600
u35,2.625,0.747,3.556,2.625,3.400
u43,2.375,0.636,4.222,2.500,3.300
u46,3.125,1.061,3.556,3.500,4.200
u49,2.875,0.575,3.667,2.500,4.300
u50,3.875,0.981,3.556,2.500,3.500
u52,1.625,0.981,2.222,4.125,3.500
u53,2.250,0.693,2.889,4.500,4.400
u54,3.000,0.981,3.111,2.750,3.100
u57,2.125,0.693,3.222,2.125,2.700
u58,2.125,0.511,3.556,3.875,3.600
u59,4.000,0.636,2.556,2.875,3.500
