uid,extra,agrbl,consc,neuro,openn
u01,3.125,3.778,4.444,2.75,3.9
u02,2.125,3,4.222,3.5,3.2
u03,2.125,3.222,3.889,3.375,2.7
u04,2.375,3.111,2.667,4.125,2.9
u05,3.125,3.778,4.444,2.75,3.3
u07,3.125,4.222,3.778,2.143,2.3
u08,2.625,3.778,4.222,3.25,3.3
u09,2.375,4.556,2.667,2.125,3.3
u10,2,1.333,4.778,3.375,3.6
u14,3.25,3.667,3.375,2.429,3.3
u15,3.25,3.556,3.111,2.75,3
u16,1.75,3.333,3.556,4.25,3.8
u17,2.625,3.889,3.333,3.125,4.5
u18,2.625,2.222,3.222,3.75,2.5
u19,1.75,3.111,3.444,3.625,3.2
u20,3.875,4.333,3.333,2.375,3.6
u22,3.625,3.444,4.556,2.875,3.8
u23,3,3.667,3,3.75,3.6
u24,3.5,2.667,2.333,3.125,3.5
u27,2.5,3.889,2.667,3.125,3.3
u30,4.5,4.111,4.444,2,3.6
u32,4.25,4.222,4.333,1.75,3.7
u33,2.875,3.333,1.889,3.625,4.6
u35,2.625,3.889,3.556,2.625,3.4
u43,2.375,4.111,4.222,2.5,3.3
u46,3.125,3.111,3.556,3.5,4.2
u49,2.875,4.222,3.667,2.5,4.3
u50,3.875,3.333,3.556,2.5,3.5
u52,1.625,3.333,2.222,4.125,3.5
u53,2.25,4,2.889,4.5,4.4
u54,3,3.333,3.111,2.75,3.1
u57,2.125,4,3.222,2.125,2.7
u58,2.125,4.333,3.556,3.875,3.6
u59,4,4.111,2.556,2.875,3.5
