uid,nearby_total_30days_oncampus,agrbl
01,-1.155,3.778
02,0.102,3.000
03,-1.415,3.222
04,-0.247,3.111
05,0.323,3.778
07,0.952,4.222
08,0.461,3.778
09,-0.335,4.556
10,2.113,1.333
14,1.390,3.667
15,-0.396,3.556
16,-0.438,3.333
17,0.113,3.889
18,-0.230,2.222
19,0.148,3.111
20,-0.453,4.333
22,-1.012,3.444
23,-0.408,3.667
24,1.483,2.667
27,-0.682,3.889
30,0.703,4.111
32,-0.149,4.222
33,-0.299,3.333
35,0.028,3.889
43,-0.325,4.111
46,1.434,3.111
49,-1.812,4.222
50,2.515,3.333
52,-1.166,3.333
53,0.593,4.000
54,1.586,3.333
57,-0.294,4.000
58,-1.650,4.333
59,-0.322,4.111
