# uid,nearby_total_30days_oncampus,agrbl
1.000,-1.155,1.000
2.000,0.102,0.000
3.000,-1.415,0.000
4.000,-0.247,0.000
5.000,0.323,1.000
7.000,0.952,1.000
8.000,0.461,1.000
9.000,-0.335,1.000
10.000,2.113,0.000
14.000,1.390,0.000
15.000,-0.396,0.000
16.000,-0.438,0.000
17.000,0.113,1.000
18.000,-0.230,0.000
19.000,0.148,0.000
20.000,-0.453,1.000
22.000,-1.012,0.000
23.000,-0.408,0.000
24.000,1.483,0.000
27.000,-0.682,1.000
30.000,0.703,1.000
32.000,-0.149,1.000
33.000,-0.299,0.000
35.000,0.028,1.000
43.000,-0.325,1.000
46.000,1.434,0.000
49.000,-1.812,1.000
50.000,2.515,0.000
52.000,-1.166,0.000
53.000,0.593,1.000
54.000,1.586,0.000
57.000,-0.294,1.000
58.000,-1.650,1.000
59.000,-0.322,1.000
