uid,len_var,start_time_var,end_time_var,num_days_activity,stat_rate,walk_rate,run_rate,daily_day,daily_evening,daily_night,day_entropy_30days,evening_entropy_30days,night_entropy_30days,conver_freq_daytime,conver_freq_evening,conver_freq_night,early,late,absent,days,views,contributions,questions,notes,answers,extra,agrbl,consc,neuro,openn
1,-0.289,-0.433,-0.15,0.359,-0.104,0.121,1.403,-0.883,-0.475,-0.67,-0.57,-1.593,-1.125,0.84,0.68,1.698,-0.825,-0.103,1.11,-1.063,0.928,-0.602,-0.56,0.6,-0.622,1,1,1,0,1
2,-1.321,-1.283,-0.607,0.847,-0.194,0.769,-0.953,-0.311,-0.067,-0.422,1.197,0.418,-0.675,-0.642,-0.448,-0.283,-0.478,0.443,0.172,0.543,0.928,-1.049,-0.74,-0.48,-0.622,0,0,1,1,0
3,-0.989,-0.911,-2.039,-0.739,1.772,-1.683,-0.984,-0.868,-0.858,-0.694,-1.796,-2.187,-1.705,-1.63,-1.677,-1.37,0.293,-1.634,1.169,-0.03,0.375,1.636,1.96,1.679,2.12,0,0,1,1,0
4,0.49,-1.61,0.131,-0.129,-2.01,1.627,3.041,-0.683,-0.673,-0.694,0.668,0.625,0.231,2.474,1.104,0.596,0.439,-0.103,-0.442,-1.177,-2.027,-0.96,-0.56,-0.48,-0.622,0,0,0,1,0
5,0.511,-1.098,0.692,0.603,0.26,-0.422,-0.747,1.554,2.368,0.835,1.167,0.593,-0.915,0.12,-0.453,-0.655,1.12,-1.22,-0.233,1.117,0.957,-0.96,-0.74,-0.48,-0.622,1,1,1,0,0
7,0.585,-0.678,-0.048,-1.227,-0.01,-0.243,0.534,-0.636,-0.583,-0.318,-0.903,-1.008,-0.477,-0.293,0.08,1.707,1.209,-1.321,-0.247,-0.26,-0.535,0.025,-0.56,-0.48,-0.622,1,1,1,0,0
8,-0.992,-0.529,1.311,0.725,-0.072,0.313,0.76,-0.344,0.102,-0.466,1.026,1.07,1.191,0.345,1.101,1.222,0.015,0.593,-0.573,1.117,1.062,2.979,3.219,-0.48,1.663,0,1,1,1,0
9,-0.761,-0.676,-0.682,0.847,-0.367,0.585,-0.135,-0.322,-0.354,-0.523,0.556,0.266,-0.655,1.268,0.369,-0.317,-0.436,2.193,-1.517,-0.661,-0.982,0.741,-0.02,2.759,1.206,0,1,0,0,0
10,-0.517,-1.694,-1.586,0.847,0.751,-0.658,-0.064,0.194,-0.699,-0.823,1.412,0.361,0.307,0.994,0.528,-1.121,2.004,-0.973,-1.549,1.977,0.942,1.278,1.24,-0.48,0.749,0,0,1,1,1
14,0.431,0.475,0.686,0.481,-0.974,2.269,-0.212,2.638,-0.364,-0.405,0.807,0.631,2.2,-0.06,0.33,-0.046,1.606,-1.252,-0.8,-0.718,0.331,0.383,1.6,0.6,-0.622,1,0,0,0,0
15,0.828,2.49,-0.201,-1.471,0.06,-0.469,-0.772,-0.666,-0.502,-0.715,0.064,0.765,0.818,-0.357,0.089,-0.888,-0.077,-0.103,0.191,-0.546,-0.743,-0.602,-0.56,-0.48,-0.622,1,0,0,0,0
16,-0.582,-0.686,-1.159,0.603,0.407,-0.103,-0.446,-0.223,-0.578,-0.733,-0.107,0.348,-0.744,-0.057,0.522,-0.037,1.231,-0.267,-1.261,-0.374,-0.535,-0.781,-0.74,-0.48,-0.622,0,0,1,1,1
17,-0.509,-1.059,-1.865,0.725,0.727,-0.738,-0.67,-0.452,-0.665,-0.734,0.501,-0.027,-1.121,-0.375,-1.472,-1.02,-0.118,0.767,-0.573,0.543,1.032,1.278,1.24,1.679,1.206,0,1,0,1,1
18,0.379,0.761,-0.124,-0.007,0.893,-0.853,-0.738,-0.037,2.696,2.009,0.251,0.483,1.96,-0.805,-0.368,0.13,-1.312,1.691,0.028,0.027,0.614,-0.512,-0.2,0.6,-0.622,0,0,0,1,0
19,-0.897,-0.56,0.919,0.847,0.594,-0.353,-1.026,-0.126,0.036,-0.638,-0.201,0.421,-0.574,0.581,0.032,-0.94,0.943,0.245,-1.386,1.289,0.957,0.741,-0.02,-0.48,2.12,0,0,0,1,0
20,-0.416,1.038,0.522,-1.227,1.261,-1.017,-0.964,-0.69,-0.613,-0.228,-1.658,-0.184,-1.044,-0.917,-0.605,-0.622,-1.103,-0.924,2.218,0.887,-0.833,-0.87,-0.74,-0.48,-0.622,1,1,0,0,1
22,-0.452,0.238,0.325,0.359,0.158,-0.598,0.685,-0.866,-0.727,-0.695,0.07,-0.948,0.168,-0.799,-0.454,0.914,-0.704,-0.582,1.408,0.945,-0.162,0.204,-0.02,-0.48,-0.165,1,0,1,0,1
23,-0.612,0.804,-1.563,-0.129,1.308,-1.291,-0.845,-0.736,-0.663,-0.326,-1.363,-3.106,1.443,-0.541,-1.95,0.22,-0.269,-1.197,1.451,1.059,-0.162,-0.87,-0.74,-0.48,-0.622,1,0,0,1,1
24,1.169,0.204,0.398,-3.301,0.238,-0.008,0.3,-0.627,-0.296,-0.336,-1.26,-0.093,0.185,-0.115,0.594,0.307,-0.928,-0.003,1.141,-1.177,-1.31,-0.691,-0.74,-0.48,-0.622,1,0,0,1,0
27,-0.912,1.759,-1.138,0.847,0.852,-0.912,-0.722,-0.49,-0.371,-0.586,0.689,0.795,-2.066,-0.468,1.207,0.719,-2.041,2.448,0.214,1.059,0.928,-0.423,-0.56,-0.48,-0.165,0,1,0,1,0
30,0.043,-1.309,1.229,0.603,-1.107,0.821,-0.283,2.679,1.283,1.799,1.607,1.284,0.459,0.486,0.322,0.007,1.341,-0.625,-1.061,0.601,0.853,1.01,0.7,-0.48,-0.165,1,1,1,0,1
32,2.602,-0.023,1.484,0.481,-1.002,1.078,0.047,2.366,-0.253,0.188,0.573,0.528,0.574,1.474,0.439,-0.864,-0.251,1.289,-0.898,0.199,0.928,-0.602,-0.38,-0.48,-0.622,1,1,1,0,1
33,-0.483,1.447,1.098,-0.373,0.218,0.051,-0.533,-0.824,-0.738,-0.461,-1.815,-1.412,-1.321,-1.31,-1.41,-1.175,-0.217,-0.103,0.363,-0.489,0.793,1.457,-0.38,3.838,-0.165,1,0,0,1,1
35,-0.25,-0.662,0.886,0.847,0.762,-1.104,0.09,-0.632,-0.609,-0.335,-1.905,-1.073,-0.445,-0.305,-0.033,-1.389,-1.312,-0.65,2.218,-1.98,-2.131,-1.049,-0.74,-0.48,-0.622,0,1,1,0,0
43,-0.44,1.257,-0.087,-0.007,-0.506,0.361,0.07,-0.663,-0.385,-0.808,0.385,0.626,0.201,0.724,0.546,-0.544,0.731,-0.486,-0.442,-0.26,0.301,1.368,1.6,-0.48,-0.622,0,1,1,0,0
46,3.548,0.133,0.895,-0.495,-2.282,2.403,2.447,1.302,-0.26,0.069,1.266,1.26,0.896,0.535,0.508,0.279,-1.433,0.535,1.259,1.174,0.972,0.204,0.52,-0.48,-0.165,1,0,1,1,1
49,0.806,-0.299,1.062,0.847,0.229,0.021,-0.26,0.23,0.172,0.25,-0.224,-0.129,-0.082,0.599,-0.466,1.206,-0.461,1.492,-0.83,0.715,0.107,-0.154,-0.2,0.6,-0.165,1,1,1,0,1
50,-0.936,-0.669,-0.656,-2.081,1.042,-1.428,-1.074,0.893,0.566,1.557,-1.276,-0.626,1.222,-0.929,0.019,-0.784,-0.582,0.854,-0.084,-1.923,-1.743,-0.154,-0.74,-0.48,3.492,1,0,1,0,0
52,-0.506,-0.345,-0.799,0.725,0,0,0,-0.201,-0.298,0.066,-1.226,-1.065,-0.732,-2.232,-1.397,-1.131,1.076,-0.973,-0.41,-0.317,-0.43,-1.049,-0.74,-0.48,-0.622,0,0,0,1,0
53,-1.001,0.427,-1.214,0.603,1.067,-1.151,-0.936,-0.394,-0.665,-0.499,-0.029,-0.476,0.035,-0.55,-0.287,1.11,-0.035,0.375,-0.308,-0.432,0.823,-1.049,-0.74,-0.48,-0.622,0,1,0,1,1
54,0.332,0.82,0.476,-1.471,-0.558,0.732,-0.103,-0.556,-0.275,-0.44,1.114,1.22,1.033,-0.156,-0.572,0.672,-1.699,1.107,1.049,-0.833,-1.34,-0.781,-0.56,-0.48,-0.622,1,0,0,0,0
57,-0.121,-0.619,1.036,0.847,-1.509,0.939,2.336,1.228,1.195,2.287,0.213,0.427,-0.022,0.36,0.29,0.483,1.315,-0.486,-1.159,0.142,0.928,0.473,-0.2,0.6,0.749,0,1,0,0,0
58,-0.765,1.138,-1.427,0.603,0.469,-0.505,-0.396,-0.876,-0.726,-0.799,-0.637,-0.512,-0.736,0.097,-0.006,-0.927,0.356,0.17,-0.596,-1.579,-1.519,-0.87,-0.74,-0.48,-0.622,0,1,1,1,1
59,0.533,-0.018,1.394,0.847,-2.053,1.707,0.967,-0.779,-0.52,-0.496,0.152,0.6,0.056,2.741,3.801,3.026,1.158,-0.987,-0.497,0.486,0.972,-0.154,-0.38,-0.48,-0.165,1,1,0,0,0
