uid,start_time_var_oncampus,day_entropy_oncampus_30days,days_oncampus,views_oncampus,questions_oncampus,daily_day_oncampus,consc
1,-0.433,-0.57,-1.063,0.928,-0.56,-0.883,4.444
2,-1.283,1.197,0.543,0.928,-0.74,-0.311,4.222
3,-0.911,-1.796,-0.03,0.375,1.96,-0.868,3.889
4,-1.61,0.668,-1.177,-2.027,-0.56,-0.683,2.667
5,-1.098,1.167,1.117,0.957,-0.74,1.554,4.444
7,-0.678,-0.903,-0.26,-0.535,-0.56,-0.636,3.778
8,-0.529,1.026,1.117,1.062,3.219,-0.344,4.222
9,-0.676,0.556,-0.661,-0.982,-0.02,-0.322,2.667
10,-1.694,1.412,1.977,0.942,1.24,0.194,4.778
14,0.475,0.807,-0.718,0.331,1.6,2.638,3.375
15,2.49,0.064,-0.546,-0.743,-0.56,-0.666,3.111
16,-0.686,-0.107,-0.374,-0.535,-0.74,-0.223,3.556
17,-1.059,0.501,0.543,1.032,1.24,-0.452,3.333
18,0.761,0.251,0.027,0.614,-0.2,-0.037,3.222
19,-0.56,-0.201,1.289,0.957,-0.02,-0.126,3.444
20,1.038,-1.658,0.887,-0.833,-0.74,-0.69,3.333
22,0.238,0.07,0.945,-0.162,-0.02,-0.866,4.556
23,0.804,-1.363,1.059,-0.162,-0.74,-0.736,3
24,0.204,-1.26,-1.177,-1.31,-0.74,-0.627,2.333
27,1.759,0.689,1.059,0.928,-0.56,-0.49,2.667
30,-1.309,1.607,0.601,0.853,0.7,2.679,4.444
32,-0.023,0.573,0.199,0.928,-0.38,2.366,4.333
33,1.447,-1.815,-0.489,0.793,-0.38,-0.824,1.889
35,-0.662,-1.905,-1.98,-2.131,-0.74,-0.632,3.556
43,1.257,0.385,-0.26,0.301,1.6,-0.663,4.222
46,0.133,1.266,1.174,0.972,0.52,1.302,3.556
49,-0.299,-0.224,0.715,0.107,-0.2,0.23,3.667
50,-0.669,-1.276,-1.923,-1.743,-0.74,0.893,3.556
52,-0.345,-1.226,-0.317,-0.43,-0.74,-0.201,2.222
53,0.427,-0.029,-0.432,0.823,-0.74,-0.394,2.889
54,0.82,1.114,-0.833,-1.34,-0.56,-0.556,3.111
57,-0.619,0.213,0.142,0.928,-0.2,1.228,3.222
58,1.138,-0.637,-1.579,-1.519,-0.74,-0.876,3.556
59,-0.018,0.152,0.486,0.972,-0.38,-0.779,2.556
