# uid,start_time_var_oncampus,day_entropy_oncampus_30days,questions_oncampus,consc
1.000,-0.433,-0.570,-0.560,1.000
2.000,-1.283,1.197,-0.740,1.000
3.000,-0.911,-1.796,1.960,1.000
4.000,-1.610,0.668,-0.560,0.000
5.000,-1.098,1.167,-0.740,1.000
7.000,-0.678,-0.903,-0.560,1.000
8.000,-0.529,1.026,3.219,1.000
9.000,-0.676,0.556,-0.020,0.000
10.000,-1.694,1.412,1.240,1.000
14.000,0.475,0.807,1.600,0.000
15.000,2.490,0.064,-0.560,0.000
16.000,-0.686,-0.107,-0.740,1.000
17.000,-1.059,0.501,1.240,0.000
18.000,0.761,0.251,-0.200,0.000
19.000,-0.560,-0.201,-0.020,0.000
20.000,1.038,-1.658,-0.740,0.000
22.000,0.238,0.070,-0.020,1.000
23.000,0.804,-1.363,-0.740,0.000
24.000,0.204,-1.260,-0.740,0.000
27.000,1.759,0.689,-0.560,0.000
30.000,-1.309,1.607,0.700,1.000
32.000,-0.023,0.573,-0.380,1.000
33.000,1.447,-1.815,-0.380,0.000
35.000,-0.662,-1.905,-0.740,1.000
43.000,1.257,0.385,1.600,1.000
46.000,0.133,1.266,0.520,1.000
49.000,-0.299,-0.224,-0.200,1.000
50.000,-0.669,-1.276,-0.740,1.000
52.000,-0.345,-1.226,-0.740,0.000
53.000,0.427,-0.029,-0.740,0.000
54.000,0.820,1.114,-0.560,0.000
57.000,-0.619,0.213,-0.200,0.000
58.000,1.138,-0.637,-0.740,1.000
59.000,-0.018,0.152,-0.380,0.000
