uid,nearby_total_30days_oncampus,nearby_timestamp_oncampus,end_time_var_mon,end_time_var_tue,end_time_var_wed,end_time_var_thr,end_time_var_fri,agrbl
01,-1.155,-0.824,0.081,-0.398,-0.474,-0.396,1.454,3.778
02,0.102,-0.227,-0.444,-0.683,-1.322,0.411,0.372,3.000
03,-1.415,-1.194,-1.496,-1.814,-1.370,-1.023,-1.456,3.222
04,-0.247,-0.794,1.505,0.665,-1.361,0.310,-0.450,3.111
05,0.323,1.459,1.090,0.630,1.623,-0.084,-0.042,3.778
07,0.952,-0.714,-0.502,-0.523,0.165,-1.169,-1.033,4.222
08,0.461,0.034,0.986,0.794,1.499,0.689,1.131,3.778
09,-0.335,-0.289,-0.562,-0.722,0.400,-0.943,0.041,4.556
10,2.113,1.079,-0.628,-0.926,-1.303,-1.083,-1.343,1.333
14,1.390,1.960,0.399,1.146,1.111,1.048,-0.458,3.667
15,-0.396,-0.315,-1.325,0.303,0.162,0.436,-1.184,3.556
16,-0.438,0.371,-1.374,-0.627,0.732,-1.080,-1.496,3.333
17,0.113,-0.664,-1.435,-1.632,-1.242,-0.935,-1.140,3.889
18,-0.230,2.189,0.348,0.355,0.002,0.310,-1.356,2.222
19,0.148,0.747,0.849,1.622,0.536,1.670,-0.040,3.111
20,-0.453,-0.815,0.500,0.900,0.783,-0.924,0.241,4.333
22,-1.012,-1.016,-0.276,-0.174,-0.062,0.674,1.702,3.444
23,-0.408,-0.775,-1.410,-1.663,-0.731,-1.035,-0.948,3.667
24,1.483,-0.558,0.060,-0.296,0.282,-1.005,1.133,2.667
27,-0.682,0.014,-1.192,0.306,-1.129,-0.946,-1.132,3.889
30,0.703,0.092,0.971,1.097,0.761,-0.054,-0.357,4.111
32,-0.149,-0.566,0.136,0.016,0.917,2.179,1.994,4.222
33,-0.299,-1.090,1.197,1.589,-0.037,1.250,0.305,3.333
35,0.028,-0.739,0.606,0.706,1.423,0.460,0.649,3.889
43,-0.325,-0.114,0.499,0.015,-0.216,-0.041,-0.421,4.111
46,1.434,-0.529,1.275,1.292,-1.343,0.394,0.549,3.111
49,-1.812,0.668,-0.069,0.537,1.704,1.046,4.222
50,2.515,1.865,-0.120,-1.930,0.596,-1.163,0.912,3.333
52,-1.166,-0.740,-1.545,0.432,-1.242,-0.898,0.939,3.333
53,0.593,-0.480,-0.643,-1.030,-1.008,-0.935,-0.121,4.000
54,1.586,-0.069,-1.565,-1.918,0.540,1.053,0.158,3.333
57,-0.294,0.764,0.985,0.939,1.301,0.386,1.056,4.000
58,-1.650,-0.408,-1.093,-0.705,-1.362,-0.935,-0.874,4.333
59,-0.322,-0.982,1.678,1.171,1.891,0.988,0.139,4.111
