uid,nearby_total_30days_oncampus,nearby_timestamp_oncampus,start_time_var_mon,end_time_var_wed,agrbl
1,-1.155,-0.824,-0.657,-0.474,3.778
2,0.102,-0.227,-1.129,-1.322,3
3,-1.415,-1.194,-0.431,-1.37,3.222
4,-0.247,-0.794,-1.153,-1.361,3.111
5,0.323,1.459,-1.011,1.623,3.778
7,0.952,-0.714,-0.329,0.165,4.222
8,0.461,0.034,0.417,1.499,3.778
9,-0.335,-0.289,2.364,0.4,4.556
10,2.113,1.079,-1.172,-1.303,1.333
14,1.39,1.96,1.691,1.111,3.667
15,-0.396,-0.315,0.967,0.162,3.556
16,-0.438,0.371,-0.972,0.732,3.333
17,0.113,-0.664,-1.039,-1.242,3.889
18,-0.23,2.189,1.182,0.002,2.222
19,0.148,0.747,-0.989,0.536,3.111
20,-0.453,-0.815,2.024,0.783,4.333
22,-1.012,-1.016,1.22,-0.062,3.444
23,-0.408,-0.775,-0.374,-0.731,3.667
24,1.483,-0.558,-0.64,0.282,2.667
27,-0.682,0.014,-0.985,-1.129,3.889
30,0.703,0.092,-1.153,0.761,4.111
32,-0.149,-0.566,-0.173,0.917,4.222
33,-0.299,-1.09,-0.528,-0.037,3.333
35,0.028,-0.739,0.972,1.423,3.889
43,-0.325,-0.114,0.426,-0.216,4.111
46,1.434,-0.529,-0.368,-1.343,3.111
49,-1.812,-0.101,-0.461,0.537,4.222
50,2.515,1.865,-0.437,0.596,3.333
52,-1.166,-0.74,0.271,-1.242,3.333
53,0.593,-0.48,-0.319,-1.008,4
54,1.586,-0.069,0.751,0.54,3.333
57,-0.294,0.764,1.923,1.301,4
58,-1.65,-0.408,0.815,-1.362,4.333
59,-0.322,-0.982,-0.807,1.891,4.111
