# uid,nearby_total_30days_oncampus,fp_53_commonsbakerberry,fp_bakerberrylsb,fp_kemenybakerberry,agrbl
1.000,-1.155,-0.389,-0.287,-0.421,1.000
2.000,0.102,-0.389,-0.015,-0.421,0.000
3.000,-1.415,-0.389,-0.560,-0.421,0.000
4.000,-0.247,0.435,1.346,-0.421,0.000
5.000,0.323,-0.389,-0.015,-0.421,1.000
7.000,0.952,-0.389,-0.560,-0.421,1.000
8.000,0.461,0.435,-0.560,1.909,1.000
9.000,-0.335,0.023,1.346,-0.421,1.000
10.000,2.113,5.381,4.612,4.239,0.000
14.000,1.390,-0.389,2.162,-0.421,0.000
15.000,-0.396,-0.389,-0.560,-0.421,0.000
16.000,-0.438,-0.389,-0.287,-0.421,0.000
17.000,0.113,-0.389,-0.015,-0.421,1.000
18.000,-0.230,-0.389,-0.560,-0.421,0.000
19.000,0.148,-0.389,-0.015,-0.421,0.000
20.000,-0.453,0.435,-0.560,-0.421,1.000
22.000,-1.012,-0.389,-0.560,-0.421,0.000
23.000,-0.408,-0.389,-0.560,-0.421,0.000
24.000,1.483,-0.389,0.801,1.133,0.000
27.000,-0.682,-0.389,0.257,-0.421,1.000
30.000,0.703,0.435,0.257,-0.032,1.000
32.000,-0.149,-0.389,-0.560,0.744,1.000
33.000,-0.299,-0.389,-0.287,-0.421,0.000
35.000,0.028,-0.389,-0.560,-0.421,1.000
43.000,-0.325,-0.389,-0.560,-0.421,1.000
46.000,1.434,-0.389,-0.287,1.521,0.000
49.000,-1.812,-0.389,-0.287,2.298,1.000
50.000,2.515,-0.389,-0.560,-0.421,0.000
52.000,-1.166,0.023,-0.560,-0.421,0.000
53.000,0.593,-0.389,-0.560,-0.421,1.000
54.000,1.586,0.847,-0.287,-0.032,0.000
57.000,-0.294,-0.389,-0.015,-0.421,1.000
58.000,-1.650,-0.389,-0.560,-0.421,1.000
59.000,-0.322,1.259,-0.287,-0.421,1.000
