# uid,nearby_total_30days_oncampus,nearby_timestamp_oncampus,agrbl
1,-1.155,-0.824,1
2,0.102,-0.227,0
3,-1.415,-1.194,0
4,-0.247,-0.794,0
5,0.323,1.459,1
7,0.952,-0.714,1
8,0.461,0.034,1
9,-0.335,-0.289,1
10,2.113,1.079,0
14,1.39,1.96,0
15,-0.396,-0.315,0
16,-0.438,0.371,0
17,0.113,-0.664,1
18,-0.23,2.189,0
19,0.148,0.747,0
20,-0.453,-0.815,1
22,-1.012,-1.016,0
23,-0.408,-0.775,0
24,1.483,-0.558,0
27,-0.682,0.014,1
30,0.703,0.092,1
32,-0.149,-0.566,1
33,-0.299,-1.09,0
35,0.028,-0.739,1
43,-0.325,-0.114,1
46,1.434,-0.529,0
49,-1.812,-0.101,1
50,2.515,1.865,0
52,-1.166,-0.74,0
53,0.593,-0.48,1
54,1.586,-0.069,0
57,-0.294,0.764,1
58,-1.65,-0.408,1
59,-0.322,-0.982,1
