uid,nearby_total_30days_oncampus,nearby_timestamp_oncampus,start_time_var_mon,end_time_var_wed,fp_53_commons;baker-berry,fp_baker-berry;lsb,fp_kemeny;baker-berry,agrbl
1,-1.155,-0.824,-0.657,-0.474,-0.389,-0.287,-0.421,0.798
2,0.102,-0.227,-1.129,-1.322,-0.389,-0.015,-0.421,1.099
3,-1.415,-1.194,-0.431,-1.37,-0.389,-0.56,-0.421,1.022
4,-0.247,-0.794,-1.153,-1.361,0.435,1.346,-0.421,1.061
5,0.323,1.459,-1.011,1.623,-0.389,-0.015,-0.421,0.798
7,0.952,-0.714,-0.329,0.165,-0.389,-0.56,-0.421,0.575
8,0.461,0.034,0.417,1.499,0.435,-0.56,1.909,0.798
9,-0.335,-0.289,2.364,0.4,0.023,1.346,-0.421,0.367
10,2.113,1.079,-1.172,-1.303,5.381,4.612,4.239,1.541
14,1.39,1.96,1.691,1.111,-0.389,2.162,-0.421,0.847
15,-0.396,-0.315,0.967,0.162,-0.389,-0.56,-0.421,0.894
16,-0.438,0.371,-0.972,0.732,-0.389,-0.287,-0.421,0.981
17,0.113,-0.664,-1.039,-1.242,-0.389,-0.015,-0.421,0.747
18,-0.23,2.189,1.182,0.002,-0.389,-0.56,-0.421,1.329
19,0.148,0.747,-0.989,0.536,-0.389,-0.015,-0.421,1.061
20,-0.453,-0.815,2.024,0.783,0.435,-0.56,-0.421,0.511
22,-1.012,-1.016,1.22,-0.062,-0.389,-0.56,-0.421,0.938
23,-0.408,-0.775,-0.374,-0.731,-0.389,-0.56,-0.421,0.847
24,1.483,-0.558,-0.64,0.282,-0.389,0.801,1.133,1.204
27,-0.682,0.014,-0.985,-1.129,-0.389,0.257,-0.421,0.747
30,0.703,0.092,-1.153,0.761,0.435,0.257,-0.032,0.636
32,-0.149,-0.566,-0.173,0.917,-0.389,-0.56,0.744,0.575
33,-0.299,-1.09,-0.528,-0.037,-0.389,-0.287,-0.421,0.981
35,0.028,-0.739,0.972,1.423,-0.389,-0.56,-0.421,0.747
43,-0.325,-0.114,0.426,-0.216,-0.389,-0.56,-0.421,0.636
46,1.434,-0.529,-0.368,-1.343,-0.389,-0.287,1.521,1.061
49,-1.812,-0.101,-0.461,0.537,-0.389,-0.287,2.298,0.575
50,2.515,1.865,-0.437,0.596,-0.389,-0.56,-0.421,0.981
52,-1.166,-0.74,0.271,-1.242,0.023,-0.56,-0.421,0.981
53,0.593,-0.48,-0.319,-1.008,-0.389,-0.56,-0.421,0.693
54,1.586,-0.069,0.751,0.54,0.847,-0.287,-0.032,0.981
57,-0.294,0.764,1.923,1.301,-0.389,-0.015,-0.421,0.693
58,-1.65,-0.408,0.815,-1.362,-0.389,-0.56,-0.421,0.511
59,-0.322,-0.982,-0.807,1.891,1.259,-0.287,-0.421,0.636
