uid,start_time_var_oncampus,day_entropy_oncampus_30days,evening_entropy_oncampus_30days,night_entropy_oncampus_30days,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,days_oncampus,views_oncampus,contributions_oncampus,questions_oncampus,notes_oncampus,answers_oncampus,fp_baker-berry;kemeny,fp_lsb;baker-berry;kemeny,consc
01,-0.433,-0.570,-1.593,-1.125,-0.883,-0.475,-0.670,-1.063,0.928,-0.602,-0.560,0.600,-0.622,-0.418,-0.347,4.444
02,-1.283,1.197,0.418,-0.675,-0.311,-0.067,-0.422,0.543,0.928,-1.049,-0.740,-0.480,-0.622,-0.418,-0.347,4.222
03,-0.911,-1.796,-2.187,-1.705,-0.868,-0.858,-0.694,-0.030,0.375,1.636,1.960,1.679,2.120,-0.418,-0.347,3.889
04,-1.610,0.668,0.625,0.231,-0.683,-0.673,-0.694,-1.177,-2.027,-0.960,-0.560,-0.480,-0.622,-0.418,-0.347,2.667
05,-1.098,1.167,0.593,-0.915,1.554,2.368,0.835,1.117,0.957,-0.960,-0.740,-0.480,-0.622,-0.144,0.010,4.444
07,-0.678,-0.903,-1.008,-0.477,-0.636,-0.583,-0.318,-0.260,-0.535,0.025,-0.560,-0.480,-0.622,-0.418,-0.347,3.778
08,-0.529,1.026,1.070,1.191,-0.344,0.102,-0.466,1.117,1.062,2.979,3.219,-0.480,1.663,0.676,-0.347,4.222
09,-0.676,0.556,0.266,-0.655,-0.322,-0.354,-0.523,-0.661,-0.982,0.741,-0.020,2.759,1.206,-0.418,-0.347,2.667
10,-1.694,1.412,0.361,0.307,0.194,-0.699,-0.823,1.977,0.942,1.278,1.240,-0.480,0.749,3.139,3.933,4.778
14,0.475,0.807,0.631,2.200,2.638,-0.364,-0.405,-0.718,0.331,0.383,1.600,0.600,-0.622,-0.418,-0.347,3.375
15,2.490,0.064,0.765,0.818,-0.666,-0.502,-0.715,-0.546,-0.743,-0.602,-0.560,-0.480,-0.622,-0.418,-0.347,3.111
16,-0.686,-0.107,0.348,-0.744,-0.223,-0.578,-0.733,-0.374,-0.535,-0.781,-0.740,-0.480,-0.622,-0.418,-0.347,3.556
17,-1.059,0.501,-0.027,-1.121,-0.452,-0.665,-0.734,0.543,1.032,1.278,1.240,1.679,1.206,-0.418,-0.347,3.333
18,0.761,0.251,0.483,1.960,-0.037,2.696,2.009,0.027,0.614,-0.512,-0.200,0.600,-0.622,-0.418,-0.347,3.222
19,-0.560,-0.201,0.421,-0.574,-0.126,0.036,-0.638,1.289,0.957,0.741,-0.020,-0.480,2.120,-0.418,-0.347,3.444
20,1.038,-1.658,-0.184,-1.044,-0.690,-0.613,-0.228,0.887,-0.833,-0.870,-0.740,-0.480,-0.622,-0.418,-0.347,3.333
22,0.238,0.070,-0.948,0.168,-0.866,-0.727,-0.695,0.945,-0.162,0.204,-0.020,-0.480,-0.165,-0.418,-0.347,4.556
23,0.804,-1.363,-3.106,1.443,-0.736,-0.663,-0.326,1.059,-0.162,-0.870,-0.740,-0.480,-0.622,-0.418,-0.347,3.000
24,0.204,-1.260,-0.093,0.185,-0.627,-0.296,-0.336,-1.177,-1.310,-0.691,-0.740,-0.480,-0.622,-0.418,-0.347,2.333
27,1.759,0.689,0.795,-2.066,-0.490,-0.371,-0.586,1.059,0.928,-0.423,-0.560,-0.480,-0.165,-0.418,-0.347,2.667
30,-1.309,1.607,1.284,0.459,2.679,1.283,1.799,0.601,0.853,1.010,0.700,-0.480,-0.165,3.139,3.220,4.444
32,-0.023,0.573,0.528,0.574,2.366,-0.253,0.188,0.199,0.928,-0.602,-0.380,-0.480,-0.622,-0.418,-0.347,4.333
33,1.447,-1.815,-1.412,-1.321,-0.824,-0.738,-0.461,-0.489,0.793,1.457,-0.380,3.838,-0.165,-0.418,-0.347,1.889
35,-0.662,-1.905,-1.073,-0.445,-0.632,-0.609,-0.335,-1.980,-2.131,-1.049,-0.740,-0.480,-0.622,-0.418,-0.347,3.556
43,1.257,0.385,0.626,0.201,-0.663,-0.385,-0.808,-0.260,0.301,1.368,1.600,-0.480,-0.622,-0.418,-0.347,4.222
46,0.133,1.266,1.260,0.896,1.302,-0.260,0.069,1.174,0.972,0.204,0.520,-0.480,-0.165,0.676,0.367,3.556
49,-0.299,-0.224,-0.129,-0.082,0.230,0.172,0.250,0.715,0.107,-0.154,-0.200,0.600,-0.165,2.865,2.507,3.667
50,-0.669,-1.276,-0.626,1.222,0.893,0.566,1.557,-1.923,-1.743,-0.154,-0.740,-0.480,3.492,-0.418,-0.347,3.556
52,-0.345,-1.226,-1.065,-0.732,-0.201,-0.298,0.066,-0.317,-0.430,-1.049,-0.740,-0.480,-0.622,-0.418,-0.347,2.222
53,0.427,-0.029,-0.476,0.035,-0.394,-0.665,-0.499,-0.432,0.823,-1.049,-0.740,-0.480,-0.622,-0.418,-0.347,2.889
54,0.820,1.114,1.220,1.033,-0.556,-0.275,-0.440,-0.833,-1.340,-0.781,-0.560,-0.480,-0.622,-0.144,-0.347,3.111
57,-0.619,0.213,0.427,-0.022,1.228,1.195,2.287,0.142,0.928,0.473,-0.200,0.600,0.749,-0.418,-0.347,3.222
58,1.138,-0.637,-0.512,-0.736,-0.876,-0.726,-0.799,-1.579,-1.519,-0.870,-0.740,-0.480,-0.622,-0.418,-0.347,3.556
59,-0.018,0.152,0.600,0.056,-0.779,-0.520,-0.496,0.486,0.972,-0.154,-0.380,-0.480,-0.165,-0.418,-0.347,2.556
