uid,len_var_oncampus,end_time_var_oncampus,end_time_avg_oncampus,len_var_mon,end_time_var_wed,end_time_var_fri,edit_dist,gps_avg_area,daily_day_oncampus,num_days_activity_oncampus,fp_53_commons;sudikoff,fp_occum,extra
1,-0.289,-0.15,0.407,-0.459,-0.474,1.454,0.658,-0.344,-0.883,0.359,-0.87,-0.507,3.125
2,-1.321,-0.607,1.094,-1.089,-1.322,0.372,-0.627,-0.343,-0.311,0.847,0.109,-0.507,2.125
3,-0.989,-2.039,0.401,-1.071,-1.37,-1.456,-1.643,-0.344,-0.868,-0.739,-0.87,-0.507,2.125
4,0.49,0.131,1.301,-0.574,-1.361,-0.45,1.836,0.365,-0.683,-0.129,-0.87,-0.149,2.375
5,0.511,0.692,0.06,-0.306,1.623,-0.042,0.614,-0.182,1.554,0.603,0.109,1.641,3.125
7,0.585,-0.048,0.294,0.312,0.165,-1.033,0.605,-0.344,-0.636,-1.227,1.088,-0.507,3.125
8,-0.992,1.311,-0.433,-0.219,1.499,1.131,0.381,-0.344,-0.344,0.725,2.067,-0.507,2.625
9,-0.761,-0.682,0.948,-0.071,0.4,0.041,-0.078,-0.344,-0.322,0.847,-0.87,0.209,2.375
10,-0.517,-1.586,1.212,-0.644,-1.303,-1.343,-0.727,-0.344,0.194,0.847,-0.87,-0.507,2
14,0.431,0.686,-1.612,2.138,1.111,-0.458,1.639,-0.344,2.638,0.481,-0.87,1.283,3.25
15,0.828,-0.201,0.556,0.3,0.162,-1.184,-0.018,0.8,-0.666,-1.471,0.109,-0.507,3.25
16,-0.582,-1.159,1.419,-0.681,0.732,-1.496,-0.383,-0.344,-0.223,0.603,1.088,-0.149,1.75
17,-0.509,-1.865,1.138,-0.293,-1.242,-1.14,-0.641,-0.344,-0.452,0.725,-0.87,-0.507,2.625
18,0.379,-0.124,0.309,0.135,0.002,-1.356,-0.357,0.675,-0.037,-0.007,-0.87,-0.507,2.625
19,-0.897,0.919,0.281,-0.195,0.536,-0.04,-0.295,-0.344,-0.126,0.847,-0.87,-0.507,1.75
20,-0.416,0.522,-0.716,0.26,0.783,0.241,-0.884,-0.345,-0.69,-1.227,0.109,-0.507,3.875
22,-0.452,0.325,0.128,-0.18,-0.062,1.702,-0.018,-0.344,-0.866,0.359,0.109,-0.149,3.625
23,-0.612,-1.563,-0.767,-0.848,-0.731,-0.948,-1.241,-0.345,-0.736,-0.129,0.109,-0.507,3
24,1.169,0.398,-0.319,-0.668,0.282,1.133,0.16,-0.343,-0.627,-3.301,1.088,-0.507,3.5
27,-0.912,-1.138,0.525,-0.974,-1.129,-1.132,-1.008,-0.345,-0.49,0.847,-0.87,-0.507,2.5
30,0.043,1.229,-0.932,2.662,0.761,-0.357,0.82,5.455,2.679,0.603,3.046,2.357,4.5
32,2.602,1.484,-0.754,2.621,0.917,1.994,1.872,-0.342,2.366,0.481,0.109,4.148,4.25
33,-0.483,1.098,0.276,-0.941,-0.037,0.305,-0.775,-0.344,-0.824,-0.373,-0.87,-0.507,2.875
35,-0.25,0.886,0.097,-0.256,1.423,0.649,-0.613,-0.341,-0.632,0.847,0.109,-0.507,2.625
43,-0.44,-0.087,0.438,-0.318,-0.216,-0.421,-0.131,-0.248,-0.663,-0.007,1.088,-0.507,2.375
46,3.548,0.895,-1.736,-0.535,-1.343,0.549,2.149,-0.343,1.302,-0.495,0.109,0.567,3.125
49,0.806,1.062,-1.344,-0.689,0.537,1.046,0.799,0.142,0.23,0.847,0.109,-0.507,2.875
50,-0.936,-0.656,-2.834,-0.495,0.596,0.912,-1.578,-0.344,0.893,-2.081,-0.87,-0.507,3.875
52,-0.506,-0.799,1.146,1.722,-1.242,0.939,-0.782,-0.15,-0.201,0.725,-0.87,-0.507,1.625
53,-1.001,-1.214,0.802,-0.516,-1.008,-0.121,-1.468,-0.345,-0.394,0.603,-0.87,-0.507,2.25
54,0.332,0.476,-1.497,0.729,0.54,0.158,0.541,1.405,-0.556,-1.471,0.109,-0.507,3
57,-0.121,1.036,-0.367,0.659,1.301,1.056,0.074,-0.331,1.228,0.847,2.067,0.567,2.125
58,-0.765,-1.427,1.292,-1.011,-1.362,-0.874,-1.271,-0.221,-0.876,0.603,-0.87,-0.507,2.125
59,0.533,1.394,-0.963,-0.848,1.891,0.139,1.743,0.053,-0.779,0.847,1.088,1.283,4
