# uid,len_var_oncampus,end_time_var_oncampus,num_days_activity_oncampus,daily_day_oncampus,fp_53_commonssudikoff,fp_occum,extra
1.000,-0.289,-0.150,62.000,-0.883,-0.870,-0.507,1.000
2.000,-1.321,-0.607,66.000,-0.311,0.109,-0.507,0.000
3.000,-0.989,-2.039,53.000,-0.868,-0.870,-0.507,0.000
4.000,0.490,0.131,58.000,-0.683,-0.870,-0.149,0.000
5.000,0.511,0.692,64.000,1.554,0.109,1.641,1.000
7.000,0.585,-0.048,49.000,-0.636,1.088,-0.507,1.000
8.000,-0.992,1.311,65.000,-0.344,2.067,-0.507,0.000
9.000,-0.761,-0.682,66.000,-0.322,-0.870,0.209,0.000
10.000,-0.517,-1.586,66.000,0.194,-0.870,-0.507,0.000
14.000,0.431,0.686,63.000,2.638,-0.870,1.283,1.000
15.000,0.828,-0.201,47.000,-0.666,0.109,-0.507,1.000
16.000,-0.582,-1.159,64.000,-0.223,1.088,-0.149,0.000
17.000,-0.509,-1.865,65.000,-0.452,-0.870,-0.507,0.000
18.000,0.379,-0.124,59.000,-0.037,-0.870,-0.507,0.000
19.000,-0.897,0.919,66.000,-0.126,-0.870,-0.507,0.000
20.000,-0.416,0.522,49.000,-0.690,0.109,-0.507,1.000
22.000,-0.452,0.325,62.000,-0.866,0.109,-0.149,1.000
23.000,-0.612,-1.563,58.000,-0.736,0.109,-0.507,1.000
24.000,1.169,0.398,32.000,-0.627,1.088,-0.507,1.000
27.000,-0.912,-1.138,66.000,-0.490,-0.870,-0.507,0.000
30.000,0.043,1.229,64.000,2.679,3.046,2.357,1.000
32.000,2.602,1.484,63.000,2.366,0.109,4.148,1.000
33.000,-0.483,1.098,56.000,-0.824,-0.870,-0.507,0.000
35.000,-0.250,0.886,66.000,-0.632,0.109,-0.507,0.000
43.000,-0.440,-0.087,59.000,-0.663,1.088,-0.507,0.000
46.000,3.548,0.895,55.000,1.302,0.109,0.567,1.000
49.000,0.806,1.062,66.000,0.230,0.109,-0.507,0.000
50.000,-0.936,-0.656,42.000,0.893,-0.870,-0.507,1.000
52.000,-0.506,-0.799,-0.201,-0.298,-0.507,1.625,0.000
53.000,-1.001,-1.214,64.000,-0.394,-0.870,-0.507,0.000
54.000,0.332,0.476,47.000,-0.556,0.109,-0.507,1.000
57.000,-0.121,1.036,66.000,1.228,2.067,0.567,0.000
58.000,-0.765,-1.427,64.000,-0.876,-0.870,-0.507,0.000
59.000,0.533,1.394,66.000,-0.779,1.088,1.283,1.000
