# uid,len_var_oncampus,end_time_var_oncampus,num_days_activity_oncampus,len_var_mon,end_time_var_wed,end_time_var_fri,daily_day_oncampus,fp_53_commonssudikoff,fp_occum,extra
1.000,-0.289,-0.150,0.359,-0.459,-0.474,1.454,-0.883,-0.870,-0.507,1.000
2.000,-1.321,-0.607,0.847,-1.089,-1.322,0.372,-0.311,0.109,-0.507,0.000
3.000,-0.989,-2.039,-0.739,-1.071,-1.370,-1.456,-0.868,-0.870,-0.507,0.000
4.000,0.490,0.131,-0.129,-0.574,-1.361,-0.450,-0.683,-0.870,-0.149,0.000
5.000,0.511,0.692,0.603,-0.306,1.623,-0.042,1.554,0.109,1.641,1.000
7.000,0.585,-0.048,-1.227,0.312,0.165,-1.033,-0.636,1.088,-0.507,1.000
8.000,-0.992,1.311,0.725,-0.219,1.499,1.131,-0.344,2.067,-0.507,0.000
9.000,-0.761,-0.682,0.847,-0.071,0.400,0.041,-0.322,-0.870,0.209,0.000
10.000,-0.517,-1.586,0.847,-0.644,-1.303,-1.343,0.194,-0.870,-0.507,0.000
14.000,0.431,0.686,0.481,2.138,1.111,-0.458,2.638,-0.870,1.283,1.000
15.000,0.828,-0.201,-1.471,0.300,0.162,-1.184,-0.666,0.109,-0.507,1.000
16.000,-0.582,-1.159,0.603,-0.681,0.732,-1.496,-0.223,1.088,-0.149,0.000
17.000,-0.509,-1.865,0.725,-0.293,-1.242,-1.140,-0.452,-0.870,-0.507,0.000
18.000,0.379,-0.124,-0.007,0.135,0.002,-1.356,-0.037,-0.870,-0.507,0.000
19.000,-0.897,0.919,0.847,-0.195,0.536,-0.040,-0.126,-0.870,-0.507,0.000
20.000,-0.416,0.522,-1.227,0.260,0.783,0.241,-0.690,0.109,-0.507,1.000
22.000,-0.452,0.325,0.359,-0.180,-0.062,1.702,-0.866,0.109,-0.149,1.000
23.000,-0.612,-1.563,-0.129,-0.848,-0.731,-0.948,-0.736,0.109,-0.507,1.000
24.000,1.169,0.398,-3.301,-0.668,0.282,1.133,-0.627,1.088,-0.507,1.000
27.000,-0.912,-1.138,0.847,-0.974,-1.129,-1.132,-0.490,-0.870,-0.507,0.000
30.000,0.043,1.229,0.603,2.662,0.761,-0.357,2.679,3.046,2.357,1.000
32.000,2.602,1.484,0.481,2.621,0.917,1.994,2.366,0.109,4.148,1.000
33.000,-0.483,1.098,-0.373,-0.941,-0.037,0.305,-0.824,-0.870,-0.507,1.000
35.000,-0.250,0.886,0.847,-0.256,1.423,0.649,-0.632,0.109,-0.507,0.000
43.000,-0.440,-0.087,-0.007,-0.318,-0.216,-0.421,-0.663,1.088,-0.507,0.000
46.000,3.548,0.895,-0.495,-0.535,-1.343,0.549,1.302,0.109,0.567,1.000
49.000,0.806,1.062,0.847,-0.689,0.537,1.046,0.230,0.109,-0.507,1.000
50.000,-0.936,-0.656,-2.081,-0.495,0.596,0.912,0.893,-0.870,-0.507,1.000
52.000,-0.506,-0.799,0.725,1.722,-1.242,0.939,-0.201,-0.870,-0.507,0.000
53.000,-1.001,-1.214,0.603,-0.516,-1.008,-0.121,-0.394,-0.870,-0.507,0.000
54.000,0.332,0.476,-1.471,0.729,0.540,0.158,-0.556,0.109,-0.507,1.000
57.000,-0.121,1.036,0.847,0.659,1.301,1.056,1.228,2.067,0.567,0.000
58.000,-0.765,-1.427,0.603,-1.011,-1.362,-0.874,-0.876,-0.870,-0.507,0.000
59.000,0.533,1.394,0.847,-0.848,1.891,0.139,-0.779,1.088,1.283,1.000
