# uid,len_var_oncampus,end_time_var_oncampus,end_time_avg_oncampus,len_var_mon,end_time_var_wed,edit_dist,gps_avg_area,daily_day_oncampus,num_days_activity_oncampus,fp_53_commonssudikoff,fp_occum,extra
1.000,-0.289,-0.150,0.407,-0.459,-0.474,0.658,-0.344,-0.883,0.359,-0.870,-0.507,1.000
2.000,-1.321,-0.607,1.094,-1.089,-1.322,-0.627,-0.343,-0.311,0.847,0.109,-0.507,0.000
3.000,-0.989,-2.039,0.401,-1.071,-1.370,-1.643,-0.344,-0.868,-0.739,-0.870,-0.507,0.000
4.000,0.490,0.131,1.301,-0.574,-1.361,1.836,0.365,-0.683,-0.129,-0.870,-0.149,0.000
5.000,0.511,0.692,0.060,-0.306,1.623,0.614,-0.182,1.554,0.603,0.109,1.641,1.000
7.000,0.585,-0.048,0.294,0.312,0.165,0.605,-0.344,-0.636,-1.227,1.088,-0.507,1.000
8.000,-0.992,1.311,-0.433,-0.219,1.499,0.381,-0.344,-0.344,0.725,2.067,-0.507,0.000
9.000,-0.761,-0.682,0.948,-0.071,0.400,-0.078,-0.344,-0.322,0.847,-0.870,0.209,0.000
10.000,-0.517,-1.586,1.212,-0.644,-1.303,-0.727,-0.344,0.194,0.847,-0.870,-0.507,0.000
14.000,0.431,0.686,-1.612,2.138,1.111,1.639,-0.344,2.638,0.481,-0.870,1.283,1.000
15.000,0.828,-0.201,0.556,0.300,0.162,-0.018,0.800,-0.666,-1.471,0.109,-0.507,1.000
16.000,-0.582,-1.159,1.419,-0.681,0.732,-0.383,-0.344,-0.223,0.603,1.088,-0.149,0.000
17.000,-0.509,-1.865,1.138,-0.293,-1.242,-0.641,-0.344,-0.452,0.725,-0.870,-0.507,0.000
18.000,0.379,-0.124,0.309,0.135,0.002,-0.357,0.675,-0.037,-0.007,-0.870,-0.507,0.000
19.000,-0.897,0.919,0.281,-0.195,0.536,-0.295,-0.344,-0.126,0.847,-0.870,-0.507,0.000
20.000,-0.416,0.522,-0.716,0.260,0.783,-0.884,-0.345,-0.690,-1.227,0.109,-0.507,1.000
22.000,-0.452,0.325,0.128,-0.180,-0.062,-0.018,-0.344,-0.866,0.359,0.109,-0.149,1.000
23.000,-0.612,-1.563,-0.767,-0.848,-0.731,-1.241,-0.345,-0.736,-0.129,0.109,-0.507,1.000
24.000,1.169,0.398,-0.319,-0.668,0.282,0.160,-0.343,-0.627,-3.301,1.088,-0.507,1.000
27.000,-0.912,-1.138,0.525,-0.974,-1.129,-1.008,-0.345,-0.490,0.847,-0.870,-0.507,0.000
30.000,0.043,1.229,-0.932,2.662,0.761,0.820,5.455,2.679,0.603,3.046,2.357,1.000
32.000,2.602,1.484,-0.754,2.621,0.917,1.872,-0.342,2.366,0.481,0.109,4.148,1.000
33.000,-0.483,1.098,0.276,-0.941,-0.037,-0.775,-0.344,-0.824,-0.373,-0.870,-0.507,1.000
35.000,-0.250,0.886,0.097,-0.256,1.423,-0.613,-0.341,-0.632,0.847,0.109,-0.507,0.000
43.000,-0.440,-0.087,0.438,-0.318,-0.216,-0.131,-0.248,-0.663,-0.007,1.088,-0.507,0.000
46.000,3.548,0.895,-1.736,-0.535,-1.343,2.149,-0.343,1.302,-0.495,0.109,0.567,1.000
49.000,0.806,1.062,-1.344,-0.689,0.537,0.799,0.142,0.230,0.847,0.109,-0.507,1.000
50.000,-0.936,-0.656,-2.834,-0.495,0.596,-1.578,-0.344,0.893,-2.081,-0.870,-0.507,1.000
52.000,-0.506,-0.799,1.146,1.722,-1.242,-0.782,-0.150,-0.201,0.725,-0.870,-0.507,0.000
53.000,-1.001,-1.214,0.802,-0.516,-1.008,-1.468,-0.345,-0.394,0.603,-0.870,-0.507,0.000
54.000,0.332,0.476,-1.497,0.729,0.540,0.541,1.405,-0.556,-1.471,0.109,-0.507,1.000
57.000,-0.121,1.036,-0.367,0.659,1.301,0.074,-0.331,1.228,0.847,2.067,0.567,0.000
58.000,-0.765,-1.427,1.292,-1.011,-1.362,-1.271,-0.221,-0.876,0.603,-0.870,-0.507,0.000
59.000,0.533,1.394,-0.963,-0.848,1.891,1.743,0.053,-0.779,0.847,1.088,1.283,1.000
