uid,end_time_avg_oncampus,end_time_var_oncampus,len_var_mon,start_time_var_mon,end_time_var_wed,edit_dist,daily_day_oncampus,fp_53_commons;sudikoff,fp_occum,neuro
1,0.407,-0.15,-0.459,-0.657,-0.474,0.658,-0.883,-0.87,-0.507,2.75
2,1.094,-0.607,-1.089,-1.129,-1.322,-0.627,-0.311,0.109,-0.507,3.5
3,0.401,-2.039,-1.071,-0.431,-1.37,-1.643,-0.868,-0.87,-0.507,3.375
4,1.301,0.131,-0.574,-1.153,-1.361,1.836,-0.683,-0.87,-0.149,4.125
5,0.06,0.692,-0.306,-1.011,1.623,0.614,1.554,0.109,1.641,2.75
7,0.294,-0.048,0.312,-0.329,0.165,0.605,-0.636,1.088,-0.507,2.143
8,-0.433,1.311,-0.219,0.417,1.499,0.381,-0.344,2.067,-0.507,3.25
9,0.948,-0.682,-0.071,2.364,0.4,-0.078,-0.322,-0.87,0.209,2.125
10,1.212,-1.586,-0.644,-1.172,-1.303,-0.727,0.194,-0.87,-0.507,3.375
14,-1.612,0.686,2.138,1.691,1.111,1.639,2.638,-0.87,1.283,2.429
15,0.556,-0.201,0.3,0.967,0.162,-0.018,-0.666,0.109,-0.507,2.75
16,1.419,-1.159,-0.681,-0.972,0.732,-0.383,-0.223,1.088,-0.149,4.25
17,1.138,-1.865,-0.293,-1.039,-1.242,-0.641,-0.452,-0.87,-0.507,3.125
18,0.309,-0.124,0.135,1.182,0.002,-0.357,-0.037,-0.87,-0.507,3.75
19,0.281,0.919,-0.195,-0.989,0.536,-0.295,-0.126,-0.87,-0.507,3.625
20,-0.716,0.522,0.26,2.024,0.783,-0.884,-0.69,0.109,-0.507,2.375
22,0.128,0.325,-0.18,1.22,-0.062,-0.018,-0.866,0.109,-0.149,2.875
23,-0.767,-1.563,-0.848,-0.374,-0.731,-1.241,-0.736,0.109,-0.507,3.75
24,-0.319,0.398,-0.668,-0.64,0.282,0.16,-0.627,1.088,-0.507,3.125
27,0.525,-1.138,-0.974,-0.985,-1.129,-1.008,-0.49,-0.87,-0.507,3.125
30,-0.932,1.229,2.662,-1.153,0.761,0.82,2.679,3.046,2.357,2
32,-0.754,1.484,2.621,-0.173,0.917,1.872,2.366,0.109,4.148,1.75
33,0.276,1.098,-0.941,-0.528,-0.037,-0.775,-0.824,-0.87,-0.507,3.625
35,0.097,0.886,-0.256,0.972,1.423,-0.613,-0.632,0.109,-0.507,2.625
43,0.438,-0.087,-0.318,0.426,-0.216,-0.131,-0.663,1.088,-0.507,2.5
46,-1.736,0.895,-0.535,-0.368,-1.343,2.149,1.302,0.109,0.567,3.5
49,-1.344,1.062,-0.689,-0.461,0.537,0.799,0.23,0.109,-0.507,2.5
50,-2.834,-0.656,-0.495,-0.437,0.596,-1.578,0.893,-0.87,-0.507,2.5
52,1.146,-0.799,1.722,0.271,-1.242,-0.782,-0.201,-0.87,-0.507,4.125
53,0.802,-1.214,-0.516,-0.319,-1.008,-1.468,-0.394,-0.87,-0.507,4.5
54,-1.497,0.476,0.729,0.751,0.54,0.541,-0.556,0.109,-0.507,2.75
57,-0.367,1.036,0.659,1.923,1.301,0.074,1.228,2.067,0.567,2.125
58,1.292,-1.427,-1.011,0.815,-1.362,-1.271,-0.876,-0.87,-0.507,3.875
59,-0.963,1.394,-0.848,-0.807,1.891,1.743,-0.779,1.088,1.283,2.875
