# uid,end_time_avg_oncampus,end_time_var_oncampus,edit_dist,gps_avg_radius,daily_day_oncampus,fp_53_commonssudikoff,fp_occum,neuro
1,0.407,-0.15,0.658,-0.486,-0.883,-0.87,-0.507,0
2,1.094,-0.607,-0.627,-0.365,-0.311,0.109,-0.507,1
3,0.401,-2.039,-1.643,-0.466,-0.868,-0.87,-0.507,1
4,1.301,0.131,1.836,-0.467,-0.683,-0.87,-0.149,1
5,0.06,0.692,0.614,-0.489,1.554,0.109,1.641,0
7,0.294,-0.048,0.605,-0.486,-0.636,1.088,-0.507,0
8,-0.433,1.311,0.381,-0.264,-0.344,2.067,-0.507,1
9,0.948,-0.682,-0.078,0.086,-0.322,-0.87,0.209,0
10,1.212,-1.586,-0.727,-0.487,0.194,-0.87,-0.507,1
14,-1.612,0.686,1.639,-0.498,2.638,-0.87,1.283,0
15,0.556,-0.201,-0.018,1.198,-0.666,0.109,-0.507,0
16,1.419,-1.159,-0.383,-0.496,-0.223,1.088,-0.149,1
17,1.138,-1.865,-0.641,-0.506,-0.452,-0.87,-0.507,1
18,0.309,-0.124,-0.357,-0.02,-0.037,-0.87,-0.507,1
19,0.281,0.919,-0.295,-0.492,-0.126,-0.87,-0.507,1
20,-0.716,0.522,-0.884,-0.509,-0.69,0.109,-0.507,0
22,0.128,0.325,-0.018,-0.498,-0.866,0.109,-0.149,0
23,-0.767,-1.563,-1.241,-0.513,-0.736,0.109,-0.507,1
24,-0.319,0.398,0.16,-0.425,-0.627,1.088,-0.507,1
27,0.525,-1.138,-1.008,-0.507,-0.49,-0.87,-0.507,1
30,-0.932,1.229,0.82,3.068,2.679,3.046,2.357,0
32,-0.754,1.484,1.872,0.046,2.366,0.109,4.148,0
33,0.276,1.098,-0.775,-0.475,-0.824,-0.87,-0.507,1
35,0.097,0.886,-0.613,-0.376,-0.632,0.109,-0.507,0
43,0.438,-0.087,-0.131,0.225,-0.663,1.088,-0.507,0
46,-1.736,0.895,2.149,-0.448,1.302,0.109,0.567,1
49,-1.344,1.062,0.799,0.01,0.23,0.109,-0.507,0
50,-2.834,-0.656,-1.578,-0.51,0.893,-0.87,-0.507,0
52,1.146,-0.799,-0.782,-0.184,-0.201,-0.87,-0.507,1
53,0.802,-1.214,-1.468,-0.492,-0.394,-0.87,-0.507,1
54,-1.497,0.476,0.541,1.348,-0.556,0.109,-0.507,0
57,-0.367,1.036,0.074,3.451,1.228,2.067,0.567,0
58,1.292,-1.427,-1.271,-0.394,-0.876,-0.87,-0.507,1
59,-0.963,1.394,1.743,2.414,-0.779,1.088,1.283,0
