# uid,end_time_var_oncampus,len_var_mon,start_time_var_mon,end_time_var_wed,daily_day_oncampus,fp_53_commonssudikoff,fp_occum,neuro
1,-0.15,-0.459,-0.657,-0.474,-0.883,-0.87,-0.507,0
2,-0.607,-1.089,-1.129,-1.322,-0.311,0.109,-0.507,1
3,-2.039,-1.071,-0.431,-1.37,-0.868,-0.87,-0.507,1
4,0.131,-0.574,-1.153,-1.361,-0.683,-0.87,-0.149,1
5,0.692,-0.306,-1.011,1.623,1.554,0.109,1.641,0
7,-0.048,0.312,-0.329,0.165,-0.636,1.088,-0.507,0
8,1.311,-0.219,0.417,1.499,-0.344,2.067,-0.507,1
9,-0.682,-0.071,2.364,0.4,-0.322,-0.87,0.209,0
10,-1.586,-0.644,-1.172,-1.303,0.194,-0.87,-0.507,1
14,0.686,2.138,1.691,1.111,2.638,-0.87,1.283,0
15,-0.201,0.3,0.967,0.162,-0.666,0.109,-0.507,0
16,-1.159,-0.681,-0.972,0.732,-0.223,1.088,-0.149,1
17,-1.865,-0.293,-1.039,-1.242,-0.452,-0.87,-0.507,1
18,-0.124,0.135,1.182,0.002,-0.037,-0.87,-0.507,1
19,0.919,-0.195,-0.989,0.536,-0.126,-0.87,-0.507,1
20,0.522,0.26,2.024,0.783,-0.69,0.109,-0.507,0
22,0.325,-0.18,1.22,-0.062,-0.866,0.109,-0.149,0
23,-1.563,-0.848,-0.374,-0.731,-0.736,0.109,-0.507,1
24,0.398,-0.668,-0.64,0.282,-0.627,1.088,-0.507,1
27,-1.138,-0.974,-0.985,-1.129,-0.49,-0.87,-0.507,1
30,1.229,2.662,-1.153,0.761,2.679,3.046,2.357,0
32,1.484,2.621,-0.173,0.917,2.366,0.109,4.148,0
33,1.098,-0.941,-0.528,-0.037,-0.824,-0.87,-0.507,1
35,0.886,-0.256,0.972,1.423,-0.632,0.109,-0.507,0
43,-0.087,-0.318,0.426,-0.216,-0.663,1.088,-0.507,0
46,0.895,-0.535,-0.368,-1.343,1.302,0.109,0.567,1
49,1.062,-0.689,-0.461,0.537,0.23,0.109,-0.507,0
50,-0.656,-0.495,-0.437,0.596,0.893,-0.87,-0.507,0
52,-0.799,1.722,0.271,-1.242,-0.201,-0.87,-0.507,1
53,-1.214,-0.516,-0.319,-1.008,-0.394,-0.87,-0.507,1
54,0.476,0.729,0.751,0.54,-0.556,0.109,-0.507,0
57,1.036,0.659,1.923,1.301,1.228,2.067,0.567,0
58,-1.427,-1.011,0.815,-1.362,-0.876,-0.87,-0.507,1
59,1.394,-0.848,-0.807,1.891,-0.779,1.088,1.283,0
