uid,len_var_mon,len_var_tue,len_var_wed,len_var_thr,len_var_fri,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,fp_sport-venues,openn
01,-0.459,0.100,-0.517,-0.601,0.828,-0.883,-0.475,-0.670,-0.899,3.900
02,-1.089,-0.272,-1.319,-1.364,-0.134,-0.311,-0.067,-0.422,1.540,3.200
03,-1.071,-0.949,-1.094,-1.027,-0.949,-0.868,-0.858,-0.694,-0.899,2.700
04,-0.574,0.056,1.075,3.046,2.373,-0.683,-0.673,-0.694,2.649,2.900
05,-0.306,0.015,-0.192,0.078,0.112,1.554,2.368,0.835,1.540,3.300
07,0.312,0.149,0.005,1.219,-0.066,-0.636,-0.583,-0.318,1.540,2.300
08,-0.219,-0.782,0.049,-0.994,0.027,-0.344,0.102,-0.466,-0.234,3.300
09,-0.071,0.182,-0.741,0.502,-0.571,-0.322,-0.354,-0.523,-0.234,3.300
10,-0.644,-0.552,0.169,-1.223,-0.274,0.194,-0.699,-0.823,-0.456,3.600
14,2.138,1.831,0.478,2.348,2.139,2.638,-0.364,-0.405,-0.456,3.300
15,0.300,-0.397,0.716,-1.062,-0.622,-0.666,-0.502,-0.715,0.431,3.000
16,-0.681,-0.713,-0.080,0.007,-0.303,-0.223,-0.578,-0.733,0.431,3.800
17,-0.293,-0.637,-1.020,0.373,-0.630,-0.452,-0.665,-0.734,-0.678,4.500
18,0.135,-0.429,0.229,0.323,-0.701,-0.037,2.696,2.009,0.209,2.500
19,-0.195,-0.839,-0.399,-0.296,-1.210,-0.126,0.036,-0.638,-0.456,3.200
20,0.260,-0.612,-1.016,-0.818,-0.805,-0.690,-0.613,-0.228,-0.234,3.600
22,-0.180,-0.237,0.254,-0.291,0.023,-0.866,-0.727,-0.695,0.653,3.800
23,-0.848,-0.548,-0.817,-0.232,-1.087,-0.736,-0.663,-0.326,-0.678,3.600
24,-0.668,-0.038,1.168,-0.238,1.559,-0.627,-0.296,-0.336,-0.456,3.500
27,-0.974,-1.006,-0.969,0.289,-0.355,-0.490,-0.371,-0.586,-0.899,3.300
30,2.662,-0.414,0.422,0.759,0.201,2.679,1.283,1.799,-0.456,3.600
32,2.621,2.736,-0.484,0.965,0.748,2.366,-0.253,0.188,-0.678,3.700
33,-0.941,-0.909,0.016,-1.286,-0.367,-0.824,-0.738,-0.461,-0.899,4.600
35,-0.256,-0.300,-0.927,0.227,-0.273,-0.632,-0.609,-0.335,-0.899,3.400
43,-0.318,-0.410,0.702,0.240,0.310,-0.663,-0.385,-0.808,-0.899,3.300
46,-0.535,3.402,2.376,-0.371,-0.988,1.302,-0.260,0.069,-0.012,4.200
49,-0.689,0.295,2.790,-0.481,1.268,0.230,0.172,0.250,-0.012,4.300
50,-0.495,-1.021,-1.319,-1.191,-1.156,0.893,0.566,1.557,-0.899,3.500
52,1.722,1.034,2.227,1.705,2.826,-0.201,-0.298,0.066,-0.899,3.500
53,-0.516,-0.675,-1.311,-1.022,-0.571,-0.394,-0.665,-0.499,-0.456,4.400
54,0.729,0.172,-0.305,0.421,-1.135,-0.556,-0.275,-0.440,-0.678,3.100
57,0.659,0.488,-0.386,1.153,-0.540,1.228,1.195,2.287,1.540,2.700
58,-1.011,-0.931,-0.540,-0.851,-0.261,-0.876,-0.726,-0.799,0.653,3.600
59,-0.848,0.863,-0.355,0.025,1.218,-0.779,-0.520,-0.496,-0.234,3.500
