# uid,len_var_thr,fp_sportvenues,openn
1,-0.601,-0.899,1
2,-1.364,1.54,0
3,-1.027,-0.899,0
4,3.046,2.649,0
5,0.078,1.54,0
7,1.219,1.54,0
8,-0.994,-0.234,0
9,0.502,-0.234,0
10,-1.223,-0.456,1
14,2.348,-0.456,0
15,-1.062,0.431,0
16,0.007,0.431,1
17,0.373,-0.678,1
18,0.323,0.209,0
19,-0.296,-0.456,0
20,-0.818,-0.234,1
22,-0.291,0.653,1
23,-0.232,-0.678,1
24,-0.238,-0.456,0
27,0.289,-0.899,0
30,0.759,-0.456,1
32,0.965,-0.678,1
33,-1.286,-0.899,1
35,0.227,-0.899,0
43,0.24,-0.899,0
46,-0.371,-0.012,1
49,-0.481,-0.012,1
50,-1.191,-0.899,0
52,1.705,-0.899,0
53,-1.022,-0.456,1
54,0.421,-0.678,0
57,1.153,1.54,0
58,-0.851,0.653,1
59,0.025,-0.234,0
