# uid,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,fp_sportvenues,openn
1.000,-0.883,-0.475,-0.670,-0.899,1.000
2.000,-0.311,-0.067,-0.422,1.540,0.000
3.000,-0.868,-0.858,-0.694,-0.899,0.000
4.000,-0.683,-0.673,-0.694,2.649,0.000
5.000,1.554,2.368,0.835,1.540,0.000
7.000,-0.636,-0.583,-0.318,1.540,0.000
8.000,-0.344,0.102,-0.466,-0.234,0.000
9.000,-0.322,-0.354,-0.523,-0.234,0.000
10.000,0.194,-0.699,-0.823,-0.456,1.000
14.000,2.638,-0.364,-0.405,-0.456,0.000
15.000,-0.666,-0.502,-0.715,0.431,0.000
16.000,-0.223,-0.578,-0.733,0.431,1.000
17.000,-0.452,-0.665,-0.734,-0.678,1.000
18.000,-0.037,2.696,2.009,0.209,0.000
19.000,-0.126,0.036,-0.638,-0.456,0.000
20.000,-0.690,-0.613,-0.228,-0.234,1.000
22.000,-0.866,-0.727,-0.695,0.653,1.000
23.000,-0.736,-0.663,-0.326,-0.678,1.000
24.000,-0.627,-0.296,-0.336,-0.456,0.000
27.000,-0.490,-0.371,-0.586,-0.899,0.000
30.000,2.679,1.283,1.799,-0.456,1.000
32.000,2.366,-0.253,0.188,-0.678,1.000
33.000,-0.824,-0.738,-0.461,-0.899,1.000
35.000,-0.632,-0.609,-0.335,-0.899,0.000
43.000,-0.663,-0.385,-0.808,-0.899,0.000
46.000,1.302,-0.260,0.069,-0.012,1.000
49.000,0.230,0.172,0.250,-0.012,1.000
50.000,0.893,0.566,1.557,-0.899,0.000
52.000,-0.201,-0.298,0.066,-0.899,0.000
53.000,-0.394,-0.665,-0.499,-0.456,1.000
54.000,-0.556,-0.275,-0.440,-0.678,0.000
57.000,1.228,1.195,2.287,1.540,0.000
58.000,-0.876,-0.726,-0.799,0.653,1.000
59.000,-0.779,-0.520,-0.496,-0.234,0.000
