# uid,end_time_var_oncampus,daily_day_oncampus,neuro
1.000,-0.150,-0.883,0.000
2.000,-0.607,-0.311,1.000
3.000,-2.039,-0.868,1.000
4.000,0.131,-0.683,1.000
5.000,0.692,1.554,0.000
7.000,-0.048,-0.636,0.000
8.000,1.311,-0.344,1.000
9.000,-0.682,-0.322,0.000
10.000,-1.586,0.194,1.000
14.000,0.686,2.638,0.000
15.000,-0.201,-0.666,0.000
16.000,-1.159,-0.223,1.000
17.000,-1.865,-0.452,1.000
18.000,-0.124,-0.037,1.000
19.000,0.919,-0.126,1.000
20.000,0.522,-0.690,0.000
22.000,0.325,-0.866,0.000
23.000,-1.563,-0.736,1.000
24.000,0.398,-0.627,1.000
27.000,-1.138,-0.490,1.000
30.000,1.229,2.679,0.000
32.000,1.484,2.366,0.000
33.000,1.098,-0.824,1.000
35.000,0.886,-0.632,0.000
43.000,-0.087,-0.663,0.000
46.000,0.895,1.302,1.000
49.000,1.062,0.230,0.000
50.000,-0.656,0.893,0.000
52.000,-0.799,-0.201,1.000
53.000,-1.214,-0.394,1.000
54.000,0.476,-0.556,0.000
57.000,1.036,1.228,0.000
58.000,-1.427,-0.876,1.000
59.000,1.394,-0.779,0.000
