# uid,daily_evening_oncampus,openn
1.000,-0.475,1.000
2.000,-0.067,0.000
3.000,-0.858,0.000
4.000,-0.673,0.000
5.000,2.368,0.000
7.000,-0.583,0.000
8.000,0.102,0.000
9.000,-0.354,0.000
10.000,-0.699,1.000
14.000,-0.364,0.000
15.000,-0.502,0.000
16.000,-0.578,1.000
17.000,-0.665,1.000
18.000,2.696,0.000
19.000,0.036,0.000
20.000,-0.613,1.000
22.000,-0.727,1.000
23.000,-0.663,1.000
24.000,-0.296,0.000
27.000,-0.371,0.000
30.000,1.283,1.000
32.000,-0.253,1.000
33.000,-0.738,1.000
35.000,-0.609,0.000
43.000,-0.385,0.000
46.000,-0.260,1.000
49.000,0.172,1.000
50.000,0.566,0.000
52.000,-0.298,0.000
53.000,-0.665,1.000
54.000,-0.275,0.000
57.000,1.195,0.000
58.000,-0.726,1.000
59.000,-0.520,0.000
