uid,fp_53_commons;north-main,fp_53_commons;sudikoff,fp_newhamp,fp_north-main;lsb,fp_sudikoff,fp_sudikoff;lsb,fp_sudikoff;north-main,extra
00,0.000,0.000,0.000,5.000,19.000,10.000,7.000,3.750
01,0.000,0.000,0.000,0.000,4.000,0.000,0.000,3.125
02,0.000,1.000,0.000,0.000,14.000,0.000,0.000,2.125
03,0.000,0.000,0.000,0.000,11.000,0.000,0.000,2.125
04,0.000,0.000,0.000,0.000,7.000,0.000,0.000,2.375
05,0.000,1.000,0.000,0.000,9.000,0.000,0.000,3.125
07,0.000,2.000,0.000,0.000,5.000,0.000,0.000,3.125
08,0.000,3.000,1.000,0.000,18.000,1.000,2.000,2.625
09,12.000,0.000,0.000,7.000,4.000,0.000,1.000,2.375
10,0.000,0.000,0.000,0.000,11.000,0.000,0.000,2.000
12,0.000,0.000,0.000,0.000,12.000,0.000,0.000,2.875
13,0.000,2.000,0.000,1.000,20.000,5.000,4.000,3.375
14,0.000,0.000,0.000,1.000,15.000,1.000,0.000,3.250
15,0.000,1.000,0.000,0.000,3.000,0.000,0.000,3.250
16,1.000,2.000,0.000,0.000,14.000,2.000,0.000,1.750
17,0.000,0.000,0.000,0.000,19.000,1.000,0.000,2.625
18,5.000,0.000,0.000,2.000,17.000,0.000,8.000,2.625
19,0.000,0.000,0.000,0.000,8.000,0.000,0.000,1.750
20,0.000,1.000,0.000,0.000,5.000,0.000,0.000,3.875
22,0.000,1.000,0.000,0.000,4.000,0.000,0.000,3.625
23,0.000,1.000,0.000,0.000,8.000,0.000,0.000,3.000
24,0.000,2.000,0.000,0.000,8.000,1.000,0.000,3.500
27,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.500
30,0.000,4.000,20.000,0.000,9.000,0.000,0.000,4.500
31,0.000,0.000,0.000,1.000,20.000,2.000,10.000,4.250
32,0.000,1.000,0.000,0.000,10.000,0.000,0.000,4.250
33,0.000,0.000,0.000,0.000,3.000,0.000,0.000,2.875
34,0.000,3.000,0.000,1.000,15.000,2.000,1.000,3.250
35,0.000,1.000,0.000,0.000,8.000,0.000,0.000,2.625
36,0.000,0.000,0.000,0.000,20.000,0.000,7.000,3.500
39,0.000,0.000,0.000,0.000,13.000,0.000,0.000,3.375
42,0.000,6.000,0.000,0.000,15.000,1.000,1.000,3.125
43,1.000,2.000,0.000,0.000,5.000,0.000,0.000,2.375
44,0.000,0.000,0.000,0.000,20.000,8.000,1.000,3.375
45,0.000,1.000,0.000,1.000,14.000,0.000,4.000,3.750
46,0.000,1.000,10.000,0.000,8.000,1.000,0.000,3.125
47,0.000,2.000,0.000,0.000,17.000,2.000,3.000,4.375
49,0.000,1.000,0.000,0.000,14.000,1.000,0.000,2.875
50,0.000,0.000,0.000,0.000,20.000,2.000,1.000,3.875
51,0.000,3.000,0.000,0.000,20.000,4.000,5.000,3.375
52,17.000,0.000,0.000,14.000,1.000,0.000,1.000,1.625
53,0.000,0.000,0.000,0.000,18.000,1.000,0.000,2.250
54,0.000,1.000,1.000,0.000,6.000,0.000,0.000,3.000
56,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.625
57,11.000,3.000,0.000,13.000,14.000,1.000,7.000,2.125
58,0.000,0.000,0.000,2.000,10.000,0.000,0.000,2.125
59,2.000,2.000,0.000,0.000,7.000,0.000,0.000,4.000
