uid,fp_academic,fp_academic;academic,fp_academic;academic;academic,fp_academic;academic;academic;academic,fp_academic;academic;dining,fp_academic;academic;fraternity,fp_academic;academic;fraternity;academic,fp_academic;academic;library,fp_academic;academic;residential,fp_academic;arts,fp_academic;arts;residential,fp_academic;dining,fp_academic;dining;academic,fp_academic;fraternity,fp_academic;fraternity;academic,fp_academic;library,fp_academic;library;academic,fp_academic;library;fraternity,fp_academic;library;residential,fp_academic;residential,fp_academic;residential;academic,fp_academic;residential;residential,fp_arts,fp_arts;academic,fp_arts;fraternity,fp_arts;residential,fp_athletic,fp_athletic;arts,fp_athletic;residential,fp_dining,fp_dining;academic,fp_dining;fraternity,fp_dining;residential,fp_fraternity,fp_fraternity;academic,fp_fraternity;academic;academic,fp_fraternity;academic;fraternity,fp_fraternity;arts,fp_fraternity;dining,fp_fraternity;fraternity,fp_fraternity;library,fp_fraternity;library;academic,fp_fraternity;residential,fp_library,fp_library;academic,fp_library;academic;library,fp_library;arts,fp_library;fraternity,fp_library;residential,fp_residential,fp_residential;academic,fp_residential;academic;academic,fp_residential;academic;arts,fp_residential;academic;dining,fp_residential;academic;residential,fp_residential;arts,fp_residential;arts;academic,fp_residential;arts;residential,fp_residential;athletic,fp_residential;athletic;residential,fp_residential;dining,fp_residential;dining;residential,fp_residential;fraternity,fp_residential;fraternity;residential,fp_residential;library,fp_residential;library;academic,fp_residential;residential,fp_residential;residential;academic,fp_residential;residential;residential,extra
00,20.000,17.000,8.000,1.000,0.000,12.000,5.000,4.000,1.000,0.000,0.000,2.000,1.000,16.000,9.000,12.000,10.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,4.000,2.000,0.000,0.000,17.000,11.000,4.000,0.000,0.000,1.000,0.000,7.000,5.000,0.000,20.000,19.000,3.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.750
01,19.000,9.000,5.000,0.000,1.000,6.000,2.000,0.000,0.000,5.000,0.000,2.000,0.000,13.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,17.000,1.000,13.000,5.000,0.000,0.000,0.000,11.000,1.000,6.000,1.000,20.000,14.000,8.000,8.000,11.000,6.000,8.000,4.000,2.000,13.000,4.000,2.000,0.000,1.000,1.000,1.000,16.000,3.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,13.000,5.000,0.000,0.000,1.000,0.000,0.000,3.125
02,19.000,7.000,1.000,0.000,3.000,2.000,0.000,0.000,0.000,11.000,0.000,4.000,1.000,6.000,0.000,5.000,4.000,1.000,0.000,0.000,0.000,0.000,19.000,6.000,15.000,2.000,11.000,9.000,0.000,5.000,1.000,4.000,0.000,20.000,18.000,5.000,2.000,5.000,1.000,7.000,1.000,1.000,0.000,7.000,4.000,2.000,1.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.125
03,12.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,12.000,5.000,0.000,0.000,7.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,2.125
04,19.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,6.000,5.000,0.000,0.000,1.000,0.000,3.000,0.000,0.000,3.000,13.000,1.000,4.000,19.000,10.000,1.000,17.000,19.000,8.000,14.000,9.000,1.000,0.000,6.000,6.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,4.000,19.000,11.000,0.000,7.000,1.000,14.000,20.000,5.000,0.000,1.000,0.000,2.000,15.000,5.000,7.000,18.000,10.000,2.000,1.000,4.000,3.000,16.000,6.000,14.000,1.000,7.000,2.375
05,18.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,8.000,3.000,5.000,0.000,2.000,1.000,3.000,1.000,1.000,1.000,13.000,2.000,1.000,17.000,9.000,4.000,7.000,11.000,0.000,9.000,13.000,1.000,2.000,10.000,14.000,11.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000,5.000,5.000,3.000,0.000,0.000,1.000,1.000,20.000,8.000,0.000,3.000,3.000,3.000,12.000,8.000,2.000,10.000,8.000,5.000,3.000,10.000,4.000,2.000,2.000,9.000,1.000,4.000,3.125
07,18.000,12.000,9.000,4.000,0.000,0.000,0.000,0.000,6.000,8.000,4.000,3.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,2.000,1.000,15.000,10.000,0.000,7.000,11.000,1.000,6.000,11.000,6.000,0.000,7.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,14.000,3.000,6.000,3.000,2.000,10.000,6.000,4.000,4.000,1.000,5.000,4.000,2.000,1.000,0.000,0.000,5.000,1.000,0.000,3.125
08,20.000,10.000,1.000,0.000,2.000,2.000,1.000,1.000,2.000,6.000,5.000,3.000,2.000,3.000,1.000,7.000,1.000,0.000,3.000,10.000,1.000,3.000,19.000,7.000,2.000,15.000,3.000,2.000,1.000,7.000,3.000,0.000,2.000,12.000,3.000,0.000,0.000,2.000,0.000,0.000,6.000,3.000,2.000,13.000,4.000,3.000,6.000,4.000,5.000,20.000,11.000,7.000,0.000,0.000,6.000,11.000,7.000,4.000,2.000,0.000,2.000,1.000,3.000,0.000,4.000,0.000,10.000,5.000,2.000,2.625
09,20.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,8.000,0.000,3.000,0.000,13.000,7.000,7.000,5.000,2.000,0.000,0.000,0.000,0.000,13.000,4.000,8.000,0.000,3.000,1.000,0.000,13.000,0.000,12.000,0.000,20.000,15.000,1.000,6.000,4.000,8.000,11.000,11.000,7.000,2.000,17.000,12.000,1.000,1.000,5.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,2.375
10,20.000,4.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,7.000,7.000,1.000,0.000,0.000,0.000,20.000,4.000,13.000,1.000,3.000,0.000,0.000,18.000,1.000,0.000,18.000,2.000,1.000,1.000,15.000,2.000,0.000,3.000,14.000,0.000,0.000,0.000,2.000,0.000,0.000,12.000,4.000,1.000,20.000,19.000,16.000,7.000,13.000,3.000,20.000,3.000,0.000,2.000,0.000,1.000,3.000,0.000,3.000,2.000,1.000,15.000,1.000,2.000,0.000,4.000,4.000,2.000,0.000,0.000,2.000
