uid,fp_53_commons,fp_baker-berry,fp_baker-berry;lsb,fp_hopkins,fp_kemeny,fp_lsb,fp_lsb;baker-berry,fp_lsb;sudikoff,fp_massrow,fp_north-main,fp_north-park,fp_occum,fp_sport-venues,fp_sudikoff,extra
00,0.000,20.000,11.000,0.000,0.000,18.000,8.000,11.000,0.000,15.000,0.000,0.000,6.000,19.000,3.750
01,7.000,4.000,1.000,17.000,20.000,14.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,4.000,3.125
02,4.000,7.000,2.000,19.000,0.000,13.000,1.000,0.000,0.000,4.000,0.000,20.000,11.000,14.000,2.125
03,0.000,0.000,0.000,0.000,0.000,8.000,0.000,5.000,0.000,2.000,20.000,0.000,0.000,11.000,2.125
04,9.000,19.000,7.000,19.000,0.000,15.000,2.000,0.000,0.000,5.000,0.000,1.000,16.000,7.000,2.375
05,13.000,5.000,2.000,17.000,12.000,15.000,1.000,0.000,20.000,3.000,1.000,6.000,11.000,9.000,3.125
07,11.000,0.000,0.000,15.000,0.000,15.000,0.000,0.000,0.000,3.000,3.000,0.000,11.000,5.000,3.125
08,7.000,13.000,0.000,19.000,8.000,12.000,1.000,10.000,0.000,4.000,0.000,0.000,3.000,18.000,2.625
09,13.000,17.000,7.000,13.000,3.000,16.000,5.000,0.000,0.000,20.000,0.000,2.000,3.000,4.000,2.375
10,15.000,20.000,19.000,18.000,14.000,20.000,17.000,3.000,0.000,2.000,0.000,0.000,2.000,11.000,2.000
12,9.000,6.000,0.000,2.000,15.000,15.000,1.000,11.000,0.000,0.000,1.000,0.000,0.000,12.000,2.875
13,2.000,0.000,0.000,1.000,0.000,7.000,0.000,5.000,0.000,6.000,2.000,0.000,0.000,20.000,3.375
14,5.000,18.000,10.000,15.000,0.000,16.000,7.000,2.000,0.000,7.000,0.000,5.000,2.000,15.000,3.250
15,10.000,10.000,0.000,2.000,0.000,17.000,2.000,0.000,19.000,0.000,2.000,0.000,6.000,3.000,3.250
16,15.000,4.000,1.000,4.000,0.000,15.000,2.000,4.000,20.000,6.000,1.000,1.000,6.000,14.000,1.750
17,2.000,7.000,2.000,9.000,0.000,15.000,2.000,11.000,0.000,0.000,0.000,0.000,1.000,19.000,2.625
18,5.000,8.000,0.000,5.000,1.000,11.000,1.000,9.000,0.000,20.000,0.000,0.000,5.000,17.000,2.625
19,5.000,4.000,2.000,12.000,14.000,16.000,1.000,0.000,0.000,4.000,0.000,0.000,2.000,8.000,1.750
20,3.000,11.000,0.000,2.000,0.000,9.000,0.000,0.000,0.000,2.000,20.000,0.000,3.000,5.000,3.875
22,18.000,7.000,0.000,5.000,9.000,7.000,0.000,0.000,20.000,3.000,0.000,1.000,7.000,4.000,3.625
23,3.000,3.000,0.000,0.000,0.000,11.000,0.000,1.000,0.000,0.000,20.000,0.000,1.000,8.000,3.000
24,8.000,11.000,5.000,5.000,6.000,14.000,1.000,0.000,0.000,3.000,0.000,20.000,2.000,8.000,3.500
27,0.000,18.000,3.000,9.000,0.000,14.000,4.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,2.500
30,13.000,18.000,3.000,18.000,13.000,15.000,10.000,0.000,0.000,4.000,9.000,8.000,2.000,9.000,4.500
31,0.000,4.000,0.000,6.000,0.000,10.000,0.000,9.000,0.000,11.000,1.000,0.000,0.000,20.000,4.250
32,17.000,6.000,0.000,10.000,17.000,15.000,0.000,2.000,20.000,0.000,1.000,13.000,1.000,10.000,4.250
33,0.000,2.000,1.000,17.000,0.000,11.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,3.000,2.875
34,7.000,0.000,0.000,2.000,0.000,11.000,0.000,2.000,0.000,7.000,10.000,0.000,0.000,15.000,3.250
35,9.000,0.000,0.000,1.000,0.000,7.000,0.000,1.000,0.000,3.000,19.000,0.000,0.000,8.000,2.625
36,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,7.000,2.000,0.000,0.000,20.000,3.500
39,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,3.375
42,9.000,1.000,0.000,2.000,0.000,14.000,0.000,1.000,0.000,5.000,6.000,0.000,0.000,15.000,3.125
43,17.000,1.000,0.000,14.000,0.000,12.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,5.000,2.375
44,0.000,0.000,0.000,0.000,0.000,11.000,0.000,10.000,0.000,2.000,1.000,0.000,1.000,20.000,3.375
45,2.000,0.000,0.000,1.000,0.000,10.000,0.000,3.000,0.000,9.000,5.000,0.000,0.000,14.000,3.750
46,4.000,17.000,1.000,17.000,11.000,6.000,2.000,1.000,0.000,4.000,1.000,3.000,4.000,8.000,3.125
47,17.000,1.000,0.000,5.000,1.000,8.000,0.000,5.000,0.000,6.000,1.000,0.000,0.000,17.000,4.375
49,3.000,17.000,1.000,17.000,14.000,14.000,9.000,0.000,0.000,1.000,0.000,0.000,4.000,14.000,2.875
50,0.000,0.000,0.000,0.000,0.000,13.000,0.000,11.000,0.000,1.000,16.000,0.000,0.000,20.000,3.875
51,3.000,0.000,0.000,1.000,0.000,6.000,0.000,6.000,0.000,5.000,2.000,0.000,1.000,20.000,3.375
52,19.000,2.000,0.000,3.000,17.000,14.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,1.000,1.625
53,0.000,1.000,0.000,0.000,0.000,10.000,0.000,8.000,0.000,1.000,20.000,0.000,2.000,18.000,2.250
54,9.000,13.000,1.000,8.000,8.000,11.000,1.000,0.000,0.000,5.000,0.000,0.000,1.000,6.000,3.000
56,1.000,2.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.625
57,14.000,6.000,2.000,16.000,2.000,15.000,0.000,0.000,0.000,20.000,0.000,3.000,11.000,14.000,2.125
58,0.000,0.000,0.000,0.000,0.000,15.000,0.000,2.000,0.000,6.000,20.000,0.000,7.000,10.000,2.125
59,18.000,15.000,1.000,11.000,3.000,12.000,2.000,0.000,0.000,8.000,0.000,5.000,3.000,7.000,4.000
