uid,len_var,start_time_var,end_time_var,early,absent,num_days_activity,extra
00,-0.185,-0.313,-0.753,0,0,0.714,3.75
01,-0.086,-0.558,-0.995,-0.826,1.031,0.385,3.125
02,-1.151,-1.066,-1.396,-0.465,0.062,0.824,2.125
03,-0.808,-0.914,0.841,0.337,1.092,-0.602,2.125
04,0.718,-0.994,-1.117,0.489,-0.572,-0.054,2.375
05,0.74,-0.428,-0.322,1.197,-0.356,0.605,3.125
07,0.816,-0.293,-0.144,1.289,-0.37,-1.041,3.125
08,-0.811,-1.067,-0.968,0.048,-0.706,0.714,2.625
09,-0.572,0.107,-1.01,-0.422,-1.681,0.824,2.375
10,-0.321,-1.057,-1.484,2.117,-1.715,0.824,2
12,-0.633,-0.671,-1.085,2.126,-0.717,0.824,2.875
13,-1.056,1.414,1.984,0.402,0.326,0.275,3.375
14,0.658,0.436,-0.699,1.703,-0.941,0.495,3.25
15,1.067,0.619,0.137,-0.048,0.083,-1.261,3.25
16,-0.388,-0.575,-0.591,1.313,-1.417,0.605,1.75
17,-0.313,-1.043,0.226,-0.09,-0.706,0.714,2.625
18,0.604,-0.198,0.273,-1.332,-0.086,0.056,2.625
19,-0.713,-0.957,-0.058,1.013,-1.546,0.824,1.75
20,-0.216,-0.406,-0.229,-1.115,2.175,-1.041,3.875
22,-0.254,-0.701,-0.727,-0.7,1.339,0.385,3.625
23,-0.419,-0.679,2.139,-0.248,1.383,-0.054,3
24,1.419,-0.544,0.307,-0.933,1.063,-2.907,3.5
27,-0.728,-0.241,0.815,-2.091,0.106,0.824,2.5
30,0.257,-0.68,-1.003,1.427,-1.21,0.605,4.5
31,-0.15,2.439,1.052,-1.029,1.832,0.824,4.25
32,2.898,-0.926,-0.65,-0.228,-1.042,0.495,4.25
33,-0.286,-0.165,-0.152,-0.194,0.26,-0.273,2.875
34,-0.499,1.617,0.887,-0.682,0.062,-1.041,3.25
35,-0.046,-0.813,0.407,-1.332,2.175,0.824,2.625
36,-0.958,1.362,1.944,0,0,0.824,3.5
39,-1.371,1.575,-0.392,0,0,-3.675,3.375
42,-0.508,-0.22,-0.011,0.186,-0.994,-1.041,3.125
43,-0.241,0.816,0.697,0.793,-0.572,0.056,2.375
44,-0.811,0.105,-0.532,0.337,0.168,0.385,3.375
45,1.111,1.831,2.227,-0.682,0.855,-0.602,3.75
46,3.874,-0.664,-0.875,-1.459,1.185,-0.383,3.125
47,-0.753,1.437,1.907,-1.787,2.017,-0.493,4.375
49,1.044,-0.374,-0.718,-0.447,-0.972,0.824,2.875
50,-0.753,0.319,-0.057,-0.573,-0.202,-1.81,3.875
51,-0.887,0.532,1.801,-0.031,0.59,0.824,3.375
52,-0.31,-0.178,-0.521,1.151,-0.538,0.714,1.625
53,-0.82,-0.758,0.581,-0.004,-0.433,0.605,2.25
54,0.555,0.604,0.379,-1.735,0.968,-1.261,3
56,-0.958,-0.601,-0.645,0,0,-0.054,1.625
57,0.088,-0.662,-1.176,1.4,-1.311,0.824,2.125
58,-0.577,-1.068,-0.654,0.402,-0.73,0.605,2.125
59,0.762,-0.119,-0.737,1.236,-0.629,0.824,4
