uid,len_var,start_time_var,end_time_var,early,late,absent,late_time_var,extra
00,-0.185,-0.313,-0.753,0.000,-0.000,0.000,0.000,3.750
01,-0.086,-0.558,-0.995,-0.826,-0.027,1.031,-0.747,3.125
02,-1.151,-1.066,-1.396,-0.465,0.557,0.062,-0.747,2.125
03,-0.808,-0.914,0.841,0.337,-1.660,1.092,-0.631,2.125
04,0.718,-0.994,-1.117,0.489,-0.027,-0.572,-0.746,2.375
05,0.740,-0.428,-0.322,1.197,-1.218,-0.356,-0.722,3.125
07,0.816,-0.293,-0.144,1.289,-1.326,-0.370,-0.269,3.125
08,-0.811,-1.067,-0.968,0.048,0.716,-0.706,0.660,2.625
09,-0.572,0.107,-1.010,-0.422,2.424,-1.681,-0.747,2.375
10,-0.321,-1.057,-1.484,2.117,-0.955,-1.715,-0.474,2.000
12,-0.633,-0.671,-1.085,2.126,-2.069,-0.717,-0.726,2.875
13,-1.056,1.414,1.984,0.402,-0.902,0.326,3.518,3.375
14,0.658,0.436,-0.699,1.703,-1.252,-0.941,-0.401,3.250
15,1.067,0.619,0.137,-0.048,-0.027,0.083,-0.685,3.250
16,-0.388,-0.575,-0.591,1.313,-0.202,-1.417,-0.224,1.750
17,-0.313,-1.043,0.226,-0.090,0.902,-0.706,-0.511,2.625
18,0.604,-0.198,0.273,-1.332,1.888,-0.086,0.104,2.625
19,-0.713,-0.957,-0.058,1.013,0.345,-1.546,-0.702,1.750
20,-0.216,-0.406,-0.229,-1.115,-0.902,2.175,-0.659,3.875
22,-0.254,-0.701,-0.727,-0.700,-0.537,1.339,-0.257,3.625
23,-0.419,-0.679,2.139,-0.248,-1.194,1.383,-0.017,3.000
24,1.419,-0.544,0.307,-0.933,0.081,1.063,-0.139,3.500
27,-0.728,-0.241,0.815,-2.091,2.696,0.106,-0.745,2.500
30,0.257,-0.680,-1.003,1.427,-0.584,-1.210,1.103,4.500
31,-0.150,2.439,1.052,-1.029,-0.639,1.832,0.078,4.250
32,2.898,-0.926,-0.650,-0.228,1.459,-1.042,0.465,4.250
33,-0.286,-0.165,-0.152,-0.194,-0.027,0.260,-0.534,2.875
34,-0.499,1.617,0.887,-0.682,0.849,0.062,2.291,3.250
35,-0.046,-0.813,0.407,-1.332,-0.610,2.175,2.261,2.625
36,-0.958,1.362,1.944,0.000,-0.000,0.000,0.000,3.500
39,-1.371,1.575,-0.392,0.000,-0.000,0.000,0.000,3.375
42,-0.508,-0.220,-0.011,0.186,0.849,-0.994,-0.564,3.125
43,-0.241,0.816,0.697,0.793,-0.435,-0.572,-0.748,2.375
44,-0.811,0.105,-0.532,0.337,-0.639,0.168,0.240,3.375
45,1.111,1.831,2.227,-0.682,-0.027,0.855,-0.001,3.750
46,3.874,-0.664,-0.875,-1.459,0.654,1.185,-0.152,3.125
47,-0.753,1.437,1.907,-1.787,0.178,2.017,-0.117,4.375
49,1.044,-0.374,-0.718,-0.447,1.675,-0.972,-0.548,2.875
50,-0.753,0.319,-0.057,-0.573,0.994,-0.202,-0.110,3.875
51,-0.887,0.532,1.801,-0.031,-0.610,0.590,3.774,3.375
52,-0.310,-0.178,-0.521,1.151,-0.955,-0.538,-0.409,1.625
53,-0.820,-0.758,0.581,-0.004,0.484,-0.433,0.666,2.250
54,0.555,0.604,0.379,-1.735,1.265,0.968,-0.633,3.000
56,-0.958,-0.601,-0.645,0.000,-0.000,0.000,0.000,1.625
57,0.088,-0.662,-1.176,1.400,-0.435,-1.311,-0.317,2.125
58,-0.577,-1.068,-0.654,0.402,0.265,-0.730,0.200,2.125
59,0.762,-0.119,-0.737,1.236,-0.969,-0.629,0.232,4.000
