uid,breakfast,lunch,supper,snack,extra,agrbl,consc,neuro,openn
01,0.060,0.393,0.303,0.244,3.125,3.778,4.444,2.750,3.900
02,0.054,0.352,0.316,0.278,2.125,3.000,4.222,3.500,3.200
04,0.116,0.134,0.155,0.595,2.375,3.111,2.667,4.125,2.900
05,0.205,0.284,0.242,0.268,3.125,3.778,4.444,2.750,3.300
07,0.072,0.278,0.489,0.160,3.125,4.222,3.778,2.143,2.300
08,0.023,0.263,0.417,0.297,2.625,3.778,4.222,3.250,3.300
09,0.096,0.300,0.348,0.256,2.375,4.556,2.667,2.125,3.300
10,0.312,0.303,0.373,0.012,2.000,1.333,4.778,3.375,3.600
12,0.276,0.562,0.019,0.143,2.875,3.556,3.667,2.875,3.400
14,0.039,0.293,0.392,0.276,3.250,3.667,3.375,2.429,3.300
15,0.108,0.337,0.396,0.160,3.250,3.556,3.111,2.750,3.000
16,0.164,0.287,0.371,0.178,1.750,3.333,3.556,4.250,3.800
18,0.149,0.372,0.284,0.195,2.625,2.222,3.222,3.750,2.500
19,0.049,0.147,0.229,0.576,1.750,3.111,3.444,3.625,3.200
22,0.028,0.477,0.431,0.065,3.625,3.444,4.556,2.875,3.800
24,0.059,0.477,0.397,0.068,3.500,2.667,2.333,3.125,3.500
27,0.010,0.160,0.488,0.341,2.500,3.889,2.667,3.125,3.300
30,0.043,0.123,0.233,0.601,4.500,4.111,4.444,2.000,3.600
32,0.059,0.432,0.407,0.102,4.250,4.222,4.333,1.750,3.700
33,0.016,0.283,0.578,0.124,2.875,3.333,1.889,3.625,4.600
43,0.179,0.418,0.403,0.000,2.375,4.111,4.222,2.500,3.300
46,0.026,0.316,0.463,0.195,3.125,3.111,3.556,3.500,4.200
49,0.082,0.320,0.537,0.061,2.875,4.222,3.667,2.500,4.300
54,0.049,0.245,0.415,0.291,3.000,3.333,3.111,2.750,3.100
57,0.156,0.325,0.401,0.119,2.125,4.000,3.222,2.125,2.700
59,0.101,0.314,0.393,0.192,4.000,4.111,2.556,2.875,3.500
