uid,breakfast_var,lunch_var,supper_var,snack_var,extra,agrbl,consc,neuro,openn
01,-0.239,-0.195,-0.638,-0.925,3.125,3.778,4.444,2.750,3.900
02,-0.629,-0.145,-0.954,-1.039,2.125,3.000,4.222,3.500,3.200
04,1.279,0.347,-0.945,-0.306,2.375,3.111,2.667,4.125,2.900
05,-0.147,0.915,-0.892,-0.326,3.125,3.778,4.444,2.750,3.300
07,-0.588,1.297,-0.118,-0.934,3.125,4.222,3.778,2.143,2.300
08,-1.486,0.233,1.647,0.782,2.625,3.778,4.222,3.250,3.300
09,0.079,-0.834,0.038,-1.361,2.375,4.556,2.667,2.125,3.300
10,-1.317,-1.303,-0.786,-0.569,2.000,1.333,4.778,3.375,3.600
12,0.170,0.552,-1.033,-1.780,2.875,3.556,3.667,2.875,3.400
14,2.631,0.416,2.252,0.058,3.250,3.667,3.375,2.429,3.300
15,0.597,-1.494,-0.764,1.182,3.250,3.556,3.111,2.750,3.000
16,0.661,-0.522,-0.856,-0.280,1.750,3.333,3.556,4.250,3.800
18,0.424,1.356,0.497,-0.085,2.625,2.222,3.222,3.750,2.500
19,0.925,-0.040,-0.887,0.023,1.750,3.111,3.444,3.625,3.200
22,0.702,-2.143,-0.252,-1.161,3.625,3.444,4.556,2.875,3.800
24,0.878,-0.072,0.306,1.569,3.500,2.667,2.333,3.125,3.500
27,-0.652,-1.727,-0.844,-1.377,2.500,3.889,2.667,3.125,3.300
30,0.579,-0.371,-0.722,-0.432,4.500,4.111,4.444,2.000,3.600
32,-1.019,1.402,-0.505,0.434,4.250,4.222,4.333,1.750,3.700
33,-1.211,1.702,-0.060,0.358,2.875,3.333,1.889,3.625,4.600
46,-0.657,0.374,0.830,2.044,3.125,3.111,3.556,3.500,4.200
49,-1.150,0.927,2.764,0.512,2.875,4.222,3.667,2.500,4.300
54,-0.309,1.146,0.051,1.695,3.000,3.333,3.111,2.750,3.100
57,-0.202,-0.479,0.544,-0.082,2.125,4.000,3.222,2.125,2.700
59,1.784,-0.618,0.637,1.107,4.000,4.111,2.556,2.875,3.500
