uid,len_var,start_time_var,end_time_var,early,late,absent,late_time_var,fp_53_commons,fp_53_commons;massrow,fp_53_commons;north-main,fp_53_commons;sudikoff,fp_7-lebanon,fp_baker-berry,fp_baker-berry;hopkins,fp_baker-berry;kemeny,fp_baker-berry;lsb,fp_baker-berry;sudikoff,fp_butterfield,fp_college-street,fp_cummings,fp_dana-library,fp_dartmouth_hall,fp_east-wheelock,fp_hopkins,fp_hopkins;lsb,fp_hopkins;sudikoff,fp_kemeny,fp_kemeny;baker-berry,fp_lsb,fp_lsb;53_commons,fp_lsb;baker-berry,fp_lsb;hopkins,fp_lsb;north-main,fp_lsb;north-park,fp_lsb;sudikoff,fp_massrow,fp_massrow;lsb,fp_moore,fp_north-main,fp_north-main;lsb,fp_north-main;sudikoff,fp_north-park,fp_north-park;lsb,fp_north-park;lsb;north-park,fp_north-park;sudikoff,fp_occum,fp_ripley,fp_robinson,fp_silsby-rocky,fp_sport-venues,fp_sudikoff,fp_sudikoff;53_commons,fp_sudikoff;baker-berry,fp_sudikoff;hopkins,fp_sudikoff;lsb,fp_sudikoff;north-main,fp_sudikoff;north-park,extra
00,-0.185,-0.313,-0.753,0.000,-0.000,0.000,0.000,-1.115,-0.321,-0.302,-0.783,1.175,1.903,-0.471,-0.370,2.623,4.914,-0.262,0.533,-0.345,-0.064,-0.326,-0.136,-1.151,-0.389,-0.671,-0.673,-0.386,1.455,-0.478,1.920,-0.607,2.883,-0.357,2.171,-0.341,-0.315,0.260,1.841,1.398,1.440,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,0.675,1.341,-0.560,1.670,-0.828,4.569,2.287,-0.400,3.750
01,-0.086,-0.558,-0.995,-0.826,-0.027,1.031,-0.747,0.040,-0.321,-0.302,-0.783,-0.535,-0.443,0.092,-0.057,-0.208,-0.587,-0.262,-0.259,1.732,-0.412,-0.326,-0.136,1.264,-0.389,-0.671,2.627,0.934,0.523,-0.478,-0.532,0.294,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.405,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,3.968,-0.742,-1.200,-0.560,-0.702,-0.828,-0.496,-0.514,-0.400,3.125
02,-1.151,-1.066,-1.396,-0.465,0.557,0.062,-0.747,-0.455,-0.321,-0.302,0.000,-0.535,-0.003,0.092,-0.370,0.075,0.259,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,1.548,-0.389,4.025,-0.673,-0.386,0.290,-0.478,-0.225,3.450,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.218,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,4.049,-0.264,0.049,-0.337,1.856,0.494,0.910,1.670,-0.062,-0.496,-0.514,-0.400,2.125
03,-0.808,-0.914,0.841,0.337,-1.660,1.092,-0.631,-1.115,-0.321,-0.302,-0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-1.151,-0.389,-0.671,-0.673,-0.386,-0.875,-0.478,-0.532,-0.607,-0.374,0.759,0.599,-0.341,-0.315,-0.361,-0.592,-0.341,-0.548,2.424,1.836,0.847,1.875,-0.414,-0.264,-0.352,-0.337,-0.742,-0.014,-0.560,-0.702,-0.828,-0.496,-0.514,2.284,2.125
04,0.718,-0.994,-1.117,0.489,-0.027,-0.572,-0.746,0.370,-0.321,-0.302,-0.783,0.035,1.757,3.469,-0.370,1.490,1.105,0.000,-0.259,-0.345,-0.412,-0.326,0.815,1.548,2.787,0.112,-0.673,-0.386,0.756,-0.478,0.081,1.647,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.031,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.191,3.978,2.052,-0.337,3.037,-0.691,-0.560,-0.702,0.703,-0.496,-0.514,-0.400,2.375
05,0.740,-0.428,-0.322,1.197,-1.218,-0.356,-0.722,1.031,2.567,-0.302,0.000,-0.535,-0.296,-0.471,-0.057,0.075,-0.164,-0.262,-0.259,-0.345,-0.412,-0.326,2.082,1.264,2.787,0.112,1.307,-0.386,0.756,0.389,-0.225,2.548,-0.374,-0.357,-0.711,2.998,1.524,2.743,-0.405,-0.341,-0.548,-0.415,-0.434,-0.317,-0.422,0.924,-0.264,0.049,0.022,1.856,-0.353,1.400,-0.702,-0.828,-0.496,-0.514,-0.400,3.125
07,0.816,-0.293,-0.144,1.289,-1.326,-0.370,-0.269,0.701,-0.321,-0.302,0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,0.000,-0.259,0.842,-0.412,-0.326,5.885,0.980,1.880,0.112,-0.673,-0.386,0.756,-0.044,-0.532,2.098,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.405,-0.341,-0.548,-0.116,-0.151,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,1.856,-1.030,0.420,-0.702,-0.062,-0.496,-0.514,-0.400,3.125
08,-0.811,-1.067,-0.968,0.048,0.716,-0.706,0.660,0.040,-0.321,-0.302,1.565,0.035,0.877,2.906,0.880,-0.491,0.682,-0.262,-0.259,-0.345,-0.412,0.326,-0.453,1.548,0.972,1.677,0.647,2.253,0.057,-0.478,-0.225,-0.607,-0.374,-0.357,1.909,-0.341,-0.315,-0.361,-0.218,-0.341,0.446,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.034,1.172,0.910,2.856,2.999,0.010,0.286,-0.400,2.625
09,-0.572,0.107,-1.010,-0.422,2.424,-1.681,-0.747,1.031,-0.321,3.326,-0.783,0.035,1.463,0.092,-0.370,1.490,-0.164,-0.262,0.269,-0.345,-0.412,2.937,-0.136,0.696,-0.389,-0.671,-0.178,-0.386,0.989,-0.478,1.001,-0.156,3.697,-0.357,-0.711,-0.341,-0.315,-0.051,2.777,2.094,0.943,-0.564,-0.434,-0.317,-0.422,0.032,-0.264,0.450,-0.337,-0.034,-1.200,-0.560,-0.109,-0.062,-0.496,-0.114,-0.400,2.375
10,-0.321,-1.057,-1.484,2.117,-0.955,-1.715,-0.474,1.361,-0.321,-0.302,-0.783,0.035,1.903,3.469,3.694,4.887,1.952,-0.262,-0.259,-0.345,-0.412,-0.326,-0.136,1.406,-0.389,0.112,1.637,4.892,1.921,-0.478,4.679,-0.156,-0.374,-0.357,0.075,-0.341,-0.315,-0.361,-0.592,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.270,-0.014,-0.560,1.670,3.764,-0.496,-0.514,-0.400,2.000
12,-0.633,-0.671,-1.085,2.126,-2.069,-0.717,-0.726,0.370,-0.321,-0.302,-0.783,-0.535,-0.150,-0.471,0.255,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,0.498,-0.867,-0.389,-0.671,1.802,0.054,0.756,-0.044,-0.225,-0.607,-0.374,-0.357,2.171,-0.341,-0.315,-0.361,-0.966,-0.341,-0.548,-0.415,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,0.156,-0.560,-0.702,-0.828,-0.496,-0.514,-0.400,2.875
13,-1.056,1.414,1.984,0.402,-0.902,0.326,3.518,-0.785,-0.321,-0.302,0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,0.284,-0.326,-0.453,-1.009,-0.389,0.112,-0.673,-0.386,-1.108,-0.478,-0.532,-0.607,0.440,-0.357,0.599,-0.341,-0.315,-0.051,0.157,0.007,1.440,-0.265,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,1.511,0.420,-0.702,-0.062,2.036,1.086,0.137,3.375
14,0.658,0.436,-0.699,1.703,-1.252,-0.941,-0.401,-0.290,-0.321,-0.302,-0.783,-0.535,1.610,1.218,-0.370,2.340,1.529,-0.262,5.022,-0.345,-0.412,-0.326,-0.136,0.980,0.065,0.894,-0.673,-0.386,0.989,-0.044,1.614,0.294,-0.374,-0.357,-0.187,-0.341,-0.315,1.501,0.344,0.007,-0.051,-0.564,-0.434,-0.317,-0.422,0.701,-0.264,-0.352,0.022,-0.270,0.664,-0.070,1.670,1.468,0.010,-0.514,-0.400,3.250
