uid,conver_freq_daytime_oncampus,conver_freq_evening_oncampus,conver_freq_night_oncampus,extra,agrbl,consc,neuro,openn
01,0.840,0.680,1.698,3.125,3.778,4.444,2.750,3.900
02,-0.642,-0.448,-0.283,2.125,3.000,4.222,3.500,3.200
03,-1.630,-1.677,-1.370,2.125,3.222,3.889,3.375,2.700
04,2.474,1.104,0.596,2.375,3.111,2.667,4.125,2.900
05,0.120,-0.453,-0.655,3.125,3.778,4.444,2.750,3.300
07,-0.293,0.080,1.707,3.125,4.222,3.778,2.143,2.300
08,0.345,1.101,1.222,2.625,3.778,4.222,3.250,3.300
09,1.268,0.369,-0.317,2.375,4.556,2.667,2.125,3.300
10,0.994,0.528,-1.121,2.000,1.333,4.778,3.375,3.600
14,-0.060,0.330,-0.046,3.250,3.667,3.375,2.429,3.300
15,-0.357,0.089,-0.888,3.250,3.556,3.111,2.750,3.000
16,-0.057,0.522,-0.037,1.750,3.333,3.556,4.250,3.800
17,-0.375,-1.472,-1.020,2.625,3.889,3.333,3.125,4.500
18,-0.805,-0.368,0.130,2.625,2.222,3.222,3.750,2.500
19,0.581,0.032,-0.940,1.750,3.111,3.444,3.625,3.200
20,-0.917,-0.605,-0.622,3.875,4.333,3.333,2.375,3.600
22,-0.799,-0.454,0.914,3.625,3.444,4.556,2.875,3.800
23,-0.541,-1.950,0.220,3.000,3.667,3.000,3.750,3.600
24,-0.115,0.594,0.307,3.500,2.667,2.333,3.125,3.500
27,-0.468,1.207,0.719,2.500,3.889,2.667,3.125,3.300
30,0.486,0.322,0.007,4.500,4.111,4.444,2.000,3.600
32,1.474,0.439,-0.864,4.250,4.222,4.333,1.750,3.700
33,-1.310,-1.410,-1.175,2.875,3.333,1.889,3.625,4.600
35,-0.305,-0.033,-1.389,2.625,3.889,3.556,2.625,3.400
43,0.724,0.546,-0.544,2.375,4.111,4.222,2.500,3.300
46,0.535,0.508,0.279,3.125,3.111,3.556,3.500,4.200
49,0.599,-0.466,1.206,2.875,4.222,3.667,2.500,4.300
50,-0.929,0.019,-0.784,3.875,3.333,3.556,2.500,3.500
52,-2.232,-1.397,-1.131,1.625,3.333,2.222,4.125,3.500
53,-0.550,-0.287,1.110,2.250,4.000,2.889,4.500,4.400
54,-0.156,-0.572,0.672,3.000,3.333,3.111,2.750,3.100
57,0.360,0.290,0.483,2.125,4.000,3.222,2.125,2.700
58,0.097,-0.006,-0.927,2.125,4.333,3.556,3.875,3.600
59,2.741,3.801,3.026,4.000,4.111,2.556,2.875,3.500
