uid,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,extra,agrbl,consc,neuro,openn
01,-0.883,-0.475,-0.670,3.125,3.778,4.444,2.750,3.900
02,-0.311,-0.067,-0.422,2.125,3.000,4.222,3.500,3.200
03,-0.868,-0.858,-0.694,2.125,3.222,3.889,3.375,2.700
04,-0.683,-0.673,-0.694,2.375,3.111,2.667,4.125,2.900
05,1.554,2.368,0.835,3.125,3.778,4.444,2.750,3.300
07,-0.636,-0.583,-0.318,3.125,4.222,3.778,2.143,2.300
08,-0.344,0.102,-0.466,2.625,3.778,4.222,3.250,3.300
09,-0.322,-0.354,-0.523,2.375,4.556,2.667,2.125,3.300
10,0.194,-0.699,-0.823,2.000,1.333,4.778,3.375,3.600
14,2.638,-0.364,-0.405,3.250,3.667,3.375,2.429,3.300
15,-0.666,-0.502,-0.715,3.250,3.556,3.111,2.750,3.000
16,-0.223,-0.578,-0.733,1.750,3.333,3.556,4.250,3.800
17,-0.452,-0.665,-0.734,2.625,3.889,3.333,3.125,4.500
18,-0.037,2.696,2.009,2.625,2.222,3.222,3.750,2.500
19,-0.126,0.036,-0.638,1.750,3.111,3.444,3.625,3.200
20,-0.690,-0.613,-0.228,3.875,4.333,3.333,2.375,3.600
22,-0.866,-0.727,-0.695,3.625,3.444,4.556,2.875,3.800
23,-0.736,-0.663,-0.326,3.000,3.667,3.000,3.750,3.600
24,-0.627,-0.296,-0.336,3.500,2.667,2.333,3.125,3.500
27,-0.490,-0.371,-0.586,2.500,3.889,2.667,3.125,3.300
30,2.679,1.283,1.799,4.500,4.111,4.444,2.000,3.600
32,2.366,-0.253,0.188,4.250,4.222,4.333,1.750,3.700
33,-0.824,-0.738,-0.461,2.875,3.333,1.889,3.625,4.600
35,-0.632,-0.609,-0.335,2.625,3.889,3.556,2.625,3.400
43,-0.663,-0.385,-0.808,2.375,4.111,4.222,2.500,3.300
46,1.302,-0.260,0.069,3.125,3.111,3.556,3.500,4.200
49,0.230,0.172,0.250,2.875,4.222,3.667,2.500,4.300
50,0.893,0.566,1.557,3.875,3.333,3.556,2.500,3.500
52,-0.201,-0.298,0.066,1.625,3.333,2.222,4.125,3.500
53,-0.394,-0.665,-0.499,2.250,4.000,2.889,4.500,4.400
54,-0.556,-0.275,-0.440,3.000,3.333,3.111,2.750,3.100
57,1.228,1.195,2.287,2.125,4.000,3.222,2.125,2.700
58,-0.876,-0.726,-0.799,2.125,4.333,3.556,3.875,3.600
59,-0.779,-0.520,-0.496,4.000,4.111,2.556,2.875,3.500
