uid,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,extra,agrbl,consc,neuro,openn
01,-0.865,-0.464,-0.654,3.125,3.778,4.444,2.750,3.900
02,-0.300,-0.061,-0.410,2.125,3.000,4.222,3.500,3.200
03,-0.850,-0.841,-0.677,2.125,3.222,3.889,3.375,2.700
04,-0.668,-0.659,-0.678,2.375,3.111,2.667,4.125,2.900
05,1.540,2.341,0.831,3.125,3.778,4.444,2.750,3.300
07,-0.621,-0.570,-0.306,3.125,4.222,3.778,2.143,2.300
08,-0.333,0.105,-0.453,2.625,3.778,4.222,3.250,3.300
09,-0.311,-0.344,-0.509,2.375,4.556,2.667,2.125,3.300
10,0.198,-0.685,-0.805,2.000,1.333,4.778,3.375,3.600
14,2.610,-0.354,-0.393,3.250,3.667,3.375,2.429,3.300
15,-0.650,-0.491,-0.698,3.250,3.556,3.111,2.750,3.000
16,-0.214,-0.566,-0.716,1.750,3.333,3.556,4.250,3.800
17,-0.440,-0.651,-0.717,2.625,3.889,3.333,3.125,4.500
18,-0.030,2.665,1.989,2.625,2.222,3.222,3.750,2.500
19,-0.118,0.040,-0.623,1.750,3.111,3.444,3.625,3.200
20,-0.674,-0.599,-0.218,3.875,4.333,3.333,2.375,3.600
22,-0.848,-0.712,-0.678,3.625,3.444,4.556,2.875,3.800
23,-0.720,-0.649,-0.315,3.000,3.667,3.000,3.750,3.600
24,-0.612,-0.287,-0.325,3.500,2.667,2.333,3.125,3.500
27,-0.477,-0.361,-0.571,2.500,3.889,2.667,3.125,3.300
30,2.650,1.270,1.783,4.500,4.111,4.444,2.000,3.600
32,2.341,-0.245,0.193,4.250,4.222,4.333,1.750,3.700
33,-0.807,-0.723,-0.448,2.875,3.333,1.889,3.625,4.600
35,-0.618,-0.596,-0.324,2.625,3.889,3.556,2.625,3.400
43,-0.648,-0.375,-0.791,2.375,4.111,4.222,2.500,3.300
46,1.291,-0.252,0.075,3.125,3.111,3.556,3.500,4.200
50,0.888,0.563,1.544,3.875,3.333,3.556,2.500,3.500
52,-0.192,-0.289,0.073,1.625,3.333,2.222,4.125,3.500
53,-0.383,-0.651,-0.485,2.250,4.000,2.889,4.500,4.400
54,-0.542,-0.267,-0.427,3.000,3.333,3.111,2.750,3.100
57,1.218,1.183,2.264,2.125,4.000,3.222,2.125,2.700
58,-0.858,-0.712,-0.782,2.125,4.333,3.556,3.875,3.600
59,-0.762,-0.508,-0.483,4.000,4.111,2.556,2.875,3.500
