uid,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,extra,agrbl,consc,neuro,openn
01,-0.876,-0.490,-0.705,3.125,3.778,4.444,2.750,3.900
02,-0.273,0.054,-0.330,2.125,3.000,4.222,3.500,3.200
03,-0.867,-0.959,-0.753,2.125,3.222,3.889,3.375,2.700
04,-0.665,-0.689,-0.707,2.375,3.111,2.667,4.125,2.900
05,1.523,2.583,1.156,3.125,3.778,4.444,2.750,3.300
07,-0.619,-0.580,-0.200,3.125,4.222,3.778,2.143,2.300
08,-0.346,0.239,-0.419,2.625,3.778,4.222,3.250,3.300
09,-0.325,-0.362,-0.512,2.375,4.556,2.667,2.125,3.300
10,0.249,-0.753,-0.901,2.000,1.333,4.778,3.375,3.600
14,2.574,-0.376,-0.386,3.250,3.667,3.375,2.429,3.300
15,-0.692,-0.628,-0.807,3.250,3.556,3.111,2.750,3.000
16,-0.213,-0.581,-0.826,1.750,3.333,3.556,4.250,3.800
17,-0.430,-0.697,-0.769,2.625,3.889,3.333,3.125,4.500
18,-0.092,1.953,1.125,2.625,2.222,3.222,3.750,2.500
19,-0.114,0.161,-0.646,1.750,3.111,3.444,3.625,3.200
20,-0.700,-0.671,-0.244,3.875,4.333,3.333,2.375,3.600
22,-0.865,-0.772,-0.737,3.625,3.444,4.556,2.875,3.800
23,-0.739,-0.718,-0.237,3.000,3.667,3.000,3.750,3.600
24,-0.599,-0.213,-0.234,3.500,2.667,2.333,3.125,3.500
27,-0.509,-0.388,-0.708,2.500,3.889,2.667,3.125,3.300
30,2.751,1.571,2.457,4.500,4.111,4.444,2.000,3.600
32,2.367,-0.207,0.364,4.250,4.222,4.333,1.750,3.700
33,-0.816,-0.783,-0.421,2.875,3.333,1.889,3.625,4.600
35,-0.605,-0.617,-0.255,2.625,3.889,3.556,2.625,3.400
43,-0.654,-0.458,-0.938,2.375,4.111,4.222,2.500,3.300
46,1.392,-0.218,0.281,3.125,3.111,3.556,3.500,4.200
49,0.219,0.196,0.321,2.875,4.222,3.667,2.500,4.300
50,0.762,0.620,1.741,3.875,3.333,3.556,2.500,3.500
52,-0.189,-0.255,0.229,1.625,3.333,2.222,4.125,3.500
53,-0.383,-0.710,-0.488,2.250,4.000,2.889,4.500,4.400
54,-0.540,-0.271,-0.488,3.000,3.333,3.111,2.750,3.100
57,1.316,1.642,2.900,2.125,4.000,3.222,2.125,2.700
58,-0.869,-0.803,-0.920,2.125,4.333,3.556,3.875,3.600
59,-0.768,-0.520,-0.467,4.000,4.111,2.556,2.875,3.500
