uid,daily_day_unique_oncampus,daily_evening_unique_oncampus,daily_night_unique_oncampus,extra,agrbl,consc,neuro,openn
01,-0.913,-0.815,-0.886,3.125,3.778,4.444,2.750,3.900
02,0.896,0.302,-0.251,2.125,3.000,4.222,3.500,3.200
03,-1.486,-1.818,-1.533,2.125,3.222,3.889,3.375,2.700
04,1.130,0.931,1.249,2.375,3.111,2.667,4.125,2.900
05,0.859,0.003,0.754,3.125,3.778,4.444,2.750,3.300
07,-0.518,-0.826,-0.914,3.125,4.222,3.778,2.143,2.300
08,0.621,1.818,1.141,2.625,3.778,4.222,3.250,3.300
09,0.705,-0.318,0.071,2.375,4.556,2.667,2.125,3.300
10,1.654,0.055,-0.657,2.000,1.333,4.778,3.375,3.600
14,0.693,-0.051,1.229,3.250,3.667,3.375,2.429,3.300
15,-0.166,0.431,-0.192,3.250,3.556,3.111,2.750,3.000
16,-0.672,-0.447,-0.824,1.750,3.333,3.556,4.250,3.800
17,-0.060,-0.372,-1.238,2.625,3.889,3.333,3.125,4.500
18,0.372,-0.020,0.609,2.625,2.222,3.222,3.750,2.500
19,-0.134,0.325,0.002,1.750,3.111,3.444,3.625,3.200
20,-1.093,-0.372,-1.003,3.875,4.333,3.333,2.375,3.600
22,-0.764,-0.278,-0.872,3.625,3.444,4.556,2.875,3.800
23,-1.588,-1.857,0.731,3.000,3.667,3.000,3.750,3.600
24,-0.274,-0.108,0.100,3.500,2.667,2.333,3.125,3.500
27,0.104,0.181,-0.433,2.500,3.889,2.667,3.125,3.300
30,2.777,2.286,1.892,4.500,4.111,4.444,2.000,3.600
32,0.658,0.221,-0.196,4.250,4.222,4.333,1.750,3.700
33,-0.841,-0.729,-1.246,2.875,3.333,1.889,3.625,4.600
35,-1.320,-1.292,-1.019,2.625,3.889,3.556,2.625,3.400
43,0.038,-0.116,-1.286,2.375,4.111,4.222,2.500,3.300
46,1.317,1.889,0.667,3.125,3.111,3.556,3.500,4.200
50,-1.093,-0.890,0.139,3.875,3.333,3.556,2.500,3.500
52,-0.001,0.444,-0.219,1.625,3.333,2.222,4.125,3.500
53,-1.247,-1.272,-1.128,2.250,4.000,2.889,4.500,4.400
54,1.498,2.341,2.413,3.000,3.333,3.111,2.750,3.100
57,0.073,0.147,0.871,2.125,4.000,3.222,2.125,2.700
58,-1.403,-1.046,-1.010,2.125,4.333,3.556,3.875,3.600
59,-0.369,-0.163,0.736,4.000,4.111,2.556,2.875,3.500
