uid,day_entropy_oncampus,evening_entropy_oncampus,night_entropy_oncampus,extra,agrbl,consc,neuro,openn
01,0.132,-0.145,-0.168,3.125,3.778,4.444,2.750,3.900
02,0.957,0.342,0.500,2.125,3.000,4.222,3.500,3.200
03,-1.700,-2.597,-2.314,2.125,3.222,3.889,3.375,2.700
04,1.068,0.592,-0.285,2.375,3.111,2.667,4.125,2.900
05,0.609,0.078,1.591,3.125,3.778,4.444,2.750,3.300
07,-1.065,-1.276,-1.092,3.125,4.222,3.778,2.143,2.300
08,0.988,1.348,1.019,2.625,3.778,4.222,3.250,3.300
09,1.057,0.422,0.647,2.375,4.556,2.667,2.125,3.300
10,1.517,1.195,0.457,2.000,1.333,4.778,3.375,3.600
14,-0.953,0.648,1.549,3.250,3.667,3.375,2.429,3.300
15,0.680,0.799,0.074,3.250,3.556,3.111,2.750,3.000
16,-0.011,0.792,0.652,1.750,3.333,3.556,4.250,3.800
17,0.761,0.476,-0.570,2.625,3.889,3.333,3.125,4.500
18,0.018,-0.403,0.480,2.625,2.222,3.222,3.750,2.500
19,0.379,0.528,0.852,1.750,3.111,3.444,3.625,3.200
20,-2.155,-0.757,-1.648,3.875,4.333,3.333,2.375,3.600
22,0.239,-0.288,-0.277,3.625,3.444,4.556,2.875,3.800
23,-1.582,-2.960,0.270,3.000,3.667,3.000,3.750,3.600
24,-1.133,-0.209,-0.533,3.500,2.667,2.333,3.125,3.500
27,0.807,0.500,-0.133,2.500,3.889,2.667,3.125,3.300
30,1.176,0.752,1.082,4.500,4.111,4.444,2.000,3.600
32,0.378,-0.117,-1.702,4.250,4.222,4.333,1.750,3.700
33,-1.792,-1.395,-1.893,2.875,3.333,1.889,3.625,4.600
35,-1.785,-1.490,-1.204,2.625,3.889,3.556,2.625,3.400
43,0.968,0.712,-0.452,2.375,4.111,4.222,2.500,3.300
46,-0.079,0.989,-1.089,3.125,3.111,3.556,3.500,4.200
50,-1.150,-0.665,0.348,3.875,3.333,3.556,2.500,3.500
52,0.604,0.551,0.958,1.625,3.333,2.222,4.125,3.500
53,-0.270,-1.046,-1.013,2.250,4.000,2.889,4.500,4.400
54,1.303,1.332,1.038,3.000,3.333,3.111,2.750,3.100
57,-0.394,0.063,1.344,2.125,4.000,3.222,2.125,2.700
58,-0.131,-0.003,0.062,2.125,4.333,3.556,3.875,3.600
59,0.343,0.773,-0.075,4.000,4.111,2.556,2.875,3.500
