uid,day_entropy_oncampus_30days,evening_entropy_oncampus_30days,night_entropy_oncampus_30days,extra,agrbl,consc,neuro,openn
01,-0.570,-1.593,-1.125,3.125,3.778,4.444,2.750,3.900
02,1.197,0.418,-0.675,2.125,3.000,4.222,3.500,3.200
03,-1.796,-2.187,-1.705,2.125,3.222,3.889,3.375,2.700
04,0.668,0.625,0.231,2.375,3.111,2.667,4.125,2.900
05,1.167,0.593,-0.915,3.125,3.778,4.444,2.750,3.300
07,-0.903,-1.008,-0.477,3.125,4.222,3.778,2.143,2.300
08,1.026,1.070,1.191,2.625,3.778,4.222,3.250,3.300
09,0.556,0.266,-0.655,2.375,4.556,2.667,2.125,3.300
10,1.412,0.361,0.307,2.000,1.333,4.778,3.375,3.600
14,0.807,0.631,2.200,3.250,3.667,3.375,2.429,3.300
15,0.064,0.765,0.818,3.250,3.556,3.111,2.750,3.000
16,-0.107,0.348,-0.744,1.750,3.333,3.556,4.250,3.800
17,0.501,-0.027,-1.121,2.625,3.889,3.333,3.125,4.500
18,0.251,0.483,1.960,2.625,2.222,3.222,3.750,2.500
19,-0.201,0.421,-0.574,1.750,3.111,3.444,3.625,3.200
20,-1.658,-0.184,-1.044,3.875,4.333,3.333,2.375,3.600
22,0.070,-0.948,0.168,3.625,3.444,4.556,2.875,3.800
23,-1.363,-3.106,1.443,3.000,3.667,3.000,3.750,3.600
24,-1.260,-0.093,0.185,3.500,2.667,2.333,3.125,3.500
27,0.689,0.795,-2.066,2.500,3.889,2.667,3.125,3.300
30,1.607,1.284,0.459,4.500,4.111,4.444,2.000,3.600
32,0.573,0.528,0.574,4.250,4.222,4.333,1.750,3.700
33,-1.815,-1.412,-1.321,2.875,3.333,1.889,3.625,4.600
35,-1.905,-1.073,-0.445,2.625,3.889,3.556,2.625,3.400
43,0.385,0.626,0.201,2.375,4.111,4.222,2.500,3.300
46,1.266,1.260,0.896,3.125,3.111,3.556,3.500,4.200
49,-0.224,-0.129,-0.082,2.875,4.222,3.667,2.500,4.300
50,-1.276,-0.626,1.222,3.875,3.333,3.556,2.500,3.500
52,-1.226,-1.065,-0.732,1.625,3.333,2.222,4.125,3.500
53,-0.029,-0.476,0.035,2.250,4.000,2.889,4.500,4.400
54,1.114,1.220,1.033,3.000,3.333,3.111,2.750,3.100
57,0.213,0.427,-0.022,2.125,4.000,3.222,2.125,2.700
58,-0.637,-0.512,-0.736,2.125,4.333,3.556,3.875,3.600
59,0.152,0.600,0.056,4.000,4.111,2.556,2.875,3.500
