uid,day_entropy_oncampus_30days,evening_entropy_oncampus_30days,night_entropy_oncampus_30days,extra,agrbl,consc,neuro,openn
01,-0.569,-1.575,-1.111,3.125,3.778,4.444,2.750,3.900
02,1.175,0.409,-0.668,2.125,3.000,4.222,3.500,3.200
03,-1.778,-2.160,-1.683,2.125,3.222,3.889,3.375,2.700
04,0.653,0.613,0.226,2.375,3.111,2.667,4.125,2.900
05,1.145,0.581,-0.905,3.125,3.778,4.444,2.750,3.300
07,-0.897,-0.997,-0.472,3.125,4.222,3.778,2.143,2.300
08,1.006,1.051,1.172,2.625,3.778,4.222,3.250,3.300
09,0.543,0.259,-0.648,2.375,4.556,2.667,2.125,3.300
10,1.387,0.353,0.301,2.000,1.333,4.778,3.375,3.600
14,0.790,0.619,2.167,3.250,3.667,3.375,2.429,3.300
15,0.057,0.750,0.804,3.250,3.556,3.111,2.750,3.000
16,-0.112,0.339,-0.736,1.750,3.333,3.556,4.250,3.800
17,0.488,-0.030,-1.107,2.625,3.889,3.333,3.125,4.500
18,0.241,0.472,1.931,2.625,2.222,3.222,3.750,2.500
19,-0.205,0.412,-0.569,1.750,3.111,3.444,3.625,3.200
20,-1.643,-0.186,-1.032,3.875,4.333,3.333,2.375,3.600
22,0.062,-0.939,0.163,3.625,3.444,4.556,2.875,3.800
23,-1.351,-3.067,1.421,3.000,3.667,3.000,3.750,3.600
24,-1.249,-0.095,0.180,3.500,2.667,2.333,3.125,3.500
27,0.674,0.780,-2.040,2.500,3.889,2.667,3.125,3.300
30,1.579,1.262,0.451,4.500,4.111,4.444,2.000,3.600
32,0.559,0.517,0.564,4.250,4.222,4.333,1.750,3.700
33,-1.798,-1.396,-1.305,2.875,3.333,1.889,3.625,4.600
35,-1.886,-1.062,-0.441,2.625,3.889,3.556,2.625,3.400
43,0.374,0.614,0.195,2.375,4.111,4.222,2.500,3.300
46,1.243,1.239,0.881,3.125,3.111,3.556,3.500,4.200
50,-1.265,-0.622,1.203,3.875,3.333,3.556,2.500,3.500
52,-1.216,-1.054,-0.724,1.625,3.333,2.222,4.125,3.500
53,-0.035,-0.473,0.032,2.250,4.000,2.889,4.500,4.400
54,1.093,1.199,1.017,3.000,3.333,3.111,2.750,3.100
57,0.204,0.417,-0.024,2.125,4.000,3.222,2.125,2.700
58,-0.635,-0.509,-0.728,2.125,4.333,3.556,3.875,3.600
59,0.144,0.588,0.053,4.000,4.111,2.556,2.875,3.500
