uid,days,views,contributions,questions,notes,answers,extra,agrbl,consc,neuro,openn
00,0.326,-0.496,1.337,-0.645,3.951,1.602,3.750,2.889,3.000,3.125,4.500
01,-0.675,0.919,-0.233,-0.446,-0.176,-0.294,3.125,3.778,4.444,2.750,3.900
02,0.726,0.919,-0.289,-0.645,-0.239,-0.294,2.125,3.000,4.222,3.500,3.200
03,0.226,0.537,0.050,2.338,-0.114,0.223,2.125,3.222,3.889,3.375,2.700
04,-0.775,-1.126,-0.278,-0.446,-0.239,-0.294,2.375,3.111,2.667,4.125,2.900
05,1.227,0.940,-0.278,-0.645,-0.239,-0.294,3.125,3.778,4.444,2.750,3.300
07,0.026,-0.093,-0.154,-0.446,-0.239,-0.294,3.125,4.222,3.778,2.143,2.300
08,1.227,1.012,0.219,3.730,-0.239,0.137,2.625,3.778,4.222,3.250,3.300
09,-0.325,-0.403,-0.063,0.150,-0.051,0.051,2.375,4.556,2.667,2.125,3.300
10,1.978,0.930,0.004,1.542,-0.239,-0.035,2.000,1.333,4.778,3.375,3.600
12,0.076,-0.858,-0.221,-0.446,-0.176,-0.294,2.875,3.556,3.667,2.875,3.400
13,1.377,1.953,6.712,-0.446,5.577,6.513,3.375,3.556,2.444,3.375,4.300
14,-0.375,0.506,-0.109,1.940,-0.176,-0.294,3.250,3.667,3.375,2.429,3.300
15,-0.225,-0.238,-0.233,-0.446,-0.239,-0.294,3.250,3.556,3.111,2.750,3.000
16,-0.075,-0.093,-0.255,-0.645,-0.239,-0.294,1.750,3.333,3.556,4.250,3.800
17,0.726,0.992,0.004,1.542,-0.114,0.051,2.625,3.889,3.333,3.125,4.500
18,0.276,0.702,-0.221,-0.049,-0.176,-0.294,2.625,2.222,3.222,3.750,2.500
19,1.377,0.940,-0.063,0.150,-0.239,0.223,1.750,3.111,3.444,3.625,3.200
20,1.027,-0.300,-0.267,-0.645,-0.239,-0.294,3.875,4.333,3.333,2.375,3.600
22,1.077,0.165,-0.131,0.150,-0.239,-0.207,3.625,3.444,4.556,2.875,3.800
23,1.177,0.165,-0.267,-0.645,-0.239,-0.294,3.000,3.667,3.000,3.750,3.600
24,-0.775,-0.630,-0.244,-0.645,-0.239,-0.294,3.500,2.667,2.333,3.125,3.500
27,1.177,0.919,-0.210,-0.446,-0.239,-0.207,2.500,3.889,2.667,3.125,3.300
30,0.776,0.868,-0.029,0.946,-0.239,-0.207,4.500,4.111,4.444,2.000,3.600
31,-0.075,0.940,-0.120,0.150,-0.239,-0.035,4.250,3.889,2.889,3.125,3.700
32,0.426,0.919,-0.233,-0.248,-0.239,-0.294,4.250,4.222,4.333,1.750,3.700
33,-0.175,0.826,0.027,-0.248,0.011,-0.207,2.875,3.333,1.889,3.625,4.600
34,-0.826,-0.517,-0.289,-0.645,-0.239,-0.294,3.250,4.333,3.111,2.875,3.300
35,-1.476,-1.199,-0.289,-0.645,-0.239,-0.294,2.625,3.889,3.556,2.625,3.400
36,-1.326,-1.633,-0.244,0.150,-0.239,-0.294,3.500,4.111,3.778,1.750,3.500
39,-1.677,-1.870,-0.255,-0.446,-0.114,-0.294,3.375,3.333,3.111,3.000,3.500
42,-1.526,-1.261,-0.278,-0.645,-0.239,-0.294,3.125,4.222,2.444,2.500,3.900
43,0.026,0.485,0.016,1.940,-0.239,-0.294,2.375,4.111,4.222,2.500,3.300
44,-0.625,-1.436,-0.289,-0.645,-0.239,-0.294,3.375,3.667,3.778,2.250,3.600
45,-1.777,-1.829,-0.289,-0.645,-0.239,-0.294,3.750,3.667,3.444,3.125,3.700
46,1.277,0.950,-0.131,0.747,-0.239,-0.207,3.125,3.111,3.556,3.500,4.200
47,-1.226,-1.953,-0.278,-0.645,-0.239,-0.294,4.375,3.222,3.444,2.000,3.800
49,0.877,0.351,-0.176,-0.049,-0.176,-0.207,2.875,4.222,3.667,2.500,4.300
50,-1.426,-0.930,-0.176,-0.645,-0.239,0.482,3.875,3.333,3.556,2.500,3.500
51,0.326,1.157,0.151,-0.645,0.262,0.913,3.375,3.778,3.778,2.750,4.000
52,-0.025,-0.021,-0.289,-0.645,-0.239,-0.294,1.625,3.333,2.222,4.125,3.500
53,-0.125,0.847,-0.289,-0.645,-0.239,-0.294,2.250,4.000,2.889,4.500,4.400
54,-0.475,-0.651,-0.255,-0.446,-0.239,-0.294,3.000,3.333,3.111,2.750,3.100
56,-2.127,-2.170,-0.289,-0.645,-0.239,-0.294,1.625,4.111,3.333,2.000,4.100
57,0.376,0.919,-0.097,-0.049,-0.176,-0.035,2.125,4.000,3.222,2.125,2.700
58,-1.126,-0.775,-0.267,-0.645,-0.239,-0.294,2.125,4.333,3.556,3.875,3.600
59,0.676,0.950,-0.176,-0.248,-0.239,-0.207,4.000,4.111,2.556,2.875,3.500
