uid,days,views,contributions,questions,extra,agrbl,consc,neuro,openn
00,0.326,-0.496,1.337,-0.645,3.75,2.889,3,3.125,4.5
01,-0.675,0.919,-0.233,-0.446,3.125,3.778,4.444,2.75,3.9
02,0.726,0.919,-0.289,-0.645,2.125,3,4.222,3.5,3.2
03,0.226,0.537,0.05,2.338,2.125,3.222,3.889,3.375,2.7
04,-0.775,-1.126,-0.278,-0.446,2.375,3.111,2.667,4.125,2.9
05,1.227,0.94,-0.278,-0.645,3.125,3.778,4.444,2.75,3.3
07,0.026,-0.093,-0.154,-0.446,3.125,4.222,3.778,2.143,2.3
08,1.227,1.012,0.219,3.73,2.625,3.778,4.222,3.25,3.3
09,-0.325,-0.403,-0.063,0.15,2.375,4.556,2.667,2.125,3.3
10,1.978,0.93,0.004,1.542,2,1.333,4.778,3.375,3.6
12,0.076,-0.858,-0.221,-0.446,2.875,3.556,3.667,2.875,3.4
13,1.377,1.953,6.712,-0.446,3.375,3.556,2.444,3.375,4.3
14,-0.375,0.506,-0.109,1.94,3.25,3.667,3.375,2.429,3.3
15,-0.225,-0.238,-0.233,-0.446,3.25,3.556,3.111,2.75,3
16,-0.075,-0.093,-0.255,-0.645,1.75,3.333,3.556,4.25,3.8
17,0.726,0.992,0.004,1.542,2.625,3.889,3.333,3.125,4.5
18,0.276,0.702,-0.221,-0.049,2.625,2.222,3.222,3.75,2.5
19,1.377,0.94,-0.063,0.15,1.75,3.111,3.444,3.625,3.2
20,1.027,-0.3,-0.267,-0.645,3.875,4.333,3.333,2.375,3.6
22,1.077,0.165,-0.131,0.15,3.625,3.444,4.556,2.875,3.8
23,1.177,0.165,-0.267,-0.645,3,3.667,3,3.75,3.6
24,-0.775,-0.63,-0.244,-0.645,3.5,2.667,2.333,3.125,3.5
27,1.177,0.919,-0.21,-0.446,2.5,3.889,2.667,3.125,3.3
30,0.776,0.868,-0.029,0.946,4.5,4.111,4.444,2,3.6
31,-0.075,0.94,-0.12,0.15,4.25,3.889,2.889,3.125,3.7
32,0.426,0.919,-0.233,-0.248,4.25,4.222,4.333,1.75,3.7
33,-0.175,0.826,0.027,-0.248,2.875,3.333,1.889,3.625,4.6
34,-0.826,-0.517,-0.289,-0.645,3.25,4.333,3.111,2.875,3.3
35,-1.476,-1.199,-0.289,-0.645,2.625,3.889,3.556,2.625,3.4
36,-1.326,-1.633,-0.244,0.15,3.5,4.111,3.778,1.75,3.5
39,-1.677,-1.87,-0.255,-0.446,3.375,3.333,3.111,3,3.5
42,-1.526,-1.261,-0.278,-0.645,3.125,4.222,2.444,2.5,3.9
43,0.026,0.485,0.016,1.94,2.375,4.111,4.222,2.5,3.3
44,-0.625,-1.436,-0.289,-0.645,3.375,3.667,3.778,2.25,3.6
45,-1.777,-1.829,-0.289,-0.645,3.75,3.667,3.444,3.125,3.7
46,1.277,0.95,-0.131,0.747,3.125,3.111,3.556,3.5,4.2
47,-1.226,-1.953,-0.278,-0.645,4.375,3.222,3.444,2,3.8
49,0.877,0.351,-0.176,-0.049,2.875,4.222,3.667,2.5,4.3
50,-1.426,-0.93,-0.176,-0.645,3.875,3.333,3.556,2.5,3.5
51,0.326,1.157,0.151,-0.645,3.375,3.778,3.778,2.75,4
52,-0.025,-0.021,-0.289,-0.645,1.625,3.333,2.222,4.125,3.5
53,-0.125,0.847,-0.289,-0.645,2.25,4,2.889,4.5,4.4
54,-0.475,-0.651,-0.255,-0.446,3,3.333,3.111,2.75,3.1
56,-2.127,-2.17,-0.289,-0.645,1.625,4.111,3.333,2,4.1
57,0.376,0.919,-0.097,-0.049,2.125,4,3.222,2.125,2.7
58,-1.126,-0.775,-0.267,-0.645,2.125,4.333,3.556,3.875,3.6
59,0.676,0.95,-0.176,-0.248,4,4.111,2.556,2.875,3.5
