uid,early,late,absent,extra,agrbl,consc,neuro,openn
01,0.333,0.250,0.417,3.125,3.778,4.444,2.750,3.900
02,0.393,0.321,0.286,2.125,3.000,4.222,3.500,3.200
03,0.525,0.050,0.425,2.125,3.222,3.889,3.375,2.700
04,0.550,0.250,0.200,2.375,3.111,2.667,4.125,2.900
05,0.667,0.104,0.229,3.125,3.778,4.444,2.750,3.300
07,0.682,0.091,0.227,3.125,4.222,3.778,2.143,2.300
08,0.477,0.341,0.182,2.625,3.778,4.222,3.250,3.300
09,0.400,0.550,0.050,2.375,4.556,2.667,2.125,3.300
10,0.818,0.136,0.045,2.000,1.333,4.778,3.375,3.600
12,0.820,0.000,0.180,2.875,3.556,3.667,2.875,3.400
13,0.536,0.143,0.321,3.375,3.556,2.444,3.375,4.300
14,0.750,0.100,0.150,3.250,3.667,3.375,2.429,3.300
15,0.462,0.250,0.288,3.250,3.556,3.111,2.750,3.000
16,0.686,0.229,0.086,1.750,3.333,3.556,4.250,3.800
17,0.455,0.364,0.182,2.625,3.889,3.333,3.125,4.500
18,0.250,0.484,0.266,2.625,2.222,3.222,3.750,2.500
19,0.636,0.295,0.068,1.750,3.111,3.444,3.625,3.200
20,0.286,0.143,0.571,3.875,4.333,3.333,2.375,3.600
22,0.354,0.188,0.458,3.625,3.444,4.556,2.875,3.800
23,0.429,0.107,0.464,3.000,3.667,3.000,3.750,3.600
24,0.316,0.263,0.421,3.500,2.667,2.333,3.125,3.500
27,0.125,0.583,0.292,2.500,3.889,2.667,3.125,3.300
30,0.705,0.182,0.114,4.500,4.111,4.444,2.000,3.600
31,0.300,0.175,0.525,4.250,3.889,2.889,3.125,3.700
32,0.432,0.432,0.136,4.250,4.222,4.333,1.750,3.700
33,0.438,0.250,0.312,2.875,3.333,1.889,3.625,4.600
34,0.357,0.357,0.286,3.250,4.333,3.111,2.875,3.300
35,0.250,0.179,0.571,2.625,3.889,3.556,2.625,3.400
42,0.500,0.357,0.143,3.125,4.222,2.444,2.500,3.900
43,0.600,0.200,0.200,2.375,4.111,4.222,2.500,3.300
44,0.525,0.175,0.300,3.375,3.667,3.778,2.250,3.600
45,0.357,0.250,0.393,3.750,3.667,3.444,3.125,3.700
46,0.229,0.333,0.438,3.125,3.111,3.556,3.500,4.200
47,0.175,0.275,0.550,4.375,3.222,3.444,2.000,3.800
49,0.396,0.458,0.146,2.875,4.222,3.667,2.500,4.300
50,0.375,0.375,0.250,3.875,3.333,3.556,2.500,3.500
51,0.464,0.179,0.357,3.375,3.778,3.778,2.750,4.000
52,0.659,0.136,0.205,1.625,3.333,2.222,4.125,3.500
53,0.469,0.312,0.219,2.250,4.000,2.889,4.500,4.400
54,0.184,0.408,0.408,3.000,3.333,3.111,2.750,3.100
57,0.700,0.200,0.100,2.125,4.000,3.222,2.125,2.700
58,0.536,0.286,0.179,2.125,4.333,3.556,3.875,3.600
59,0.673,0.135,0.192,4.000,4.111,2.556,2.875,3.500
