uid,early_all,late_all,absent_all,extra,agrbl,consc,neuro,openn
00,0.000,-0.000,0.000,3.750,2.889,3.000,3.125,4.500
01,-0.826,-0.027,1.031,3.125,3.778,4.444,2.750,3.900
02,-0.465,0.557,0.062,2.125,3.000,4.222,3.500,3.200
03,0.337,-1.660,1.092,2.125,3.222,3.889,3.375,2.700
04,0.489,-0.027,-0.572,2.375,3.111,2.667,4.125,2.900
05,1.197,-1.218,-0.356,3.125,3.778,4.444,2.750,3.300
07,1.289,-1.326,-0.370,3.125,4.222,3.778,2.143,2.300
08,0.048,0.716,-0.706,2.625,3.778,4.222,3.250,3.300
09,-0.422,2.424,-1.681,2.375,4.556,2.667,2.125,3.300
10,2.117,-0.955,-1.715,2.000,1.333,4.778,3.375,3.600
12,2.126,-2.069,-0.717,2.875,3.556,3.667,2.875,3.400
13,0.402,-0.902,0.326,3.375,3.556,2.444,3.375,4.300
14,1.703,-1.252,-0.941,3.250,3.667,3.375,2.429,3.300
15,-0.048,-0.027,0.083,3.250,3.556,3.111,2.750,3.000
16,1.313,-0.202,-1.417,1.750,3.333,3.556,4.250,3.800
17,-0.090,0.902,-0.706,2.625,3.889,3.333,3.125,4.500
18,-1.332,1.888,-0.086,2.625,2.222,3.222,3.750,2.500
19,1.013,0.345,-1.546,1.750,3.111,3.444,3.625,3.200
20,-1.115,-0.902,2.175,3.875,4.333,3.333,2.375,3.600
22,-0.700,-0.537,1.339,3.625,3.444,4.556,2.875,3.800
23,-0.248,-1.194,1.383,3.000,3.667,3.000,3.750,3.600
24,-0.933,0.081,1.063,3.500,2.667,2.333,3.125,3.500
27,-2.091,2.696,0.106,2.500,3.889,2.667,3.125,3.300
30,1.427,-0.584,-1.210,4.500,4.111,4.444,2.000,3.600
31,-1.029,-0.639,1.832,4.250,3.889,2.889,3.125,3.700
32,-0.228,1.459,-1.042,4.250,4.222,4.333,1.750,3.700
33,-0.194,-0.027,0.260,2.875,3.333,1.889,3.625,4.600
34,-0.682,0.849,0.062,3.250,4.333,3.111,2.875,3.300
35,-1.332,-0.610,2.175,2.625,3.889,3.556,2.625,3.400
36,0.000,-0.000,0.000,3.500,4.111,3.778,1.750,3.500
39,0.000,-0.000,0.000,3.375,3.333,3.111,3.000,3.500
42,0.186,0.849,-0.994,3.125,4.222,2.444,2.500,3.900
43,0.793,-0.435,-0.572,2.375,4.111,4.222,2.500,3.300
44,0.337,-0.639,0.168,3.375,3.667,3.778,2.250,3.600
45,-0.682,-0.027,0.855,3.750,3.667,3.444,3.125,3.700
46,-1.459,0.654,1.185,3.125,3.111,3.556,3.500,4.200
47,-1.787,0.178,2.017,4.375,3.222,3.444,2.000,3.800
49,-0.447,1.675,-0.972,2.875,4.222,3.667,2.500,4.300
50,-0.573,0.994,-0.202,3.875,3.333,3.556,2.500,3.500
51,-0.031,-0.610,0.590,3.375,3.778,3.778,2.750,4.000
52,1.151,-0.955,-0.538,1.625,3.333,2.222,4.125,3.500
53,-0.004,0.484,-0.433,2.250,4.000,2.889,4.500,4.400
54,-1.735,1.265,0.968,3.000,3.333,3.111,2.750,3.100
56,0.000,-0.000,0.000,1.625,4.111,3.333,2.000,4.100
57,1.400,-0.435,-1.311,2.125,4.000,3.222,2.125,2.700
58,0.402,0.265,-0.730,2.125,4.333,3.556,3.875,3.600
59,1.236,-0.969,-0.629,4.000,4.111,2.556,2.875,3.500
