uid,early_all,late_all,absent_all,extra,agrbl,consc,neuro,openn
00,1.497,0.090,-1.422,3.750,2.889,3.000,3.125,4.500
01,-0.565,0.090,0.460,3.125,3.778,4.444,2.750,3.900
02,-0.270,0.613,-0.132,2.125,3.000,4.222,3.500,3.200
03,0.384,-1.374,0.498,2.125,3.222,3.889,3.375,2.700
04,0.507,0.090,-0.519,2.375,3.111,2.667,4.125,2.900
05,1.085,-0.977,-0.387,3.125,3.778,4.444,2.750,3.300
07,1.160,-1.074,-0.396,3.125,4.222,3.778,2.143,2.300
08,0.148,0.755,-0.601,2.625,3.778,4.222,3.250,3.300
09,-0.235,2.286,-1.197,2.375,4.556,2.667,2.125,3.300
10,1.834,-0.742,-1.217,2.000,1.333,4.778,3.375,3.600
12,1.842,-1.740,-0.608,2.875,3.556,3.667,2.875,3.400
13,0.437,-0.694,0.030,3.375,3.556,2.444,3.375,4.300
14,1.497,-1.008,-0.745,3.250,3.667,3.375,2.429,3.300
15,0.070,0.090,-0.119,3.250,3.556,3.111,2.750,3.000
16,1.179,-0.067,-1.035,1.750,3.333,3.556,4.250,3.800
17,0.035,0.922,-0.601,2.625,3.889,3.333,3.125,4.500
18,-0.977,1.805,-0.222,2.625,2.222,3.222,3.750,2.500
19,0.935,0.423,-1.114,1.750,3.111,3.444,3.625,3.200
20,-0.800,-0.694,1.159,3.875,4.333,3.333,2.375,3.600
22,-0.462,-0.367,0.648,3.625,3.444,4.556,2.875,3.800
23,-0.093,-0.955,0.675,3.000,3.667,3.000,3.750,3.600
24,-0.651,0.186,0.480,3.500,2.667,2.333,3.125,3.500
27,-1.596,2.530,-0.105,2.500,3.889,2.667,3.125,3.300
30,1.272,-0.409,-0.909,4.500,4.111,4.444,2.000,3.600
31,-0.730,-0.459,0.949,4.250,3.889,2.889,3.125,3.700
32,-0.077,1.421,-0.806,4.250,4.222,4.333,1.750,3.700
33,-0.049,0.090,-0.011,2.875,3.333,1.889,3.625,4.600
34,-0.447,0.874,-0.132,3.250,4.333,3.111,2.875,3.300
35,-0.977,-0.433,1.159,2.625,3.889,3.556,2.625,3.400
36,-1.967,-1.740,2.869,3.500,4.111,3.778,1.750,3.500
39,-2.214,-1.740,3.095,3.375,3.333,3.111,3.000,3.500
42,0.260,0.874,-0.777,3.125,4.222,2.444,2.500,3.900
43,0.755,-0.276,-0.519,2.375,4.111,4.222,2.500,3.300
44,0.384,-0.459,-0.067,3.375,3.667,3.778,2.250,3.600
45,-0.447,0.090,0.352,3.750,3.667,3.444,3.125,3.700
46,-1.080,0.700,0.554,3.125,3.111,3.556,3.500,4.200
47,-1.348,0.273,1.062,4.375,3.222,3.444,2.000,3.800
49,-0.255,1.615,-0.764,2.875,4.222,3.667,2.500,4.300
50,-0.358,1.005,-0.293,3.875,3.333,3.556,2.500,3.500
51,0.083,-0.433,0.191,3.375,3.778,3.778,2.750,4.000
52,1.047,-0.742,-0.498,1.625,3.333,2.222,4.125,3.500
53,0.105,0.548,-0.434,2.250,4.000,2.889,4.500,4.400
54,-1.305,1.248,0.421,3.000,3.333,3.111,2.750,3.100
56,-2.214,-1.740,3.095,1.625,4.111,3.333,2.000,4.100
57,1.250,-0.276,-0.971,2.125,4.000,3.222,2.125,2.700
58,0.437,0.351,-0.616,2.125,4.333,3.556,3.875,3.600
59,1.116,-0.754,-0.554,4.000,4.111,2.556,2.875,3.500
