uid,early_oncampus,late_oncampus,absent_oncampus,extra,agrbl,consc,neuro,openn
01,-0.825,-0.103,1.110,3.125,3.778,4.444,2.750,3.900
02,-0.478,0.443,0.172,2.125,3.000,4.222,3.500,3.200
03,0.293,-1.634,1.169,2.125,3.222,3.889,3.375,2.700
04,0.439,-0.103,-0.442,2.375,3.111,2.667,4.125,2.900
05,1.120,-1.220,-0.233,3.125,3.778,4.444,2.750,3.300
07,1.209,-1.321,-0.247,3.125,4.222,3.778,2.143,2.300
08,0.015,0.593,-0.573,2.625,3.778,4.222,3.250,3.300
09,-0.436,2.193,-1.517,2.375,4.556,2.667,2.125,3.300
10,2.004,-0.973,-1.549,2.000,1.333,4.778,3.375,3.600
14,1.606,-1.252,-0.800,3.250,3.667,3.375,2.429,3.300
15,-0.077,-0.103,0.191,3.250,3.556,3.111,2.750,3.000
16,1.231,-0.267,-1.261,1.750,3.333,3.556,4.250,3.800
17,-0.118,0.767,-0.573,2.625,3.889,3.333,3.125,4.500
18,-1.312,1.691,0.028,2.625,2.222,3.222,3.750,2.500
19,0.943,0.245,-1.386,1.750,3.111,3.444,3.625,3.200
20,-1.103,-0.924,2.218,3.875,4.333,3.333,2.375,3.600
22,-0.704,-0.582,1.408,3.625,3.444,4.556,2.875,3.800
23,-0.269,-1.197,1.451,3.000,3.667,3.000,3.750,3.600
24,-0.928,-0.003,1.141,3.500,2.667,2.333,3.125,3.500
27,-2.041,2.448,0.214,2.500,3.889,2.667,3.125,3.300
30,1.341,-0.625,-1.061,4.500,4.111,4.444,2.000,3.600
32,-0.251,1.289,-0.898,4.250,4.222,4.333,1.750,3.700
33,-0.217,-0.103,0.363,2.875,3.333,1.889,3.625,4.600
35,-1.312,-0.650,2.218,2.625,3.889,3.556,2.625,3.400
43,0.731,-0.486,-0.442,2.375,4.111,4.222,2.500,3.300
46,-1.433,0.535,1.259,3.125,3.111,3.556,3.500,4.200
49,-0.461,1.492,-0.830,2.875,4.222,3.667,2.500,4.300
50,-0.582,0.854,-0.084,3.875,3.333,3.556,2.500,3.500
52,1.076,-0.973,-0.410,1.625,3.333,2.222,4.125,3.500
53,-0.035,0.375,-0.308,2.250,4.000,2.889,4.500,4.400
54,-1.699,1.107,1.049,3.000,3.333,3.111,2.750,3.100
57,1.315,-0.486,-1.159,2.125,4.000,3.222,2.125,2.700
58,0.356,0.170,-0.596,2.125,4.333,3.556,3.875,3.600
59,1.158,-0.987,-0.497,4.000,4.111,2.556,2.875,3.500
