uid,end_time_avg_oncampus,extra,agrbl,consc,neuro,openn
01,0.078,3.125,3.778,4.444,2.75,3.9
02,0.060,2.125,3,4.222,3.5,3.2
03,-2.133,2.125,3.222,3.889,3.375,2.7
04,0.530,2.375,3.111,2.667,4.125,2.9
05,0.025,3.125,3.778,4.444,2.75,3.3
07,0.082,3.125,4.222,3.778,2.143,2.3
08,0.681,2.625,3.778,4.222,3.25,3.3
09,-0.304,2.375,4.556,2.667,2.125,3.3
10,-0.578,2,1.333,4.778,3.375,3.6
14,0.901,3.25,3.667,3.375,2.429,3.3
15,-0.607,3.25,3.556,3.111,2.75,3
16,-0.057,1.75,3.333,3.556,4.25,3.8
17,-1.087,2.625,3.889,3.333,3.125,4.5
18,-0.592,2.625,2.222,3.222,3.75,2.5
19,0.372,1.75,3.111,3.444,3.625,3.2
20,-0.168,3.875,4.333,3.333,2.375,3.6
22,-0.093,3.625,3.444,4.556,2.875,3.8
23,-3.792,3,3.667,3,3.75,3.6
24,0.159,3.5,2.667,2.333,3.125,3.5
27,-1.265,2.5,3.889,2.667,3.125,3.3
30,1.120,4.5,4.111,4.444,2,3.6
32,0.861,4.25,4.222,4.333,1.75,3.7
33,0.583,2.875,3.333,1.889,3.625,4.6
35,0.185,2.625,3.889,3.556,2.625,3.4
43,0.104,2.375,4.111,4.222,2.5,3.3
46,1.562,3.125,3.111,3.556,3.5,4.2
49,0.913,2.875,4.222,3.667,2.5,4.3
50,1.560,3.875,3.333,3.556,2.5,3.5
52,-0.067,1.625,3.333,2.222,4.125,3.5
53,-0.796,2.25,4,2.889,4.5,4.4
54,0.670,3,3.333,3.111,2.75,3.1
57,0.604,2.125,4,3.222,2.125,2.7
58,-0.654,2.125,4.333,3.556,3.875,3.6
59,1.077,4,4.111,2.556,2.875,3.5
