uid,end_time_var,extra,agrbl,consc,neuro,openn
01,-0.613,3.125,3.778,4.444,2.750,3.900
02,-0.681,2.125,3.000,4.222,3.500,3.200
03,-1.108,2.125,3.222,3.889,3.375,2.700
04,-1.098,2.375,3.111,2.667,4.125,2.900
05,-0.521,3.125,3.778,4.444,2.750,3.300
07,-0.801,3.125,4.222,3.778,2.143,2.300
08,-0.142,2.625,3.778,4.222,3.250,3.300
09,-0.002,2.375,4.556,2.667,2.125,3.300
10,-0.791,2.000,1.333,4.778,3.375,3.600
14,-0.892,3.250,3.667,3.375,2.429,3.300
15,2.134,3.250,3.556,3.111,2.750,3.000
16,-0.630,1.750,3.333,3.556,4.250,3.800
17,0.003,2.625,3.889,3.333,3.125,4.500
18,0.988,2.625,2.222,3.222,3.750,2.500
19,0.847,1.750,3.111,3.444,3.625,3.200
20,3.220,3.875,4.333,3.333,2.375,3.600
22,0.265,3.625,3.444,4.556,2.875,3.800
23,-0.462,3.000,3.667,3.000,3.750,3.600
24,-0.029,3.500,2.667,2.333,3.125,3.500
27,1.027,2.500,3.889,2.667,3.125,3.300
30,-1.086,4.500,4.111,4.444,2.000,3.600
32,0.564,4.250,4.222,4.333,1.750,3.700
33,-0.154,2.875,3.333,1.889,3.625,4.600
35,-0.402,2.625,3.889,3.556,2.625,3.400
43,-0.094,2.375,4.111,4.222,2.500,3.300
