uid,end_time_var_mon,end_time_var_tue,end_time_var_wed,end_time_var_thr,end_time_var_fri,extra,agrbl,consc,neuro,openn
01,0.081,-0.398,-0.474,-0.396,1.454,3.125,3.778,4.444,2.750,3.900
02,-0.444,-0.683,-1.322,0.411,0.372,2.125,3.000,4.222,3.500,3.200
03,-1.496,-1.814,-1.370,-1.023,-1.456,2.125,3.222,3.889,3.375,2.700
04,1.505,0.665,-1.361,0.310,-0.450,2.375,3.111,2.667,4.125,2.900
05,1.090,0.630,1.623,-0.084,-0.042,3.125,3.778,4.444,2.750,3.300
07,-0.502,-0.523,0.165,-1.169,-1.033,3.125,4.222,3.778,2.143,2.300
08,0.986,0.794,1.499,0.689,1.131,2.625,3.778,4.222,3.250,3.300
09,-0.562,-0.722,0.400,-0.943,0.041,2.375,4.556,2.667,2.125,3.300
10,-0.628,-0.926,-1.303,-1.083,-1.343,2.000,1.333,4.778,3.375,3.600
14,0.399,1.146,1.111,1.048,-0.458,3.250,3.667,3.375,2.429,3.300
15,-1.325,0.303,0.162,0.436,-1.184,3.250,3.556,3.111,2.750,3.000
16,-1.374,-0.627,0.732,-1.080,-1.496,1.750,3.333,3.556,4.250,3.800
17,-1.435,-1.632,-1.242,-0.935,-1.140,2.625,3.889,3.333,3.125,4.500
18,0.348,0.355,0.002,0.310,-1.356,2.625,2.222,3.222,3.750,2.500
19,0.849,1.622,0.536,1.670,-0.040,1.750,3.111,3.444,3.625,3.200
20,0.500,0.900,0.783,-0.924,0.241,3.875,4.333,3.333,2.375,3.600
22,-0.276,-0.174,-0.062,0.674,1.702,3.625,3.444,4.556,2.875,3.800
23,-1.410,-1.663,-0.731,-1.035,-0.948,3.000,3.667,3.000,3.750,3.600
24,0.060,-0.296,0.282,-1.005,1.133,3.500,2.667,2.333,3.125,3.500
27,-1.192,0.306,-1.129,-0.946,-1.132,2.500,3.889,2.667,3.125,3.300
30,0.971,1.097,0.761,-0.054,-0.357,4.500,4.111,4.444,2.000,3.600
32,0.136,0.016,0.917,2.179,1.994,4.250,4.222,4.333,1.750,3.700
33,1.197,1.589,-0.037,1.250,0.305,2.875,3.333,1.889,3.625,4.600
35,0.606,0.706,1.423,0.460,0.649,2.625,3.889,3.556,2.625,3.400
43,0.499,0.015,-0.216,-0.041,-0.421,2.375,4.111,4.222,2.500,3.300
46,1.275,1.292,-1.343,0.394,0.549,3.125,3.111,3.556,3.500,4.200
49,0.668,-0.069,0.537,1.704,1.046,2.875,4.222,3.667,2.500,4.300
50,-0.120,-1.930,0.596,-1.163,0.912,3.875,3.333,3.556,2.500,3.500
52,-1.545,0.432,-1.242,-0.898,0.939,1.625,3.333,2.222,4.125,3.500
53,-0.643,-1.030,-1.008,-0.935,-0.121,2.250,4.000,2.889,4.500,4.400
54,-1.565,-1.918,0.540,1.053,0.158,3.000,3.333,3.111,2.750,3.100
57,0.985,0.939,1.301,0.386,1.056,2.125,4.000,3.222,2.125,2.700
58,-1.093,-0.705,-1.362,-0.935,-0.874,2.125,4.333,3.556,3.875,3.600
59,1.678,1.171,1.891,0.988,0.139,4.000,4.111,2.556,2.875,3.500
