uid,grade,extra,agrbl,consc,neuro,openn
01,3.000,3.125,3.778,4.444,2.750,3.900
02,4.000,2.125,3.000,4.222,3.500,3.200
04,4.000,2.375,3.111,2.667,4.125,2.900
05,4.000,3.125,3.778,4.444,2.750,3.300
07,4.000,3.125,4.222,3.778,2.143,2.300
08,4.000,2.625,3.778,4.222,3.250,3.300
09,3.667,2.375,4.556,2.667,2.125,3.300
10,4.000,2.000,1.333,4.778,3.375,3.600
12,2.333,2.875,3.556,3.667,2.875,3.400
14,3.667,3.250,3.667,3.375,2.429,3.300
15,3.667,3.250,3.556,3.111,2.750,3.000
16,4.000,1.750,3.333,3.556,4.250,3.800
17,4.000,2.625,3.889,3.333,3.125,4.500
18,3.333,2.625,2.222,3.222,3.750,2.500
19,3.333,1.750,3.111,3.444,3.625,3.200
22,4.000,3.625,3.444,4.556,2.875,3.800
24,3.333,3.500,2.667,2.333,3.125,3.500
27,3.000,2.500,3.889,2.667,3.125,3.300
30,4.000,4.500,4.111,4.444,2.000,3.600
32,4.000,4.250,4.222,4.333,1.750,3.700
33,4.000,2.875,3.333,1.889,3.625,4.600
43,4.000,2.375,4.111,4.222,2.500,3.300
46,4.000,3.125,3.111,3.556,3.500,4.200
49,4.000,2.875,4.222,3.667,2.500,4.300
52,0.000,1.625,3.333,2.222,4.125,3.500
54,4.000,3.000,3.333,3.111,2.750,3.100
57,4.000,2.125,4.000,3.222,2.125,2.700
59,3.667,4.000,4.111,2.556,2.875,3.500
