uid,late_var,extra,agrbl,consc,neuro,openn
01,-1.000,3.125,3.778,4.444,2.750,3.900
02,-0.999,2.125,3.000,4.222,3.500,3.200
03,-0.747,2.125,3.222,3.889,3.375,2.700
04,-0.999,2.375,3.111,2.667,4.125,2.900
05,-0.945,3.125,3.778,4.444,2.750,3.300
07,0.043,3.125,4.222,3.778,2.143,2.300
08,2.073,2.625,3.778,4.222,3.250,3.300
09,-1.001,2.375,4.556,2.667,2.125,3.300
10,-0.404,2.000,1.333,4.778,3.375,3.600
12,-0.954,2.875,3.556,3.667,2.875,3.400
14,-0.245,3.250,3.667,3.375,2.429,3.300
15,-0.864,3.250,3.556,3.111,2.750,3.000
16,0.142,1.750,3.333,3.556,4.250,3.800
17,-0.486,2.625,3.889,3.333,3.125,4.500
18,0.858,2.625,2.222,3.222,3.750,2.500
19,-0.901,1.750,3.111,3.444,3.625,3.200
20,-0.807,3.875,4.333,3.333,2.375,3.600
22,0.070,3.625,3.444,4.556,2.875,3.800
23,0.595,3.000,3.667,3.000,3.750,3.600
24,0.327,3.500,2.667,2.333,3.125,3.500
27,-0.995,2.500,3.889,2.667,3.125,3.300
30,3.039,4.500,4.111,4.444,2.000,3.600
31,0.801,4.250,3.889,2.889,3.125,3.700
32,1.647,4.250,4.222,4.333,1.750,3.700
33,-0.534,2.875,3.333,1.889,3.625,4.600
42,-0.602,3.125,4.222,2.444,2.500,3.900
43,-1.002,2.375,4.111,4.222,2.500,3.300
44,1.155,3.375,3.667,3.778,2.250,3.600
45,0.629,3.750,3.667,3.444,3.125,3.700
46,0.298,3.125,3.111,3.556,3.500,4.200
47,0.376,4.375,3.222,3.444,2.000,3.800
49,-0.566,2.875,4.222,3.667,2.500,4.300
50,0.389,3.875,3.333,3.556,2.500,3.500
52,-0.262,1.625,3.333,2.222,4.125,3.500
53,2.084,2.250,4.000,2.889,4.500,4.400
54,-0.752,3.000,3.333,3.111,2.750,3.100
57,-0.061,2.125,4.000,3.222,2.125,2.700
58,1.068,2.125,4.333,3.556,3.875,3.600
59,1.138,4.000,4.111,2.556,2.875,3.500
