uid,len_var,extra,agrbl,consc,neuro,openn
01,-0.513,3.125,3.778,4.444,2.750,3.900
02,-0.492,2.125,3.000,4.222,3.500,3.200
03,-1.021,2.125,3.222,3.889,3.375,2.700
04,1.059,2.375,3.111,2.667,4.125,2.900
05,0.049,3.125,3.778,4.444,2.750,3.300
07,0.328,3.125,4.222,3.778,2.143,2.300
08,-0.382,2.625,3.778,4.222,3.250,3.300
09,-0.472,2.375,4.556,2.667,2.125,3.300
10,-0.724,2.000,1.333,4.778,3.375,3.600
14,1.409,3.250,3.667,3.375,2.429,3.300
15,-0.461,3.250,3.556,3.111,2.750,3.000
16,-0.193,1.750,3.333,3.556,4.250,3.800
17,-0.728,2.625,3.889,3.333,3.125,4.500
18,-0.301,2.625,2.222,3.222,3.750,2.500
19,-0.599,1.750,3.111,3.444,3.625,3.200
20,-0.740,3.875,4.333,3.333,2.375,3.600
22,-0.283,3.625,3.444,4.556,2.875,3.800
23,-0.807,3.000,3.667,3.000,3.750,3.600
27,-0.021,2.500,3.889,2.667,3.125,3.300
30,0.479,4.500,4.111,4.444,2.000,3.600
32,3.110,4.250,4.222,4.333,1.750,3.700
33,-0.384,2.875,3.333,1.889,3.625,4.600
35,-0.339,2.625,3.889,3.556,2.625,3.400
43,-0.110,2.375,4.111,4.222,2.500,3.300
46,3.193,3.125,3.111,3.556,3.500,4.200
51,-1.061,3.375,3.778,3.778,2.750,4.000
53,-0.746,2.250,4.000,2.889,4.500,4.400
54,-0.387,3.000,3.333,3.111,2.750,3.100
57,0.171,2.125,4.000,3.222,2.125,2.700
58,-0.926,2.125,4.333,3.556,3.875,3.600
59,1.021,4.000,4.111,2.556,2.875,3.500
