uid,len_var_test,extra,agrbl,consc,neuro,openn
01,-0.172,3.125,3.778,4.444,2.750,3.900
02,-0.948,2.125,3.000,4.222,3.500,3.200
03,-1.215,2.125,3.222,3.889,3.375,2.700
04,1.344,2.375,3.111,2.667,4.125,2.900
05,0.104,3.125,3.778,4.444,2.750,3.300
07,0.354,3.125,4.222,3.778,2.143,2.300
08,-0.571,2.625,3.778,4.222,3.250,3.300
09,-0.240,2.375,4.556,2.667,2.125,3.300
10,-0.631,2.000,1.333,4.778,3.375,3.600
14,1.796,3.250,3.667,3.375,2.429,3.300
15,0.204,3.250,3.556,3.111,2.750,3.000
16,-0.491,1.750,3.333,3.556,4.250,3.800
17,-0.626,2.625,3.889,3.333,3.125,4.500
18,-0.101,2.625,2.222,3.222,3.750,2.500
19,-0.793,1.750,3.111,3.444,3.625,3.200
20,-0.761,3.875,4.333,3.333,2.375,3.600
22,-0.195,3.625,3.444,4.556,2.875,3.800
23,-0.862,3.000,3.667,3.000,3.750,3.600
24,0.654,3.500,2.667,2.333,3.125,3.500
27,-0.424,2.500,3.889,2.667,3.125,3.300
30,0.530,4.500,4.111,4.444,2.000,3.600
32,2.290,4.250,4.222,4.333,1.750,3.700
33,-0.394,2.875,3.333,1.889,3.625,4.600
35,-0.498,2.625,3.889,3.556,2.625,3.400
43,0.060,2.375,4.111,4.222,2.500,3.300
46,2.977,3.125,3.111,3.556,3.500,4.200
50,-1.066,3.875,3.333,3.556,2.500,3.500
51,-1.318,3.375,3.778,3.778,2.750,4.000
53,-0.964,2.250,4.000,2.889,4.500,4.400
54,-0.189,3.000,3.333,3.111,2.750,3.100
57,0.144,2.125,4.000,3.222,2.125,2.700
58,-0.901,2.125,4.333,3.556,3.875,3.600
59,1.755,4.000,4.111,2.556,2.875,3.500
