uid,len_var_mon,len_var_tue,len_var_wed,len_var_thr,len_var_fri,extra,agrbl,consc,neuro,openn
01,-0.459,0.100,-0.517,-0.601,0.828,3.125,3.778,4.444,2.750,3.900
02,-1.089,-0.272,-1.319,-1.364,-0.134,2.125,3.000,4.222,3.500,3.200
03,-1.071,-0.949,-1.094,-1.027,-0.949,2.125,3.222,3.889,3.375,2.700
04,-0.574,0.056,1.075,3.046,2.373,2.375,3.111,2.667,4.125,2.900
05,-0.306,0.015,-0.192,0.078,0.112,3.125,3.778,4.444,2.750,3.300
07,0.312,0.149,0.005,1.219,-0.066,3.125,4.222,3.778,2.143,2.300
08,-0.219,-0.782,0.049,-0.994,0.027,2.625,3.778,4.222,3.250,3.300
09,-0.071,0.182,-0.741,0.502,-0.571,2.375,4.556,2.667,2.125,3.300
10,-0.644,-0.552,0.169,-1.223,-0.274,2.000,1.333,4.778,3.375,3.600
14,2.138,1.831,0.478,2.348,2.139,3.250,3.667,3.375,2.429,3.300
15,0.300,-0.397,0.716,-1.062,-0.622,3.250,3.556,3.111,2.750,3.000
16,-0.681,-0.713,-0.080,0.007,-0.303,1.750,3.333,3.556,4.250,3.800
17,-0.293,-0.637,-1.020,0.373,-0.630,2.625,3.889,3.333,3.125,4.500
18,0.135,-0.429,0.229,0.323,-0.701,2.625,2.222,3.222,3.750,2.500
19,-0.195,-0.839,-0.399,-0.296,-1.210,1.750,3.111,3.444,3.625,3.200
20,0.260,-0.612,-1.016,-0.818,-0.805,3.875,4.333,3.333,2.375,3.600
22,-0.180,-0.237,0.254,-0.291,0.023,3.625,3.444,4.556,2.875,3.800
23,-0.848,-0.548,-0.817,-0.232,-1.087,3.000,3.667,3.000,3.750,3.600
24,-0.668,-0.038,1.168,-0.238,1.559,3.500,2.667,2.333,3.125,3.500
27,-0.974,-1.006,-0.969,0.289,-0.355,2.500,3.889,2.667,3.125,3.300
30,2.662,-0.414,0.422,0.759,0.201,4.500,4.111,4.444,2.000,3.600
32,2.621,2.736,-0.484,0.965,0.748,4.250,4.222,4.333,1.750,3.700
33,-0.941,-0.909,0.016,-1.286,-0.367,2.875,3.333,1.889,3.625,4.600
35,-0.256,-0.300,-0.927,0.227,-0.273,2.625,3.889,3.556,2.625,3.400
43,-0.318,-0.410,0.702,0.240,0.310,2.375,4.111,4.222,2.500,3.300
46,-0.535,3.402,2.376,-0.371,-0.988,3.125,3.111,3.556,3.500,4.200
49,-0.689,0.295,2.790,-0.481,1.268,2.875,4.222,3.667,2.500,4.300
50,-0.495,-1.021,-1.319,-1.191,-1.156,3.875,3.333,3.556,2.500,3.500
52,1.722,1.034,2.227,1.705,2.826,1.625,3.333,2.222,4.125,3.500
53,-0.516,-0.675,-1.311,-1.022,-0.571,2.250,4.000,2.889,4.500,4.400
54,0.729,0.172,-0.305,0.421,-1.135,3.000,3.333,3.111,2.750,3.100
57,0.659,0.488,-0.386,1.153,-0.540,2.125,4.000,3.222,2.125,2.700
58,-1.011,-0.931,-0.540,-0.851,-0.261,2.125,4.333,3.556,3.875,3.600
59,-0.848,0.863,-0.355,0.025,1.218,4.000,4.111,2.556,2.875,3.500
