uid,len_var_offcampus,extra,agrbl,consc,neuro,openn
00,5.400,3.750,2.889,3.000,3.125,4.500
12,3.388,2.875,3.556,3.667,2.875,3.400
13,1.488,3.375,3.556,2.444,3.375,4.300
31,5.560,4.250,3.889,2.889,3.125,3.700
34,3.990,3.250,4.333,3.111,2.875,3.300
36,1.927,3.500,4.111,3.778,1.750,3.500
39,0.071,3.375,3.333,3.111,3.000,3.500
42,3.948,3.125,4.222,2.444,2.500,3.900
44,2.587,3.375,3.667,3.778,2.250,3.600
47,2.848,4.375,3.222,3.444,2.000,3.800
51,2.248,3.375,3.778,3.778,2.750,4.000
56,1.927,1.625,4.111,3.333,2.000,4.100
