uid,nearby_timestamp_oncampus,extra,agrbl,consc,neuro,openn
01,-0.824,3.125,3.778,4.444,2.750,3.900
02,-0.227,2.125,3.000,4.222,3.500,3.200
03,-1.194,2.125,3.222,3.889,3.375,2.700
04,-0.794,2.375,3.111,2.667,4.125,2.900
05,1.459,3.125,3.778,4.444,2.750,3.300
07,-0.714,3.125,4.222,3.778,2.143,2.300
08,0.034,2.625,3.778,4.222,3.250,3.300
09,-0.289,2.375,4.556,2.667,2.125,3.300
10,1.079,2.000,1.333,4.778,3.375,3.600
14,1.960,3.250,3.667,3.375,2.429,3.300
15,-0.315,3.250,3.556,3.111,2.750,3.000
16,0.371,1.750,3.333,3.556,4.250,3.800
17,-0.664,2.625,3.889,3.333,3.125,4.500
18,2.189,2.625,2.222,3.222,3.750,2.500
19,0.747,1.750,3.111,3.444,3.625,3.200
20,-0.815,3.875,4.333,3.333,2.375,3.600
22,-1.016,3.625,3.444,4.556,2.875,3.800
23,-0.775,3.000,3.667,3.000,3.750,3.600
24,-0.558,3.500,2.667,2.333,3.125,3.500
27,0.014,2.500,3.889,2.667,3.125,3.300
30,0.092,4.500,4.111,4.444,2.000,3.600
32,-0.566,4.250,4.222,4.333,1.750,3.700
33,-1.090,2.875,3.333,1.889,3.625,4.600
35,-0.739,2.625,3.889,3.556,2.625,3.400
43,-0.114,2.375,4.111,4.222,2.500,3.300
46,-0.529,3.125,3.111,3.556,3.500,4.200
49,-0.101,2.875,4.222,3.667,2.5,4.3
50,1.865,3.875,3.333,3.556,2.500,3.500
52,-0.740,1.625,3.333,2.222,4.125,3.500
53,-0.480,2.250,4.000,2.889,4.500,4.400
54,-0.069,3.000,3.333,3.111,2.750,3.100
57,0.764,2.125,4.000,3.222,2.125,2.700
58,-0.408,2.125,4.333,3.556,3.875,3.600
59,-0.982,4.000,4.111,2.556,2.875,3.500
