uid,nearby_total_oncampus,extra,agrbl,consc,neuro,openn
01,-0.763,3.125,3.778,4.444,2.750,3.900
02,-0.064,2.125,3.000,4.222,3.500,3.200
03,-0.977,2.125,3.222,3.889,3.375,2.700
04,-0.716,2.375,3.111,2.667,4.125,2.900
05,2.256,3.125,3.778,4.444,2.750,3.300
07,-0.614,3.125,4.222,3.778,2.143,2.300
08,-0.104,2.625,3.778,4.222,3.250,3.300
09,-0.347,2.375,4.556,2.667,2.125,3.300
10,-0.219,2.000,1.333,4.778,3.375,3.600
14,1.181,3.250,3.667,3.375,2.429,3.300
15,-0.828,3.250,3.556,3.111,2.750,3.000
16,-0.449,1.750,3.333,3.556,4.250,3.800
17,-0.560,2.625,3.889,3.333,3.125,4.500
18,0.410,2.625,2.222,3.222,3.750,2.500
19,-0.017,1.750,3.111,3.444,3.625,3.200
20,-0.674,3.875,4.333,3.333,2.375,3.600
22,-0.863,3.625,3.444,4.556,2.875,3.800
23,-0.632,3.000,3.667,3.000,3.750,3.600
24,-0.733,3.500,2.667,2.333,3.125,3.500
27,-0.471,2.500,3.889,2.667,3.125,3.300
30,2.882,4.500,4.111,4.444,2.000,3.600
32,1.295,4.250,4.222,4.333,1.750,3.700
33,-0.818,2.875,3.333,1.889,3.625,4.600
35,-0.454,2.625,3.889,3.556,2.625,3.400
43,-0.726,2.375,4.111,4.222,2.500,3.300
46,0.667,3.125,3.111,3.556,3.500,4.200
50,0.409,3.875,3.333,3.556,2.500,3.500
52,0.070,1.625,3.333,2.222,4.125,3.500
53,-0.462,2.250,4.000,2.889,4.500,4.400
54,-0.648,3.000,3.333,3.111,2.750,3.100
57,2.463,2.125,4.000,3.222,2.125,2.700
58,-0.892,2.125,4.333,3.556,3.875,3.600
59,-0.608,4.000,4.111,2.556,2.875,3.500
