uid,num_days_activity_oncampus,extra,agrbl,consc,neuro,openn
01,62.000,3.125,3.778,4.444,2.750,3.900
02,66.000,2.125,3.000,4.222,3.500,3.200
03,53.000,2.125,3.222,3.889,3.375,2.700
04,58.000,2.375,3.111,2.667,4.125,2.900
05,64.000,3.125,3.778,4.444,2.750,3.300
07,49.000,3.125,4.222,3.778,2.143,2.300
08,65.000,2.625,3.778,4.222,3.250,3.300
09,66.000,2.375,4.556,2.667,2.125,3.300
10,66.000,2.000,1.333,4.778,3.375,3.600
14,63.000,3.250,3.667,3.375,2.429,3.300
15,47.000,3.250,3.556,3.111,2.750,3.000
16,64.000,1.750,3.333,3.556,4.250,3.800
17,65.000,2.625,3.889,3.333,3.125,4.500
18,59.000,2.625,2.222,3.222,3.750,2.500
19,66.000,1.750,3.111,3.444,3.625,3.200
20,49.000,3.875,4.333,3.333,2.375,3.600
22,62.000,3.625,3.444,4.556,2.875,3.800
23,58.000,3.000,3.667,3.000,3.750,3.600
24,32.000,3.500,2.667,2.333,3.125,3.500
27,66.000,2.500,3.889,2.667,3.125,3.300
30,64.000,4.500,4.111,4.444,2.000,3.600
32,63.000,4.250,4.222,4.333,1.750,3.700
33,56.000,2.875,3.333,1.889,3.625,4.600
35,66.000,2.625,3.889,3.556,2.625,3.400
43,59.000,2.375,4.111,4.222,2.500,3.300
46,55.000,3.125,3.111,3.556,3.500,4.200
49,66.000,2.875,4.222,3.667,2.500,4.300
50,42.000,3.875,3.333,3.556,2.500,3.500
53,64.000,2.250,4.000,2.889,4.500,4.400
54,47.000,3.000,3.333,3.111,2.750,3.100
57,66.000,2.125,4.000,3.222,2.125,2.700
58,64.000,2.125,4.333,3.556,3.875,3.600
59,66.000,4.000,4.111,2.556,2.875,3.500
